label,radius_um,intersections
7,0.0,0
7,5.0,3
7,10.0,1
7,15.0,0
7,20.0,0
7,25.0,0
7,30.0,0
7,35.0,0
7,40.0,0
7,45.0,0
7,50.0,0
7,55.0,0
7,60.0,0
7,65.0,0
7,70.0,0
7,75.0,0
7,80.0,0
11,0.0,0
11,5.0,3
11,10.0,2
11,15.0,0
11,20.0,0
11,25.0,0
11,30.0,0
11,35.0,0
11,40.0,0
11,45.0,0
11,50.0,0
11,55.0,0
11,60.0,0
11,65.0,0
11,70.0,0
11,75.0,0
11,80.0,0
45,0.0,0
45,5.0,2
45,10.0,1
45,15.0,0
45,20.0,0
45,25.0,0
45,30.0,0
45,35.0,0
45,40.0,0
45,45.0,0
45,50.0,0
45,55.0,0
45,60.0,0
45,65.0,0
45,70.0,0
45,75.0,0
45,80.0,0
66,0.0,0
66,5.0,5
66,10.0,2
66,15.0,0
66,20.0,0
66,25.0,0
66,30.0,0
66,35.0,0
66,40.0,0
66,45.0,0
66,50.0,0
66,55.0,0
66,60.0,0
66,65.0,0
66,70.0,0
66,75.0,0
66,80.0,0
69,0.0,0
69,5.0,1
69,10.0,0
69,15.0,0
69,20.0,0
69,25.0,0
69,30.0,0
69,35.0,0
69,40.0,0
69,45.0,0
69,50.0,0
69,55.0,0
69,60.0,0
69,65.0,0
69,70.0,0
69,75.0,0
69,80.0,0
79,0.0,0
79,5.0,0
79,10.0,0
79,15.0,0
79,20.0,0
79,25.0,0
79,30.0,0
79,35.0,0
79,40.0,0
79,45.0,0
79,50.0,0
79,55.0,0
79,60.0,0
79,65.0,0
79,70.0,0
79,75.0,0
79,80.0,0
87,0.0,0
87,5.0,2
87,10.0,0
87,15.0,0
87,20.0,0
87,25.0,0
87,30.0,0
87,35.0,0
87,40.0,0
87,45.0,0
87,50.0,0
87,55.0,0
87,60.0,0
87,65.0,0
87,70.0,0
87,75.0,0
87,80.0,0
89,0.0,0
89,5.0,3
89,10.0,0
89,15.0,0
89,20.0,0
89,25.0,0
89,30.0,0
89,35.0,0
89,40.0,0
89,45.0,0
89,50.0,0
89,55.0,0
89,60.0,0
89,65.0,0
89,70.0,0
89,75.0,0
89,80.0,0
91,0.0,0
91,5.0,3
91,10.0,0
91,15.0,0
91,20.0,0
91,25.0,0
91,30.0,0
91,35.0,0
91,40.0,0
91,45.0,0
91,50.0,0
91,55.0,0
91,60.0,0
91,65.0,0
91,70.0,0
91,75.0,0
91,80.0,0
106,0.0,0
106,5.0,1
106,10.0,0
106,15.0,0
106,20.0,0
106,25.0,0
106,30.0,0
106,35.0,0
106,40.0,0
106,45.0,0
106,50.0,0
106,55.0,0
106,60.0,0
106,65.0,0
106,70.0,0
106,75.0,0
106,80.0,0
141,0.0,0
141,5.0,6
141,10.0,1
141,15.0,0
141,20.0,0
141,25.0,0
141,30.0,0
141,35.0,0
141,40.0,0
141,45.0,0
141,50.0,0
141,55.0,0
141,60.0,0
141,65.0,0
141,70.0,0
141,75.0,0
141,80.0,0
148,0.0,0
148,5.0,3
148,10.0,0
148,15.0,0
148,20.0,0
148,25.0,0
148,30.0,0
148,35.0,0
148,40.0,0
148,45.0,0
148,50.0,0
148,55.0,0
148,60.0,0
148,65.0,0
148,70.0,0
148,75.0,0
148,80.0,0
153,0.0,0
153,5.0,2
153,10.0,1
153,15.0,0
153,20.0,0
153,25.0,0
153,30.0,0
153,35.0,0
153,40.0,0
153,45.0,0
153,50.0,0
153,55.0,0
153,60.0,0
153,65.0,0
153,70.0,0
153,75.0,0
153,80.0,0
158,0.0,0
158,5.0,2
158,10.0,0
158,15.0,0
158,20.0,0
158,25.0,0
158,30.0,0
158,35.0,0
158,40.0,0
158,45.0,0
158,50.0,0
158,55.0,0
158,60.0,0
158,65.0,0
158,70.0,0
158,75.0,0
158,80.0,0
167,0.0,0
167,5.0,3
167,10.0,0
167,15.0,0
167,20.0,0
167,25.0,0
167,30.0,0
167,35.0,0
167,40.0,0
167,45.0,0
167,50.0,0
167,55.0,0
167,60.0,0
167,65.0,0
167,70.0,0
167,75.0,0
167,80.0,0
173,0.0,0
173,5.0,2
173,10.0,0
173,15.0,0
173,20.0,0
173,25.0,0
173,30.0,0
173,35.0,0
173,40.0,0
173,45.0,0
173,50.0,0
173,55.0,0
173,60.0,0
173,65.0,0
173,70.0,0
173,75.0,0
173,80.0,0
174,0.0,0
174,5.0,2
174,10.0,1
174,15.0,0
174,20.0,0
174,25.0,0
174,30.0,0
174,35.0,0
174,40.0,0
174,45.0,0
174,50.0,0
174,55.0,0
174,60.0,0
174,65.0,0
174,70.0,0
174,75.0,0
174,80.0,0
181,0.0,0
181,5.0,1
181,10.0,0
181,15.0,0
181,20.0,0
181,25.0,0
181,30.0,0
181,35.0,0
181,40.0,0
181,45.0,0
181,50.0,0
181,55.0,0
181,60.0,0
181,65.0,0
181,70.0,0
181,75.0,0
181,80.0,0
195,0.0,0
195,5.0,0
195,10.0,0
195,15.0,0
195,20.0,0
195,25.0,0
195,30.0,0
195,35.0,0
195,40.0,0
195,45.0,0
195,50.0,0
195,55.0,0
195,60.0,0
195,65.0,0
195,70.0,0
195,75.0,0
195,80.0,0
197,0.0,0
197,5.0,4
197,10.0,3
197,15.0,0
197,20.0,0
197,25.0,0
197,30.0,0
197,35.0,0
197,40.0,0
197,45.0,0
197,50.0,0
197,55.0,0
197,60.0,0
197,65.0,0
197,70.0,0
197,75.0,0
197,80.0,0
198,0.0,0
198,5.0,3
198,10.0,1
198,15.0,0
198,20.0,0
198,25.0,0
198,30.0,0
198,35.0,0
198,40.0,0
198,45.0,0
198,50.0,0
198,55.0,0
198,60.0,0
198,65.0,0
198,70.0,0
198,75.0,0
198,80.0,0
202,0.0,0
202,5.0,2
202,10.0,1
202,15.0,0
202,20.0,0
202,25.0,0
202,30.0,0
202,35.0,0
202,40.0,0
202,45.0,0
202,50.0,0
202,55.0,0
202,60.0,0
202,65.0,0
202,70.0,0
202,75.0,0
202,80.0,0
206,0.0,0
206,5.0,0
206,10.0,0
206,15.0,0
206,20.0,0
206,25.0,0
206,30.0,0
206,35.0,0
206,40.0,0
206,45.0,0
206,50.0,0
206,55.0,0
206,60.0,0
206,65.0,0
206,70.0,0
206,75.0,0
206,80.0,0
225,0.0,0
225,5.0,1
225,10.0,0
225,15.0,0
225,20.0,0
225,25.0,0
225,30.0,0
225,35.0,0
225,40.0,0
225,45.0,0
225,50.0,0
225,55.0,0
225,60.0,0
225,65.0,0
225,70.0,0
225,75.0,0
225,80.0,0
235,0.0,0
235,5.0,2
235,10.0,1
235,15.0,1
235,20.0,0
235,25.0,0
235,30.0,0
235,35.0,0
235,40.0,0
235,45.0,0
235,50.0,0
235,55.0,0
235,60.0,0
235,65.0,0
235,70.0,0
235,75.0,0
235,80.0,0
237,0.0,0
237,5.0,4
237,10.0,6
237,15.0,0
237,20.0,0
237,25.0,0
237,30.0,0
237,35.0,0
237,40.0,0
237,45.0,0
237,50.0,0
237,55.0,0
237,60.0,0
237,65.0,0
237,70.0,0
237,75.0,0
237,80.0,0
239,0.0,0
239,5.0,7
239,10.0,8
239,15.0,3
239,20.0,1
239,25.0,0
239,30.0,0
239,35.0,0
239,40.0,0
239,45.0,0
239,50.0,0
239,55.0,0
239,60.0,0
239,65.0,0
239,70.0,0
239,75.0,0
239,80.0,0
245,0.0,0
245,5.0,2
245,10.0,3
