label,critical_radius_um,peak_intersections,auc
13,18.5,4.0,40.5
47,3.5,4.0,21.5
69,5.0,7.0,37.0
71,4.0,7.0,6.0
83,5.0,6.0,15.5
91,4.5,7.0,21.0
93,2.5,5.0,27.5
95,4.5,8.0,20.0
110,6.0,5.0,14.5
172,6.5,8.0,42.5
177,1.5,4.0,15.0
178,0.5,2.0,20.5
185,2.0,5.0,13.0
202,2.5,2.0,3.5
208,3.5,5.0,15.0
213,2.5,2.0,2.5
225,6.5,8.0,27.5
227,4.0,6.0,14.0
228,3.5,3.0,5.0
236,10.5,7.0,52.0
239,2.5,5.0,34.0
247,6.0,7.0,57.5
272,2.0,5.0,27.5
289,2.0,4.0,9.5
291,4.0,5.0,23.0
295,3.0,3.0,6.5
299,4.0,5.0,18.0
311,4.0,7.0,24.5
