label,radius_um,intersections
1,0.0,0
1,5.0,1
1,10.0,3
1,15.0,3
1,20.0,5
1,25.0,6
1,30.0,2
1,35.0,0
1,40.0,0
5,0.0,0
5,5.0,3
5,10.0,2
5,15.0,2
5,20.0,0
5,25.0,0
5,30.0,0
5,35.0,0
5,40.0,0
8,0.0,0
8,5.0,3
8,10.0,2
8,15.0,2
8,20.0,3
8,25.0,1
8,30.0,0
8,35.0,0
8,40.0,0
14,0.0,0
14,5.0,6
14,10.0,13
14,15.0,7
14,20.0,5
14,25.0,1
14,30.0,1
14,35.0,0
14,40.0,0
18,0.0,0
18,5.0,3
18,10.0,13
18,15.0,15
18,20.0,21
18,25.0,13
18,30.0,9
18,35.0,13
18,40.0,0
22,0.0,0
22,5.0,6
22,10.0,16
22,15.0,16
22,20.0,15
22,25.0,13
22,30.0,7
22,35.0,4
22,40.0,0
25,0.0,0
25,5.0,0
25,10.0,9
25,15.0,5
25,20.0,4
25,25.0,7
25,30.0,7
25,35.0,2
25,40.0,0
27,0.0,0
27,5.0,6
27,10.0,7
27,15.0,8
27,20.0,9
27,25.0,8
27,30.0,11
27,35.0,1
27,40.0,0
34,0.0,0
34,5.0,5
34,10.0,9
34,15.0,12
34,20.0,6
34,25.0,5
34,30.0,0
34,35.0,0
34,40.0,0
36,0.0,0
36,5.0,3
36,10.0,4
36,15.0,0
36,20.0,0
36,25.0,0
36,30.0,0
36,35.0,0
36,40.0,0
38,0.0,0
38,5.0,4
38,10.0,4
38,15.0,2
38,20.0,0
38,25.0,0
38,30.0,0
38,35.0,0
38,40.0,0
39,0.0,0
39,5.0,5
39,10.0,12
39,15.0,5
39,20.0,3
39,25.0,6
39,30.0,6
39,35.0,6
39,40.0,0
40,0.0,0
40,5.0,3
40,10.0,3
40,15.0,1
40,20.0,1
40,25.0,1
40,30.0,1
40,35.0,0
40,40.0,0
41,0.0,0
41,5.0,7
41,10.0,9
41,15.0,13
41,20.0,9
41,25.0,11
41,30.0,4
41,35.0,3
41,40.0,0
44,0.0,0
44,5.0,4
44,10.0,6
44,15.0,5
44,20.0,6
44,25.0,3
44,30.0,0
44,35.0,0
44,40.0,0
54,0.0,0
54,5.0,5
54,10.0,6
54,15.0,7
54,20.0,4
54,25.0,0
54,30.0,0
54,35.0,0
54,40.0,0
57,0.0,0
57,5.0,5
57,10.0,10
57,15.0,11
57,20.0,8
57,25.0,8
57,30.0,5
57,35.0,7
57,40.0,0
59,0.0,0
59,5.0,4
59,10.0,4
59,15.0,3
59,20.0,4
59,25.0,0
59,30.0,0
59,35.0,0
59,40.0,0
62,0.0,0
62,5.0,5
62,10.0,6
62,15.0,2
62,20.0,1
62,25.0,0
62,30.0,0
62,35.0,0
62,40.0,0
121,0.0,0
121,5.0,3
121,10.0,4
121,15.0,0
121,20.0,0
121,25.0,0
121,30.0,0
121,35.0,0
121,40.0,0
135,0.0,0
135,5.0,2
135,10.0,6
135,15.0,6
135,20.0,9
135,25.0,11
135,30.0,10
135,35.0,7
135,40.0,0
137,0.0,0
137,5.0,3
137,10.0,4
137,15.0,2
137,20.0,0
137,25.0,0
137,30.0,0
137,35.0,0
137,40.0,0
139,0.0,0
139,5.0,3
139,10.0,4
139,15.0,2
139,20.0,0
139,25.0,0
139,30.0,0
139,35.0,0
139,40.0,0
141,0.0,0
141,5.0,4
141,10.0,6
141,15.0,6
141,20.0,5
141,25.0,5
141,30.0,6
141,35.0,1
141,40.0,0
160,0.0,0
160,5.0,4
160,10.0,6
160,15.0,5
160,20.0,9
160,25.0,8
160,30.0,4
160,35.0,3
160,40.0,0
163,0.0,0
163,5.0,5
163,10.0,4
163,15.0,5
163,20.0,5
163,25.0,11
163,30.0,3
163,35.0,0
163,40.0,0
174,0.0,0
174,5.0,3
174,10.0,4
174,15.0,3
174,20.0,2
174,25.0,0
174,30.0,0
174,35.0,0
174,40.0,0
175,0.0,0
175,5.0,3
175,10.0,2
175,15.0,0
175,20.0,0
175,25.0,0
175,30.0,0
175,35.0,0
175,40.0,0
178,0.0,0
178,5.0,4
178,10.0,3
178,15.0,7
178,20.0,6
178,25.0,5
178,30.0,0
178,35.0,0
178,40.0,0
