label,radius_um,intersections
4,0.0,0
4,0.5,0
4,1.0,0
4,1.5,0
4,2.0,4
4,2.5,3
4,3.0,3
4,3.5,3
4,4.0,2
4,4.5,3
4,5.0,1
4,5.5,1
4,6.0,2
4,6.5,2
4,7.0,1
4,7.5,1
4,8.0,0
4,8.5,0
4,9.0,0
4,9.5,0
4,10.0,0
4,10.5,0
4,11.0,0
4,11.5,0
4,12.0,0
4,12.5,0
4,13.0,0
4,13.5,0
4,14.0,0
4,14.5,0
4,15.0,0
4,15.5,0
4,16.0,0
4,16.5,0
4,17.0,0
4,17.5,0
4,18.0,0
4,18.5,0
4,19.0,0
4,19.5,0
4,20.0,0
4,20.5,0
4,21.0,0
4,21.5,0
4,22.0,0
4,22.5,0
4,23.0,0
4,23.5,0
4,24.0,0
4,24.5,0
4,25.0,0
5,0.0,0
5,0.5,0
5,1.0,0
5,1.5,2
5,2.0,3
5,2.5,3
5,3.0,3
5,3.5,3
5,4.0,4
5,4.5,4
5,5.0,5
5,5.5,6
5,6.0,6
5,6.5,7
5,7.0,6
5,7.5,6
5,8.0,6
5,8.5,6
5,9.0,6
5,9.5,5
5,10.0,5
5,10.5,5
5,11.0,4
5,11.5,4
5,12.0,4
5,12.5,3
5,13.0,4
5,13.5,5
5,14.0,8
5,14.5,6
5,15.0,3
5,15.5,3
5,16.0,4
5,16.5,2
5,17.0,2
5,17.5,3
5,18.0,2
5,18.5,0
5,19.0,0
5,19.5,0
5,20.0,0
5,20.5,0
5,21.0,0
5,21.5,0
5,22.0,0
5,22.5,0
5,23.0,0
5,23.5,0
5,24.0,0
5,24.5,0
5,25.0,0
8,0.0,0
8,0.5,3
8,1.0,3
8,1.5,3
8,2.0,3
8,2.5,3
8,3.0,4
8,3.5,4
8,4.0,4
8,4.5,4
8,5.0,4
8,5.5,4
8,6.0,4
8,6.5,3
8,7.0,3
8,7.5,3
8,8.0,3
8,8.5,8
8,9.0,5
8,9.5,6
8,10.0,6
8,10.5,6
8,11.0,6
8,11.5,5
8,12.0,6
8,12.5,7
8,13.0,8
8,13.5,8
8,14.0,8
8,14.5,7
8,15.0,8
8,15.5,9
8,16.0,12
8,16.5,13
8,17.0,9
8,17.5,8
8,18.0,9
8,18.5,9
8,19.0,9
8,19.5,8
8,20.0,8
8,20.5,10
8,21.0,5
8,21.5,5
8,22.0,6
8,22.5,7
8,23.0,4
8,23.5,3
8,24.0,0
8,24.5,0
8,25.0,0
13,0.0,0
13,0.5,0
13,1.0,0
13,1.5,2
13,2.0,2
13,2.5,3
13,3.0,3
13,3.5,4
13,4.0,6
13,4.5,7
13,5.0,7
13,5.5,8
13,6.0,7
13,6.5,7
13,7.0,8
13,7.5,9
13,8.0,10
13,8.5,7
13,9.0,7
13,9.5,7
13,10.0,7
13,10.5,10
13,11.0,10
13,11.5,11
13,12.0,10
13,12.5,8
13,13.0,7
13,13.5,5
13,14.0,5
13,14.5,5
13,15.0,4
13,15.5,4
13,16.0,4
13,16.5,3
13,17.0,3
13,17.5,4
13,18.0,4
13,18.5,4
13,19.0,2
13,19.5,1
13,20.0,1
13,20.5,1
13,21.0,1
13,21.5,1
13,22.0,1
13,22.5,0
13,23.0,0
13,23.5,0
13,24.0,0
13,24.5,0
13,25.0,0
15,0.0,0
15,0.5,2
15,1.0,3
15,1.5,3
15,2.0,2
15,2.5,2
15,3.0,3
15,3.5,3
15,4.0,3
15,4.5,4
15,5.0,7
15,5.5,7
15,6.0,8
15,6.5,7
15,7.0,9
15,7.5,7
15,8.0,6
15,8.5,5
15,9.0,4
15,9.5,3
15,10.0,3
15,10.5,5
15,11.0,7
15,11.5,7
15,12.0,6
15,12.5,6
15,13.0,5
15,13.5,5
15,14.0,7
15,14.5,5
15,15.0,7
15,15.5,7
15,16.0,7
15,16.5,11
15,17.0,9
15,17.5,3
15,18.0,3
15,18.5,3
15,19.0,1
15,19.5,1
15,20.0,1
15,20.5,1
15,21.0,0
15,21.5,0
15,22.0,0
15,22.5,0
15,23.0,0
15,23.5,0
15,24.0,0
15,24.5,0
15,25.0,0
16,0.0,0
16,0.5,2
16,1.0,2
16,1.5,2
16,2.0,5
16,2.5,6
16,3.0,6
16,3.5,6
16,4.0,6
16,4.5,9
16,5.0,9
16,5.5,8
16,6.0,7
16,6.5,8
16,7.0,11
16,7.5,11
16,8.0,11
16,8.5,11
16,9.0,12
16,9.5,11
16,10.0,14
16,10.5,11
16,11.0,14
16,11.5,13
16,12.0,12
16,12.5,12
16,13.0,14
16,13.5,23
16,14.0,15
16,14.5,12
16,15.0,12
16,15.5,13
16,16.0,16
16,16.5,16
16,17.0,13
16,17.5,12
16,18.0,10
16,18.5,12
16,19.0,10
16,19.5,7
16,20.0,9
16,20.5,5
16,21.0,6
16,21.5,5
16,22.0,2
16,22.5,2
16,23.0,2
16,23.5,2
16,24.0,2
16,24.5,2
16,25.0,0
18,0.0,0
18,0.5,0
18,1.0,0
18,1.5,3
18,2.0,5
18,2.5,4
18,3.0,5
18,3.5,5
18,4.0,5
18,4.5,5
18,5.0,5
18,5.5,7
18,6.0,6
18,6.5,6
18,7.0,6
18,7.5,6
18,8.0,5
18,8.5,4
18,9.0,5
18,9.5,6
18,10.0,6
18,10.5,4
18,11.0,3
18,11.5,3
18,12.0,3
18,12.5,3
18,13.0,3
18,13.5,3
18,14.0,3
18,14.5,3
18,15.0,3
18,15.5,3
18,16.0,3
18,16.5,3
18,17.0,2
18,17.5,0
18,18.0,0
18,18.5,0
18,19.0,0
18,19.5,0
18,20.0,0
18,20.5,0
18,21.0,0
18,21.5,0
18,22.0,0
18,22.5,0
18,23.0,0
18,23.5,0
18,24.0,0
18,24.5,0
18,25.0,0
21,0.0,0
21,0.5,0
21,1.0,2
21,1.5,2
21,2.0,2
21,2.5,2
21,3.0,2
21,3.5,7
21,4.0,6
21,4.5,8
21,5.0,6
21,5.5,4
21,6.0,4
21,6.5,6
21,7.0,6
21,7.5,7
21,8.0,8
21,8.5,8
21,9.0,9
21,9.5,10
21,10.0,14
21,10.5,11
21,11.0,10
21,11.5,9
21,12.0,8
21,12.5,12
21,13.0,12
21,13.5,8
21,14.0,9
21,14.5,5
21,15.0,5
21,15.5,4
21,16.0,4
21,16.5,6
21,17.0,6
21,17.5,5
21,18.0,7
21,18.5,5
21,19.0,5
21,19.5,5
21,20.0,5
