label,skeleton_length_um,skeleton_pixels,nuclear_area_um2,centroid_y_um,centroid_x_um,territory_area_um2,gfap_threshold,n_branches,total_branch_length_um,n_endpoints,n_junctions,mean_branch_length_um,tortuosity_mean,tortuosity_max,tortuosity_std,ramification_index,termination_index,branch_length_median_um,branch_length_p25_um,branch_length_p75_um,branch_length_std_um,branch_length_cv,n_connected_components
1,137.88320000000002,364,16.931753920000002,9.47,1.9549932203389833,1330.7210665600003,127.998046875,26,159.97975725006225,10,14,6.153067586540856,1.0875710124236428,1.3863029867809475,0.09318972768307014,1.8571428571428572,0.7142857142857143,5.029772535848107,2.759760243567321,7.746364340994251,4.646241491034674,0.7551097766580372,1
5,42.8044,113,32.14163456000001,62.87741785714286,117.92517500000001,2510.0607739200004,119.033203125,7,50.89842126105413,5,3,7.271203037293447,1.0485115869481219,1.1105480381928678,0.04274466046988314,2.3333333333333335,1.6666666666666667,5.2001368768423575,1.8615040974269288,12.234857363976998,6.446257836679059,0.8865462570109365,1
8,92.0484,243,34.29397616000001,71.96090543933055,164.18523347280336,5625.216516320001,114.052734375,12,105.51523189158118,3,7,8.792935990965098,1.1759534007520624,2.119428045362253,0.30356872496035675,1.7142857142857142,0.42857142857142855,8.660868438421176,4.627994462777911,11.852114949912552,4.8342094390509,0.5497833083304755,1
14,217.43120000000002,574,24.967162560000006,89.07895632183909,138.63426896551724,1092.81557504,132.931640625,42,260.75903255158596,6,26,6.20854839408538,1.0994937658693071,1.4899494936611655,0.11037768697336932,1.6153846153846154,0.23076923076923078,4.90536434099425,2.9329122922807853,8.452432779415428,4.283662888270312,0.6899620678403949,1
18,638.278,1685,33.863507840000004,99.91813050847459,83.55108135593221,11274.826237440002,121.025390625,142,737.952086364226,23,87,5.19684567862131,1.0864843078006916,2.1487332696183645,0.12041738109089692,1.632183908045977,0.26436781609195403,4.90536434099425,2.900416389707714,6.907524584561572,3.113579353139838,0.5991286918425198,1
22,446.6052,1179,37.73772272000001,113.68176882129278,150.11426311787073,2108.29034192,120.099609375,104,529.2575012060947,13,65,5.089014434673988,1.0858886423992127,1.4495250923279284,0.09091718434567328,1.6,0.2,4.807876633275036,2.9749260243567326,6.845320487134644,3.038017757223207,0.5969756612446764,1
25,195.08200000000002,515,30.132782400000004,115.07042095238097,262.75732571428574,8256.095398720001,117.041015625,32,232.99895060304738,10,18,7.2812172063452305,1.0877794163424013,1.3416407864998903,0.061429988903537194,1.7777777777777777,0.5555555555555556,6.544972535848107,3.3374780730701965,8.955640974269286,5.194106817303699,0.7133569388339748,1
27,323.874,855,52.804113920000006,119.1500989130435,201.17985652173914,2917.7142729600005,117.041015625,65,380.7874972225826,19,37,5.858269188039732,1.1410382371538215,3.766674251048075,0.35038077366454,1.7567567567567568,0.5135135135135135,4.572520487134644,3.0573204871346427,8.268608194853858,4.217972907964207,0.7200032590813067,1
34,257.9628,681,30.706740160000006,132.24722242990657,180.95488411214956,1508.7914616000003,119.56640625,59,300.4680407464399,19,33,5.09267865671932,1.1105839875088017,2.262220884229791,0.17776908953266307,1.7878787878787878,0.5757575757575758,4.794416389707714,2.429704097426929,6.23116434099425,3.505623360541968,0.6883653175164747,1
36,43.9408,116,39.60308544,141.3074971014493,319.8760130434783,2379.9158518400004,124.013671875,5,51.8779171636272,4,2,10.37558343272544,1.1373750340296727,1.3798638747173928,0.1451550548140801,2.5,2.0,10.438345071696213,10.1895286819885,12.424257363976997,5.981008264481271,0.576450307904294,1
