label,critical_radius_um,peak_intersections,auc
2,18.0,8.0,84.0
7,16.0,13.0,152.0
10,2.0,2.0,19.0
12,9.0,4.0,29.0
13,3.0,3.0,24.0
16,15.0,13.0,141.0
17,6.0,8.0,87.0
20,7.0,7.0,51.0
21,2.0,1.0,1.0
24,13.0,15.0,145.0
25,4.0,6.0,52.0
31,14.0,13.0,138.0
39,14.0,12.0,83.0
43,1.0,3.0,23.0
44,8.0,6.0,66.0
50,16.0,8.0,103.0
51,12.0,13.0,139.0
57,4.0,4.0,21.0
58,10.0,12.0,112.0
60,3.0,4.0,25.0
66,3.0,6.0,53.0
152,3.0,5.0,26.0
156,3.0,8.0,59.0
169,4.0,3.0,29.0
171,9.0,13.0,162.0
186,24.0,11.0,128.0
201,5.0,3.0,16.0
203,13.0,10.0,81.0
216,6.0,7.0,34.0
217,3.0,7.0,41.0
218,10.0,7.0,79.0
239,6.0,9.0,78.0
