label,skeleton_length_um,skeleton_pixels,nuclear_area_um2,centroid_y_um,centroid_x_um,territory_area_um2,gfap_threshold,n_branches,total_branch_length_um,n_endpoints,n_junctions,mean_branch_length_um,tortuosity_mean,tortuosity_max,tortuosity_std,ramification_index,termination_index,branch_length_median_um,branch_length_p25_um,branch_length_p75_um,branch_length_std_um,branch_length_cv,n_connected_components
2,100.0032,264,20.805968800000002,2.0794813793103453,107.16905103448276,410.3797984000001,139.41015625,31,116.48928106070436,8,18,3.757718743893689,1.0847072100633435,1.3431010844364812,0.07319330869216087,1.7222222222222223,0.4444444444444444,2.965408194853857,1.7505561461403927,5.584512292280786,2.4500999032534003,0.6520179050746745,1
7,213.26440000000002,563,17.2187328,15.953793333333335,91.12034000000001,1441.6384036800002,105.275390625,57,241.29639246515092,23,30,4.233270043248262,1.1193511996156844,1.5850088551838686,0.1144230227397535,1.9,0.7666666666666667,3.1223122922807853,1.8940000000000001,5.773912292280786,3.1685113454875533,0.7484784370279151,1
10,20.0764,53,46.634068000000006,24.222220307692307,167.16618830769232,833.9606252800002,122.021484375,1,21.894257363976983,2,0,21.894257363976983,1.0915188593168161,1.0915188593168161,,1.0,,21.894257363976983,21.894257363976983,21.894257363976983,,,1
12,35.607200000000006,94,27.119504160000005,26.1432126984127,177.7373693121693,1042.1638027200001,119.033203125,4,42.19717209193099,2,2,10.549293022982747,1.6185747536855546,3.0973709512854843,0.9861488685760553,2.0,1.0,11.084997120409676,9.122062901199087,12.512227242193337,4.923922042793946,0.46675374663180397,1
13,28.788800000000002,76,30.993719040000006,31.277305555555557,172.9677962962963,274.0648304,121.40625,7,32.960218825380935,5,3,4.708602689340133,1.0646920302773704,1.1167366879602332,0.030210886471835657,2.3333333333333335,1.6666666666666667,3.566104097426929,3.311712292280786,6.734372535848108,2.129775794011376,0.4523158853120063,1
16,203.79440000000002,538,24.249715360000003,34.39907455621302,122.76033846153848,1732.4914985600003,104.091796875,64,235.77129656257787,11,39,3.6839265087902793,1.0752237172526662,1.448528137423859,0.07834040100892538,1.641025641025641,0.28205128205128205,3.376704097426929,2.207808194853857,4.406098560204839,2.004485216157301,0.5441165048690209,1
17,127.27680000000001,336,43.33381088000001,38.94114172185431,155.2001298013245,804.5452900800002,134.970703125,45,147.17669988608532,20,23,3.270593330801896,1.0888400600830355,1.65996632910745,0.133486216612489,1.9565217391304348,0.8695652173913043,2.7435122922807853,1.450208194853857,4.637512292280786,2.3738190024845114,0.7258068375937432,3
20,57.9564,153,35.728870560000004,44.44586666666667,59.104970281124494,22606.90476144,68.96484375,20,66.2723171636272,10,10,3.31361585818136,1.0977546707069816,1.3581490210501714,0.08772328904633352,2.0,1.0,2.2862602435673214,1.2540780730701964,3.6120602435673215,3.0918489249609746,0.9330740367285363,1
21,1.1364,3,32.85908176000001,44.27824628820961,195.44095021834065,837.1173929600002,134.970703125,1,0.9145040974269285,2,0,0.9145040974269285,1.079669127533639,1.079669127533639,,1.0,,0.9145040974269285,0.9145040974269285,0.9145040974269285,,,1
24,202.2792,534,36.87678608,61.29337743190662,141.4044186770428,8703.06500432,78.88671875,69,232.69167441368953,30,36,3.3723431074447756,1.1104531798367974,1.5889591761953372,0.13899373956558958,1.9166666666666667,0.8333333333333334,2.429704097426929,1.450208194853857,4.193720487134643,3.051748412764642,0.9049341409026888,1
25,69.3204,183,31.42418736,75.13731506849315,196.8272474885845,1865.6496988800002,107.080078125,22,81.06128681988498,8,12,3.684603946358408,1.1018412968425486,1.4638315096292562,0.11437641211308015,1.8333333333333333,0.6666666666666666,3.1223122922807858,2.050904097426929,4.807876633275036,2.6182113500916344,0.7105814866966319,1
31,194.32440000000003,513,25.8280992,98.95308222222222,239.97611333333333,1025.5190276800001,114.60546875,70,228.18414573170105,14,42,3.259773510452872,1.113610120783396,2.4142135623731065,0.1870229210846149,1.6666666666666667,0.3333333333333333,2.9329122922807853,1.5544260243567323,3.948846511491375,2.4691895677293716,0.7574727384622294,2
39,102.27600000000001,270,25.54112032,113.31865842696631,283.8765505617978,4247.43091344,120.029296875,28,119.63851384011977,8,16,4.272804065718563,1.109688733466135,1.468394065928516,0.11513126263964914,1.75,0.5,2.776008194853857,1.6166301217836607,6.74783277941543,3.4562891223615,0.808904192469741,1
43,20.4552,54,19.65805328,118.1800700729927,288.72025401459854,1538.2067968000001,108.076171875,3,25.097331117661707,3,1,8.36577703922057,1.0700238447997474,1.1124155849044108,0.03714640864663459,3.0,3.0,7.5379286819885,4.983816389707714,11.33381351011739,6.390341391986819,0.7638670457062767,1
44,90.912,240,30.993719040000006,122.36818333333335,291.8373407407408,522.7320299200001,126.005859375,23,106.14284828128892,4,14,4.614906447012562,1.6193980737449893,12.363961030678524,2.3483186375895366,1.6428571428571428,0.2857142857142857,3.4361204871346427,2.1618520487134645,6.4015286819885,3.549759552281412,0.7691942606072399,1
50,148.1108,391,35.154912800000005,134.0055248979592,305.92970285714284,2737.9220046400005,122.021484375,43,168.04877120409677,14,24,3.9081109582348086,1.1044268224614067,1.448528137423853,0.10932108466635429,1.7916666666666667,0.5833333333333334,3.1223122922807853,2.1293561461403927,5.140720487134644,2.607910968867892,0.6673072992906571,1
51,196.976,520,30.419761280000003,141.35851132075473,265.5370132075472,1761.9068337600002,93.76953125,83,230.0512252445664,21,48,2.7717015089706796,1.0867845201216013,2.414213562373016,0.16121111493211143,1.7291666666666667,0.4375,2.6516,1.2933040974269285,3.944904097426929,1.6595022571769347,0.5987305096908578,1
57,25.379600000000003,67,34.00699728000001,168.35502278481013,281.9358852320675,29997.615347520004,76.90234375,7,28.45269014339243,5,3,4.064670020484633,1.0808512214926664,1.1876668656491287,0.07237819735820991,2.3333333333333335,1.6666666666666667,3.8799122922807854,1.9399561461403927,5.819868438421179,2.8559853693736277,0.7026364637179346,1
58,148.1108,391,21.23643712,168.78611351351353,312.515118918919,5183.269041120001,89.80078125,42,172.3770941269046,15,23,4.104216526831062,1.1287697498851141,1.599985430797444,0.12215049769506899,1.826086956521739,0.6521739130434783,3.1223122922807853,1.6625862679240533,6.048494462777911,3.0538130914939243,0.7440672468252612,1
60,32.955600000000004,87,18.797116640000002,170.7375938931298,338.4708122137405,4492.36738752,113.181640625,9,37.44082702023479,6,4,4.160091891137199,1.1162053910646914,1.2242825646142068,0.0693715690919788,2.25,1.5,3.3442081948538576,2.3647122922807853,5.330120487134643,2.627174354673586,0.6315183470515657,1
66,70.8356,187,36.015849440000004,181.83607330677293,384.06999840637457,11870.163924000002,126.005859375,22,81.81888681988498,11,11,3.7190403099947718,1.0744393079534194,1.453918490965768,0.10030397263863751,2.0,1.0,3.0763561461403928,1.6721040974269286,4.572520487134643,2.871824597804736,0.7721950714238893,1
152,34.092,90,39.89006432000001,49.73180719424461,208.8414330935252,1633.1968060800002,120.029296875,6,39.426739312515565,3,3,6.571123218752594,1.051845661406945,1.081769269142076,0.03139480457595245,2.0,1.0,4.1802602435673215,3.383434219210589,5.281376633275036,7.510310809851266,1.142926492143448,1
156,65.53240000000001,173,37.307254400000005,125.98888000000002,224.5001907692308,1430.30273792,83.84765625,19,75.32544584561572,8,10,3.9644971497692483,1.1168648956121592,1.6165148348905876,0.13223936990587007,1.9,0.8,3.5011122922807862,2.5081561461403927,5.441068438421178,2.181821283921086,0.5503399804558008,1
169,34.8496,92,30.850229600000006,54.18601860465116,212.64951069767443,2385.3684505600004,121.025390625,3,37.922690143392416,3,1,12.640896714464139,1.069239441428287,1.1057070415705788,0.04326351240199815,3.0,3.0,9.967632779415428,8.471468438421178,15.473693022982742,7.3750189276002835,0.5834252976026248,1
171,217.43120000000002,574,41.75542704,74.51035051546393,219.4072082474227,1153.3681187200002,137.958984375,66,253.82833177766648,15,39,3.8458838148131282,1.093348306756046,1.7725084344363946,0.11763428728475771,1.6923076923076923,0.38461538461538464,3.4226602435673215,2.050904097426929,5.231478073070196,2.812716844076202,0.7313577267317608,1
186,167.42960000000002,442,43.33381088000001,125.45304105960265,219.17217483443713,29650.801371040005,78.88671875,50,192.82114329602774,22,26,3.856422865920555,1.115182888097188,1.886772432211462,0.14622651159633823,1.9230769230769231,0.8461538461538461,2.7300520487134645,1.829008194853857,4.3601424140644465,3.7931372397954606,0.983589552202806,1
201,23.1068,61,31.567676800000008,29.895929090909092,167.50880363636364,113.64363648000003,145.294921875,5,25.86608194853857,4,2,5.173216389707714,1.0685479554564075,1.1146549437952302,0.04204782086729844,2.5,2.0,6.466520487134644,1.2933040974269285,8.2955286819885,3.742229209835894,0.7233854004795128,1
203,93.18480000000001,246,20.518989920000003,153.0140083916084,336.10420699300704,4237.9606104,119.033203125,21,112.07828349637755,9,11,5.337061118875122,1.110937105506018,1.4204951288348662,0.12256039245907127,1.9090909090909092,0.8181818181818182,4.794416389707715,3.0573204871346427,6.650345071696215,3.5539663388599534,0.6659032489418096,1
216,55.3048,146,42.903342560000006,67.95722675585286,203.971764548495,168.45660256000002,158.791015625,23,63.18807618935793,7,13,2.7473076604068667,1.224723782773255,2.678329473555962,0.43140420711067096,1.7692307692307692,0.5384615384615384,2.050904097426929,1.6721040974269286,4.291208194853858,1.6386289184491958,0.5964490042613285,1
217,58.3352,154,23.819247040000004,66.87645542168674,198.23790602409642,372.78556512000006,108.00390625,24,68.63702945590799,6,14,2.8598762273294995,1.0828017302683184,1.4298110964870703,0.10597438036630016,1.7142857142857142,0.42857142857142855,2.1293561461403927,1.2540780730701964,4.5103163897077145,2.3925156759751665,0.8365801474594773,1
218,126.14040000000001,333,22.240863200000003,97.20741161290323,262.14915096774195,5091.579288960001,125.009765625,34,145.5695875938045,14,18,4.281458458641309,1.070019052595928,1.3416238672011414,0.07134194495201812,1.8888888888888888,0.7777777777777778,3.265756146140393,1.8452561461403927,6.898006755058697,2.975669470977432,0.6950130428035824,1
239,92.80600000000001,245,31.711166240000008,5.647719457013575,103.27356380090498,293.00543648000007,144.37109375,28,105.7751991121658,8,16,3.7776856825773497,1.0975549998476015,1.5656854249492398,0.11733720234187833,1.75,0.5,3.311712292280786,2.6650602435673214,5.300412292280786,2.0521234858590622,0.5432224007739543,1
