label,radius_um,intersections
2,0.0,0
2,5.0,3
2,10.0,5
2,15.0,4
2,20.0,5
2,25.0,9
2,30.0,12
2,35.0,14
2,40.0,0
4,0.0,0
4,5.0,2
4,10.0,2
4,15.0,3
4,20.0,1
4,25.0,0
4,30.0,0
4,35.0,0
4,40.0,0
9,0.0,0
9,5.0,3
9,10.0,5
9,15.0,14
9,20.0,8
9,25.0,9
9,30.0,10
9,35.0,14
9,40.0,0
10,0.0,0
10,5.0,4
10,10.0,8
10,15.0,8
10,20.0,5
10,25.0,1
10,30.0,0
10,35.0,0
10,40.0,0
110,0.0,0
110,5.0,2
110,10.0,1
110,15.0,1
110,20.0,0
110,25.0,0
110,30.0,0
110,35.0,0
110,40.0,0
112,0.0,0
112,5.0,5
112,10.0,5
112,15.0,5
112,20.0,1
112,25.0,1
112,30.0,0
112,35.0,0
112,40.0,0
134,0.0,0
134,5.0,2
134,10.0,1
134,15.0,0
134,20.0,0
134,25.0,0
134,30.0,0
134,35.0,0
134,40.0,0
152,0.0,0
152,5.0,3
152,10.0,4
152,15.0,9
152,20.0,9
152,25.0,4
152,30.0,2
152,35.0,0
152,40.0,0
153,0.0,0
153,5.0,6
153,10.0,6
153,15.0,0
153,20.0,0
153,25.0,0
153,30.0,0
153,35.0,0
153,40.0,0
159,0.0,0
159,5.0,3
159,10.0,5
159,15.0,6
159,20.0,6
159,25.0,4
159,30.0,1
159,35.0,0
159,40.0,0
160,0.0,0
160,5.0,3
160,10.0,4
160,15.0,5
160,20.0,10
160,25.0,5
160,30.0,2
160,35.0,0
160,40.0,0
161,0.0,0
161,5.0,2
161,10.0,1
161,15.0,0
161,20.0,0
161,25.0,0
161,30.0,0
161,35.0,0
161,40.0,0
162,0.0,0
162,5.0,2
162,10.0,2
162,15.0,2
162,20.0,1
162,25.0,0
162,30.0,0
162,35.0,0
162,40.0,0
163,0.0,0
163,5.0,6
163,10.0,11
163,15.0,14
163,20.0,23
163,25.0,16
163,30.0,10
163,35.0,6
163,40.0,0
189,0.0,0
189,5.0,3
189,10.0,3
189,15.0,0
189,20.0,0
189,25.0,0
189,30.0,0
189,35.0,0
189,40.0,0
