label,radius_um,intersections
5,0.0,0
5,5.0,2
5,10.0,1
5,15.0,0
5,20.0,0
5,25.0,0
5,30.0,0
5,35.0,0
5,40.0,0
7,0.0,0
7,5.0,1
7,10.0,4
7,15.0,5
7,20.0,5
7,25.0,1
7,30.0,2
7,35.0,2
7,40.0,0
13,0.0,0
13,5.0,2
13,10.0,3
13,15.0,1
13,20.0,1
13,25.0,1
13,30.0,0
13,35.0,0
13,40.0,0
14,0.0,0
14,5.0,5
14,10.0,2
14,15.0,0
14,20.0,0
14,25.0,0
14,30.0,0
14,35.0,0
14,40.0,0
18,0.0,0
18,5.0,3
18,10.0,2
18,15.0,1
18,20.0,1
18,25.0,0
18,30.0,0
18,35.0,0
18,40.0,0
22,0.0,0
22,5.0,5
22,10.0,2
22,15.0,0
22,20.0,0
22,25.0,0
22,30.0,0
22,35.0,0
22,40.0,0
27,0.0,0
27,5.0,6
27,10.0,10
27,15.0,8
27,20.0,7
27,25.0,10
27,30.0,12
27,35.0,4
27,40.0,0
33,0.0,0
33,5.0,4
33,10.0,2
33,15.0,0
33,20.0,0
33,25.0,0
33,30.0,0
33,35.0,0
33,40.0,0
62,0.0,0
62,5.0,8
62,10.0,6
62,15.0,6
62,20.0,6
62,25.0,5
62,30.0,3
62,35.0,1
62,40.0,0
74,0.0,0
74,5.0,5
74,10.0,8
74,15.0,6
74,20.0,0
74,25.0,0
74,30.0,0
74,35.0,0
74,40.0,0
138,0.0,0
138,5.0,2
138,10.0,6
138,15.0,1
138,20.0,2
138,25.0,3
138,30.0,3
138,35.0,2
138,40.0,0
139,0.0,0
139,5.0,4
139,10.0,5
139,15.0,4
139,20.0,3
139,25.0,9
139,30.0,3
139,35.0,4
139,40.0,0
141,0.0,0
141,5.0,3
141,10.0,2
141,15.0,1
141,20.0,0
141,25.0,0
141,30.0,0
141,35.0,0
141,40.0,0
213,0.0,0
213,5.0,4
213,10.0,8
213,15.0,5
213,20.0,3
213,25.0,3
213,30.0,4
213,35.0,0
213,40.0,0
237,0.0,0
237,5.0,5
237,10.0,6
237,15.0,5
237,20.0,1
237,25.0,0
237,30.0,0
237,35.0,0
237,40.0,0
304,0.0,0
304,5.0,4
304,10.0,3
304,15.0,0
304,20.0,0
304,25.0,0
304,30.0,0
304,35.0,0
304,40.0,0
326,0.0,0
326,5.0,4
326,10.0,3
326,15.0,3
326,20.0,3
326,25.0,4
326,30.0,6
326,35.0,0
326,40.0,0
338,0.0,0
338,5.0,3
338,10.0,2
338,15.0,3
338,20.0,1
338,25.0,0
338,30.0,0
338,35.0,0
338,40.0,0
344,0.0,0
344,5.0,3
344,10.0,1
344,15.0,0
344,20.0,0
344,25.0,0
344,30.0,0
344,35.0,0
344,40.0,0
345,0.0,0
345,5.0,3
345,10.0,1
345,15.0,0
345,20.0,0
345,25.0,0
345,30.0,0
345,35.0,0
345,40.0,0
450,0.0,0
450,5.0,2
450,10.0,1
450,15.0,0
450,20.0,0
450,25.0,0
450,30.0,0
450,35.0,0
450,40.0,0
461,0.0,0
461,5.0,2
461,10.0,0
461,15.0,0
461,20.0,0
461,25.0,0
461,30.0,0
461,35.0,0
461,40.0,0
474,0.0,0
474,5.0,1
474,10.0,0
474,15.0,0
474,20.0,0
474,25.0,0
474,30.0,0
474,35.0,0
474,40.0,0
