label,radius_um,intersections
21,0.0,0
21,0.5,0
21,1.0,0
21,1.5,1
21,2.0,1
21,2.5,1
21,3.0,1
21,3.5,1
21,4.0,1
21,4.5,2
21,5.0,4
21,5.5,5
21,6.0,4
21,6.5,7
21,7.0,5
21,7.5,5
21,8.0,6
21,8.5,6
21,9.0,6
21,9.5,5
21,10.0,4
21,10.5,3
21,11.0,2
21,11.5,4
21,12.0,4
21,12.5,1
21,13.0,1
21,13.5,1
21,14.0,1
21,14.5,1
21,15.0,1
21,15.5,1
21,16.0,1
21,16.5,1
21,17.0,1
21,17.5,1
21,18.0,2
21,18.5,1
21,19.0,1
21,19.5,1
21,20.0,1
21,20.5,1
21,21.0,1
21,21.5,1
21,22.0,5
21,22.5,1
21,23.0,1
21,23.5,1
21,24.0,1
21,24.5,2
21,25.0,0
23,0.0,0
23,0.5,0
23,1.0,0
23,1.5,0
23,2.0,8
23,2.5,4
23,3.0,4
23,3.5,6
23,4.0,5
23,4.5,5
23,5.0,4
23,5.5,4
23,6.0,3
23,6.5,3
23,7.0,2
23,7.5,2
23,8.0,2
23,8.5,2
23,9.0,2
23,9.5,2
23,10.0,2
23,10.5,1
23,11.0,1
23,11.5,1
23,12.0,0
23,12.5,0
23,13.0,0
23,13.5,0
23,14.0,0
23,14.5,0
23,15.0,0
23,15.5,0
23,16.0,0
23,16.5,0
23,17.0,0
23,17.5,0
23,18.0,0
23,18.5,0
23,19.0,0
23,19.5,0
23,20.0,0
23,20.5,0
23,21.0,0
23,21.5,0
23,22.0,0
23,22.5,0
23,23.0,0
23,23.5,0
23,24.0,0
23,24.5,0
23,25.0,0
25,0.0,0
25,0.5,0
25,1.0,0
25,1.5,0
25,2.0,1
25,2.5,1
25,3.0,2
25,3.5,2
25,4.0,2
25,4.5,3
25,5.0,6
25,5.5,6
25,6.0,7
25,6.5,6
25,7.0,6
25,7.5,5
25,8.0,6
25,8.5,5
25,9.0,4
25,9.5,3
25,10.0,4
25,10.5,4
25,11.0,3
25,11.5,2
25,12.0,1
25,12.5,1
25,13.0,1
25,13.5,1
25,14.0,1
25,14.5,1
25,15.0,1
25,15.5,1
25,16.0,1
25,16.5,1
25,17.0,1
25,17.5,2
25,18.0,1
25,18.5,1
25,19.0,1
25,19.5,1
25,20.0,1
25,20.5,1
25,21.0,0
25,21.5,0
25,22.0,0
25,22.5,0
25,23.0,0
25,23.5,0
25,24.0,0
25,24.5,0
25,25.0,0
27,0.0,0
27,0.5,0
27,1.0,2
27,1.5,2
27,2.0,2
27,2.5,2
27,3.0,3
27,3.5,2
27,4.0,5
27,4.5,4
27,5.0,3
27,5.5,3
27,6.0,3
27,6.5,3
27,7.0,2
27,7.5,2
27,8.0,2
27,8.5,2
27,9.0,2
27,9.5,2
27,10.0,1
27,10.5,0
27,11.0,0
27,11.5,0
27,12.0,0
27,12.5,0
27,13.0,0
27,13.5,0
27,14.0,0
27,14.5,0
27,15.0,0
27,15.5,0
27,16.0,0
27,16.5,0
27,17.0,0
27,17.5,0
27,18.0,0
27,18.5,0
27,19.0,0
27,19.5,0
27,20.0,0
27,20.5,0
27,21.0,0
27,21.5,0
27,22.0,0
27,22.5,0
27,23.0,0
27,23.5,0
27,24.0,0
27,24.5,0
27,25.0,0
28,0.0,0
28,0.5,0
28,1.0,0
28,1.5,1
28,2.0,1
28,2.5,3
28,3.0,3
28,3.5,6
28,4.0,6
28,4.5,4
28,5.0,3
28,5.5,4
28,6.0,5
28,6.5,3
28,7.0,5
28,7.5,2
28,8.0,1
28,8.5,0
28,9.0,0
28,9.5,0
28,10.0,0
28,10.5,0
28,11.0,0
28,11.5,0
28,12.0,0
28,12.5,0
28,13.0,0
28,13.5,0
28,14.0,0
28,14.5,0
