label,critical_radius_um,peak_intersections,auc
5,5.0,5.0,25.0
6,3.0,1.0,1.0
7,7.0,7.0,44.0
10,11.0,9.0,88.0
13,1.0,3.0,16.0
14,8.0,6.0,27.0
15,3.0,4.0,18.0
19,1.0,3.0,17.0
21,3.0,2.0,6.0
23,2.0,8.0,26.0
25,6.0,8.0,57.0
27,4.0,5.0,26.0
28,4.0,6.0,25.0
31,6.0,9.0,82.0
34,6.0,11.0,59.0
54,12.0,5.0,36.0
60,3.0,2.0,11.0
63,5.0,8.0,48.0
73,2.0,4.0,33.0
101,6.0,4.0,48.0
137,3.0,6.0,22.0
138,4.0,8.0,39.0
140,3.0,3.0,7.0
152,5.0,5.0,30.0
154,9.0,7.0,40.0
163,7.0,4.0,19.0
168,4.0,11.0,71.0
211,5.0,7.0,42.0
233,4.0,4.0,13.0
236,5.0,4.0,24.0
251,8.0,8.0,57.0
300,7.0,7.0,45.0
303,6.0,7.0,47.0
311,3.0,3.0,7.0
325,3.0,9.0,23.0
331,8.0,8.0,74.0
339,5.0,10.0,44.0
343,8.0,5.0,49.0
345,2.0,4.0,36.0
346,8.0,13.0,116.0
348,11.0,9.0,119.0
353,9.0,7.0,59.0
375,7.0,8.0,47.0
393,9.0,10.0,81.0
425,1.0,2.0,10.0
452,4.0,2.0,3.0
453,4.0,5.0,14.0
461,7.0,8.0,91.0
466,2.0,4.0,10.0
480,1.0,2.0,11.0
499,4.0,5.0,45.0
505,4.0,8.0,30.0
513,3.0,3.0,14.0
