label,critical_radius_um,peak_intersections,auc
200,15.0,4.0,45.0
222,10.0,5.0,50.0
230,5.0,3.0,25.0
248,5.0,8.0,45.0
251,5.0,7.0,235.0
253,5.0,3.0,65.0
261,5.0,5.0,55.0
265,5.0,3.0,15.0
283,5.0,3.0,30.0
290,5.0,4.0,25.0
293,5.0,3.0,25.0
295,5.0,3.0,15.0
298,10.0,6.0,170.0
301,5.0,4.0,20.0
304,5.0,4.0,25.0
306,10.0,4.0,35.0
311,5.0,2.0,10.0
313,5.0,3.0,20.0
314,5.0,4.0,45.0
315,5.0,3.0,20.0
316,5.0,1.0,5.0
318,0.0,0.0,0.0
319,5.0,4.0,20.0
320,5.0,2.0,10.0
321,5.0,4.0,30.0
323,5.0,2.0,10.0
324,5.0,1.0,5.0
326,5.0,1.0,5.0
327,5.0,1.0,5.0
328,0.0,0.0,0.0
337,15.0,9.0,310.0
348,5.0,3.0,20.0
349,0.0,0.0,0.0
368,10.0,5.0,75.0
371,5.0,2.0,25.0
392,5.0,1.0,5.0
412,5.0,2.0,15.0
413,5.0,3.0,30.0
415,5.0,4.0,30.0
416,20.0,4.0,145.0
434,5.0,3.0,15.0
436,5.0,5.0,55.0
437,10.0,11.0,300.0
439,5.0,3.0,15.0
440,35.0,4.0,150.0
441,0.0,0.0,0.0
456,5.0,2.0,10.0
457,5.0,3.0,25.0
472,5.0,4.0,35.0
