label,radius_um,intersections
2,0.0,0
2,5.0,4
2,10.0,2
2,15.0,0
2,20.0,0
2,25.0,0
2,30.0,0
2,35.0,0
2,40.0,0
2,45.0,0
2,50.0,0
2,55.0,0
2,60.0,0
2,65.0,0
2,70.0,0
2,75.0,0
2,80.0,0
3,0.0,0
3,5.0,2
3,10.0,2
3,15.0,3
3,20.0,0
3,25.0,0
3,30.0,0
3,35.0,0
3,40.0,0
3,45.0,0
3,50.0,0
3,55.0,0
3,60.0,0
3,65.0,0
3,70.0,0
3,75.0,0
3,80.0,0
5,0.0,0
5,5.0,4
5,10.0,5
5,15.0,0
5,20.0,0
5,25.0,0
5,30.0,0
5,35.0,0
5,40.0,0
5,45.0,0
5,50.0,0
5,55.0,0
5,60.0,0
5,65.0,0
5,70.0,0
5,75.0,0
5,80.0,0
6,0.0,0
6,5.0,3
6,10.0,6
6,15.0,4
6,20.0,1
6,25.0,1
6,30.0,0
6,35.0,0
6,40.0,0
6,45.0,0
6,50.0,0
6,55.0,0
6,60.0,0
6,65.0,0
6,70.0,0
6,75.0,0
6,80.0,0
7,0.0,0
7,5.0,3
7,10.0,3
7,15.0,1
7,20.0,0
7,25.0,0
7,30.0,0
7,35.0,0
7,40.0,0
7,45.0,0
7,50.0,0
7,55.0,0
7,60.0,0
7,65.0,0
7,70.0,0
7,75.0,0
7,80.0,0
11,0.0,0
11,5.0,3
11,10.0,5
11,15.0,2
11,20.0,0
11,25.0,0
11,30.0,0
11,35.0,0
11,40.0,0
11,45.0,0
11,50.0,0
11,55.0,0
11,60.0,0
11,65.0,0
11,70.0,0
11,75.0,0
11,80.0,0
19,0.0,0
19,5.0,5
19,10.0,7
19,15.0,1
19,20.0,0
19,25.0,0
19,30.0,0
19,35.0,0
19,40.0,0
19,45.0,0
19,50.0,0
19,55.0,0
19,60.0,0
19,65.0,0
19,70.0,0
19,75.0,0
19,80.0,0
21,0.0,0
21,5.0,5
21,10.0,3
21,15.0,2
21,20.0,1
21,25.0,0
21,30.0,0
21,35.0,0
21,40.0,0
21,45.0,0
21,50.0,0
21,55.0,0
21,60.0,0
21,65.0,0
21,70.0,0
21,75.0,0
21,80.0,0
22,0.0,0
22,5.0,2
22,10.0,1
22,15.0,0
22,20.0,0
22,25.0,0
22,30.0,0
22,35.0,0
22,40.0,0
22,45.0,0
22,50.0,0
22,55.0,0
22,60.0,0
22,65.0,0
22,70.0,0
22,75.0,0
22,80.0,0
25,0.0,0
25,5.0,1
25,10.0,1
25,15.0,1
25,20.0,1
25,25.0,1
25,30.0,0
25,35.0,0
25,40.0,0
25,45.0,0
25,50.0,0
25,55.0,0
25,60.0,0
25,65.0,0
25,70.0,0
25,75.0,0
25,80.0,0
29,0.0,0
29,5.0,1
29,10.0,1
29,15.0,1
29,20.0,3
29,25.0,1
29,30.0,0
29,35.0,0
29,40.0,0
29,45.0,0
29,50.0,0
29,55.0,0
29,60.0,0
29,65.0,0
29,70.0,0
29,75.0,0
29,80.0,0
36,0.0,0
36,5.0,3
36,10.0,1
36,15.0,1
36,20.0,2
36,25.0,1
36,30.0,0
36,35.0,0
36,40.0,0
36,45.0,0
36,50.0,0
36,55.0,0
36,60.0,0
36,65.0,0
36,70.0,0
36,75.0,0
36,80.0,0
38,0.0,0
38,5.0,2
38,10.0,1
38,15.0,0
38,20.0,0
38,25.0,0
38,30.0,0
38,35.0,0
38,40.0,0
38,45.0,0
38,50.0,0
38,55.0,0
38,60.0,0
38,65.0,0
38,70.0,0
38,75.0,0
38,80.0,0
41,0.0,0
41,5.0,3
41,10.0,4
41,15.0,1
41,20.0,0
41,25.0,0
41,30.0,0
41,35.0,0
41,40.0,0
41,45.0,0
41,50.0,0
41,55.0,0
41,60.0,0
41,65.0,0
41,70.0,0
41,75.0,0
41,80.0,0
42,0.0,0
42,5.0,2
42,10.0,1
42,15.0,1
42,20.0,1
42,25.0,0
42,30.0,0
42,35.0,0
42,40.0,0
42,45.0,0
42,50.0,0
42,55.0,0
42,60.0,0
42,65.0,0
42,70.0,0
42,75.0,0
42,80.0,0
45,0.0,0
45,5.0,4
45,10.0,2
45,15.0,2
45,20.0,2
45,25.0,1
45,30.0,0
45,35.0,0
45,40.0,0
45,45.0,0
45,50.0,0
45,55.0,0
45,60.0,0
45,65.0,0
45,70.0,0
45,75.0,0
45,80.0,0
49,0.0,0
49,5.0,3
49,10.0,1
49,15.0,0
49,20.0,0
49,25.0,0
49,30.0,0
49,35.0,0
49,40.0,0
49,45.0,0
49,50.0,0
49,55.0,0
49,60.0,0
49,65.0,0
49,70.0,0
49,75.0,0
49,80.0,0
56,0.0,0
56,5.0,3
56,10.0,1
56,15.0,2
56,20.0,0
56,25.0,0
56,30.0,0
56,35.0,0
56,40.0,0
56,45.0,0
56,50.0,0
56,55.0,0
56,60.0,0
56,65.0,0
56,70.0,0
56,75.0,0
56,80.0,0
60,0.0,0
60,5.0,1
60,10.0,0
60,15.0,0
60,20.0,0
60,25.0,0
60,30.0,0
60,35.0,0
60,40.0,0
60,45.0,0
60,50.0,0
60,55.0,0
60,60.0,0
60,65.0,0
60,70.0,0
60,75.0,0
60,80.0,0
61,0.0,0
61,5.0,2
61,10.0,1
61,15.0,1
61,20.0,2
61,25.0,4
61,30.0,0
61,35.0,0
61,40.0,0
61,45.0,0
61,50.0,0
61,55.0,0
61,60.0,0
61,65.0,0
61,70.0,0
61,75.0,0
61,80.0,0
63,0.0,0
63,5.0,5
63,10.0,5
63,15.0,2
63,20.0,0
63,25.0,0
63,30.0,0
63,35.0,0
63,40.0,0
63,45.0,0
63,50.0,0
63,55.0,0
63,60.0,0
63,65.0,0
63,70.0,0
63,75.0,0
63,80.0,0
71,0.0,0
71,5.0,4
71,10.0,2
71,15.0,1
71,20.0,2
71,25.0,1
71,30.0,0
71,35.0,0
71,40.0,0
71,45.0,0
71,50.0,0
71,55.0,0
71,60.0,0
71,65.0,0
71,70.0,0
71,75.0,0
71,80.0,0
73,0.0,0
73,5.0,1
73,10.0,0
73,15.0,0
73,20.0,0
73,25.0,0
73,30.0,0
73,35.0,0
73,40.0,0
73,45.0,0
73,50.0,0
73,55.0,0
73,60.0,0
73,65.0,0
73,70.0,0
73,75.0,0
73,80.0,0
75,0.0,0
75,5.0,6
75,10.0,7
75,15.0,2
75,20.0,1
75,25.0,0
75,30.0,0
75,35.0,0
75,40.0,0
75,45.0,0
75,50.0,0
75,55.0,0
75,60.0,0
75,65.0,0
75,70.0,0
75,75.0,0
75,80.0,0
78,0.0,0
78,5.0,1
78,10.0,0
78,15.0,0
78,20.0,0
78,25.0,0
78,30.0,0
78,35.0,0
78,40.0,0
78,45.0,0
78,50.0,0
78,55.0,0
78,60.0,0
78,65.0,0
78,70.0,0
78,75.0,0
78,80.0,0
83,0.0,0
83,5.0,2
83,10.0,1
83,15.0,2
83,20.0,2
83,25.0,1
83,30.0,0
83,35.0,0
83,40.0,0
83,45.0,0
83,50.0,0
83,55.0,0
83,60.0,0
83,65.0,0
83,70.0,0
83,75.0,0
83,80.0,0
84,0.0,0
84,5.0,2
84,10.0,1
84,15.0,2
84,20.0,1
84,25.0,0
84,30.0,0
84,35.0,0
84,40.0,0
84,45.0,0
84,50.0,0
84,55.0,0
84,60.0,0
84,65.0,0
84,70.0,0
84,75.0,0
84,80.0,0
88,0.0,0
88,5.0,1
88,10.0,2
88,15.0,0
88,20.0,0
88,25.0,0
88,30.0,0
88,35.0,0
88,40.0,0
88,45.0,0
88,50.0,0
88,55.0,0
88,60.0,0
88,65.0,0
88,70.0,0
88,75.0,0
88,80.0,0
94,0.0,0
94,5.0,0
94,10.0,0
94,15.0,0
94,20.0,0
94,25.0,0
94,30.0,0
94,35.0,0
94,40.0,0
94,45.0,0
94,50.0,0
94,55.0,0
94,60.0,0
94,65.0,0
94,70.0,0
94,75.0,0
94,80.0,0
96,0.0,0
96,5.0,2
96,10.0,0
96,15.0,0
96,20.0,0
96,25.0,0
96,30.0,0
96,35.0,0
96,40.0,0
96,45.0,0
96,50.0,0
96,55.0,0
96,60.0,0
96,65.0,0
96,70.0,0
96,75.0,0
96,80.0,0
109,0.0,0
109,5.0,1
109,10.0,1
109,15.0,0
109,20.0,0
109,25.0,0
109,30.0,0
109,35.0,0
109,40.0,0
109,45.0,0
109,50.0,0
109,55.0,0
109,60.0,0
109,65.0,0
109,70.0,0
109,75.0,0
109,80.0,0
112,0.0,0
112,5.0,6
112,10.0,8
112,15.0,4
112,20.0,1
112,25.0,1
112,30.0,0
112,35.0,0
112,40.0,0
112,45.0,0
112,50.0,0
112,55.0,0
112,60.0,0
112,65.0,0
112,70.0,0
112,75.0,0
112,80.0,0
113,0.0,0
113,5.0,0
113,10.0,0
113,15.0,0
113,20.0,0
113,25.0,0
113,30.0,0
113,35.0,0
113,40.0,0
113,45.0,0
113,50.0,0
113,55.0,0
113,60.0,0
113,65.0,0
113,70.0,0
113,75.0,0
113,80.0,0
117,0.0,0
117,5.0,2
117,10.0,0
117,15.0,0
117,20.0,0
117,25.0,0
117,30.0,0
117,35.0,0
117,40.0,0
117,45.0,0
117,50.0,0
117,55.0,0
117,60.0,0
117,65.0,0
117,70.0,0
117,75.0,0
117,80.0,0
119,0.0,0
119,5.0,3
119,10.0,0
119,15.0,0
119,20.0,0
119,25.0,0
119,30.0,0
119,35.0,0
119,40.0,0
119,45.0,0
119,50.0,0
119,55.0,0
119,60.0,0
119,65.0,0
119,70.0,0
119,75.0,0
119,80.0,0
128,0.0,0
128,5.0,2
128,10.0,4
128,15.0,3
128,20.0,3
128,25.0,3
128,30.0,0
128,35.0,0
128,40.0,0
128,45.0,0
128,50.0,0
128,55.0,0
128,60.0,0
128,65.0,0
128,70.0,0
128,75.0,0
128,80.0,0
130,0.0,0
130,5.0,3
130,10.0,3
130,15.0,0
130,20.0,0
130,25.0,0
130,30.0,0
130,35.0,0
130,40.0,0
130,45.0,0
130,50.0,0
130,55.0,0
130,60.0,0
130,65.0,0
130,70.0,0
130,75.0,0
130,80.0,0
151,0.0,0
151,5.0,3
151,10.0,0
151,15.0,0
151,20.0,0
151,25.0,0
151,30.0,0
151,35.0,0
151,40.0,0
151,45.0,0
151,50.0,0
151,55.0,0
151,60.0,0
151,65.0,0
151,70.0,0
151,75.0,0
151,80.0,0
152,0.0,0
152,5.0,3
152,10.0,1
152,15.0,2
152,20.0,1
152,25.0,0
152,30.0,0
152,35.0,0
152,40.0,0
152,45.0,0
152,50.0,0
152,55.0,0
152,60.0,0
152,65.0,0
152,70.0,0
152,75.0,0
152,80.0,0
153,0.0,0
153,5.0,4
153,10.0,1
153,15.0,1
153,20.0,1
153,25.0,1
153,30.0,0
153,35.0,0
153,40.0,0
153,45.0,0
153,50.0,0
153,55.0,0
153,60.0,0
153,65.0,0
153,70.0,0
153,75.0,0
153,80.0,0
158,0.0,0
158,5.0,2
158,10.0,2
158,15.0,3
158,20.0,0
158,25.0,0
158,30.0,0
158,35.0,0
158,40.0,0
158,45.0,0
158,50.0,0
158,55.0,0
158,60.0,0
158,65.0,0
158,70.0,0
158,75.0,0
158,80.0,0
159,0.0,0
159,5.0,2
159,10.0,0
159,15.0,0
159,20.0,0
159,25.0,0
159,30.0,0
159,35.0,0
159,40.0,0
159,45.0,0
159,50.0,0
159,55.0,0
159,60.0,0
159,65.0,0
159,70.0,0
159,75.0,0
159,80.0,0
166,0.0,0
166,5.0,2
166,10.0,0
166,15.0,0
166,20.0,0
166,25.0,0
166,30.0,0
166,35.0,0
