label,radius_um,intersections
8,0.0,0
8,1.0,0
8,2.0,3
8,3.0,3
8,4.0,2
8,5.0,2
8,6.0,2
8,7.0,1
8,8.0,1
8,9.0,2
8,10.0,3
8,11.0,2
8,12.0,3
8,13.0,2
8,14.0,1
8,15.0,1
8,16.0,2
8,17.0,2
8,18.0,1
8,19.0,2
8,20.0,1
8,21.0,0
8,22.0,0
8,23.0,0
8,24.0,0
8,25.0,0
10,0.0,0
10,1.0,0
10,2.0,2
10,3.0,1
10,4.0,1
10,5.0,0
10,6.0,0
10,7.0,0
10,8.0,0
10,9.0,0
10,10.0,0
10,11.0,0
10,12.0,0
10,13.0,0
10,14.0,0
10,15.0,0
10,16.0,0
10,17.0,0
10,18.0,0
10,19.0,0
10,20.0,0
10,21.0,0
10,22.0,0
10,23.0,0
10,24.0,0
10,25.0,0
17,0.0,0
17,1.0,3
17,2.0,3
17,3.0,4
17,4.0,3
17,5.0,2
17,6.0,1
17,7.0,1
17,8.0,2
17,9.0,1
17,10.0,1
17,11.0,1
17,12.0,1
17,13.0,1
17,14.0,1
17,15.0,0
17,16.0,0
17,17.0,0
17,18.0,0
17,19.0,0
17,20.0,0
17,21.0,0
17,22.0,0
17,23.0,0
17,24.0,0
17,25.0,0
25,0.0,0
25,1.0,0
25,2.0,3
25,3.0,6
25,4.0,6
25,5.0,4
25,6.0,3
25,7.0,2
25,8.0,0
25,9.0,0
25,10.0,0
25,11.0,0
25,12.0,0
25,13.0,0
25,14.0,0
25,15.0,0
25,16.0,0
25,17.0,0
25,18.0,0
25,19.0,0
25,20.0,0
25,21.0,0
25,22.0,0
25,23.0,0
25,24.0,0
25,25.0,0
28,0.0,0
28,1.0,4
28,2.0,3
28,3.0,3
28,4.0,2
28,5.0,2
28,6.0,2
28,7.0,0
28,8.0,0
28,9.0,0
28,10.0,0
28,11.0,0
28,12.0,0
28,13.0,0
28,14.0,0
28,15.0,0
28,16.0,0
28,17.0,0
28,18.0,0
28,19.0,0
28,20.0,0
28,21.0,0
28,22.0,0
28,23.0,0
28,24.0,0
28,25.0,0
31,0.0,0
31,1.0,0
31,2.0,0
31,3.0,3
31,4.0,1
31,5.0,1
31,6.0,1
31,7.0,1
31,8.0,1
31,9.0,1
31,10.0,1
31,11.0,0
31,12.0,0
31,13.0,0
31,14.0,0
31,15.0,0
31,16.0,0
31,17.0,0
31,18.0,0
31,19.0,0
31,20.0,0
31,21.0,0
31,22.0,0
31,23.0,0
31,24.0,0
31,25.0,0
33,0.0,0
33,1.0,3
33,2.0,2
33,3.0,2
33,4.0,2
33,5.0,1
33,6.0,1
33,7.0,1
33,8.0,1
33,9.0,1
33,10.0,0
33,11.0,0
33,12.0,0
33,13.0,0
33,14.0,0
33,15.0,0
33,16.0,0
33,17.0,0
33,18.0,0
33,19.0,0
33,20.0,0
33,21.0,0
33,22.0,0
33,23.0,0
33,24.0,0
33,25.0,0
35,0.0,0
35,1.0,0
35,2.0,3
35,3.0,3
35,4.0,2
35,5.0,2
35,6.0,2
35,7.0,1
35,8.0,1
35,9.0,0
35,10.0,0
35,11.0,0
35,12.0,0
35,13.0,0
35,14.0,0
35,15.0,0
35,16.0,0
35,17.0,0
35,18.0,0
35,19.0,0
35,20.0,0
35,21.0,0
35,22.0,0
35,23.0,0
35,24.0,0
35,25.0,0
44,0.0,0
44,1.0,2
44,2.0,3
44,3.0,4
44,4.0,3
44,5.0,2
44,6.0,2
44,7.0,2
44,8.0,1
44,9.0,2
44,10.0,4
44,11.0,2
44,12.0,1
44,13.0,0
44,14.0,0
44,15.0,0
44,16.0,0
44,17.0,0
44,18.0,0
44,19.0,0
44,20.0,0
44,21.0,0
44,22.0,0
44,23.0,0
44,24.0,0
44,25.0,0
49,0.0,0
49,1.0,2
49,2.0,2
49,3.0,2
49,4.0,2
49,5.0,1
49,6.0,1
49,7.0,1
49,8.0,1
49,9.0,0
49,10.0,0
49,11.0,0
49,12.0,0
49,13.0,0
49,14.0,0
49,15.0,0
49,16.0,0
49,17.0,0
49,18.0,0
49,19.0,0
49,20.0,0
49,21.0,0
49,22.0,0
49,23.0,0
49,24.0,0
49,25.0,0
83,0.0,0
83,1.0,2
83,2.0,2
83,3.0,3
83,4.0,4
83,5.0,4
83,6.0,4
83,7.0,4
83,8.0,4
83,9.0,4
83,10.0,3
83,11.0,3
83,12.0,2
83,13.0,2
83,14.0,1
83,15.0,0
83,16.0,0
83,17.0,0
83,18.0,0
83,19.0,0
83,20.0,0
83,21.0,0
83,22.0,0
83,23.0,0
83,24.0,0
83,25.0,0
125,0.0,0
125,1.0,0
125,2.0,0
125,3.0,2
125,4.0,2
125,5.0,2
125,6.0,2
125,7.0,2
125,8.0,2
125,9.0,2
125,10.0,2
125,11.0,2
125,12.0,2
125,13.0,2
125,14.0,2
125,15.0,1
125,16.0,1
125,17.0,1
125,18.0,1
125,19.0,1
125,20.0,1
125,21.0,1
125,22.0,1
125,23.0,0
125,24.0,0
125,25.0,0
126,0.0,0
126,1.0,2
126,2.0,4
126,3.0,3
126,4.0,2
126,5.0,2
126,6.0,1
126,7.0,0
126,8.0,0
126,9.0,0
126,10.0,0
126,11.0,0
126,12.0,0
126,13.0,0
126,14.0,0
126,15.0,0
126,16.0,0
126,17.0,0
126,18.0,0
126,19.0,0
126,20.0,0
126,21.0,0
126,22.0,0
126,23.0,0
126,24.0,0
126,25.0,0
133,0.0,0
133,1.0,0
133,2.0,5
133,3.0,3
133,4.0,4
133,5.0,2
133,6.0,2
133,7.0,1
133,8.0,0
133,9.0,0
133,10.0,0
133,11.0,0
133,12.0,0
133,13.0,0
133,14.0,0
133,15.0,0
133,16.0,0
133,17.0,0
133,18.0,0
133,19.0,0
133,20.0,0
133,21.0,0
133,22.0,0
133,23.0,0
133,24.0,0
133,25.0,0
135,0.0,0
135,1.0,0
135,2.0,2
135,3.0,3
135,4.0,8
135,5.0,3
135,6.0,2
135,7.0,3
135,8.0,3
135,9.0,1
135,10.0,1
135,11.0,1
135,12.0,0
135,13.0,0
135,14.0,0
135,15.0,0
135,16.0,0
135,17.0,0
135,18.0,0
135,19.0,0
135,20.0,0
135,21.0,0
135,22.0,0
135,23.0,0
135,24.0,0
135,25.0,0
175,0.0,0
175,1.0,0
175,2.0,4
175,3.0,5
175,4.0,3
175,5.0,1
175,6.0,1
175,7.0,1
175,8.0,1
175,9.0,1
175,10.0,1
175,11.0,1
175,12.0,0
175,13.0,0
175,14.0,0
175,15.0,0
175,16.0,0
175,17.0,0
175,18.0,0
175,19.0,0
175,20.0,0
175,21.0,0
175,22.0,0
175,23.0,0
175,24.0,0
175,25.0,0
180,0.0,0
180,1.0,0
180,2.0,2
180,3.0,4
180,4.0,2
180,5.0,1
180,6.0,1
180,7.0,1
180,8.0,0
180,9.0,0
180,10.0,0
180,11.0,0
180,12.0,0
180,13.0,0
180,14.0,0
180,15.0,0
180,16.0,0
180,17.0,0
180,18.0,0
180,19.0,0
180,20.0,0
180,21.0,0
180,22.0,0
180,23.0,0
180,24.0,0
180,25.0,0
181,0.0,0
181,1.0,2
181,2.0,3
181,3.0,3
181,4.0,4
181,5.0,1
181,6.0,0
181,7.0,0
181,8.0,0
181,9.0,0
181,10.0,0
181,11.0,0
181,12.0,0
181,13.0,0
181,14.0,0
181,15.0,0
181,16.0,0
181,17.0,0
181,18.0,0
181,19.0,0
181,20.0,0
181,21.0,0
181,22.0,0
181,23.0,0
181,24.0,0
181,25.0,0
182,0.0,0
182,1.0,0
182,2.0,1
182,3.0,2
182,4.0,3
182,5.0,4
182,6.0,2
182,7.0,1
182,8.0,0
182,9.0,0
182,10.0,0
182,11.0,0
182,12.0,0
182,13.0,0
182,14.0,0
182,15.0,0
182,16.0,0
182,17.0,0
182,18.0,0
182,19.0,0
182,20.0,0
182,21.0,0
182,22.0,0
182,23.0,0
182,24.0,0
182,25.0,0
194,0.0,0
194,1.0,3
194,2.0,4
194,3.0,5
194,4.0,2
194,5.0,1
194,6.0,1
194,7.0,0
194,8.0,0
194,9.0,0
194,10.0,0
194,11.0,0
194,12.0,0
194,13.0,0
194,14.0,0
194,15.0,0
194,16.0,0
194,17.0,0
194,18.0,0
194,19.0,0
194,20.0,0
194,21.0,0
194,22.0,0
194,23.0,0
194,24.0,0
194,25.0,0
201,0.0,0
201,1.0,0
201,2.0,2
201,3.0,1
201,4.0,4
201,5.0,4
201,6.0,2
201,7.0,1
201,8.0,1
201,9.0,1
201,10.0,1
201,11.0,1
201,12.0,0
201,13.0,0
201,14.0,0
201,15.0,0
201,16.0,0
201,17.0,0
201,18.0,0
201,19.0,0
201,20.0,0
201,21.0,0
201,22.0,0
201,23.0,0
201,24.0,0
201,25.0,0
205,0.0,0
205,1.0,2
205,2.0,3
205,3.0,2
205,4.0,4
205,5.0,2
205,6.0,1
205,7.0,2
205,8.0,2
205,9.0,1
205,10.0,1
205,11.0,1
205,12.0,1
205,13.0,0
205,14.0,0
205,15.0,0
205,16.0,0
205,17.0,0
205,18.0,0
205,19.0,0
205,20.0,0
205,21.0,0
205,22.0,0
205,23.0,0
205,24.0,0
205,25.0,0
212,0.0,0
212,1.0,2
212,2.0,2
212,3.0,3
212,4.0,3
212,5.0,1
212,6.0,3
212,7.0,2
212,8.0,2
212,9.0,3
212,10.0,1
212,11.0,1
212,12.0,0
212,13.0,0
212,14.0,0
212,15.0,0
212,16.0,0
212,17.0,0
212,18.0,0
212,19.0,0
212,20.0,0
212,21.0,0
212,22.0,0
212,23.0,0
212,24.0,0
212,25.0,0
217,0.0,0
217,1.0,0
217,2.0,0
217,3.0,1
217,4.0,1
217,5.0,1
217,6.0,1
217,7.0,1
217,8.0,1
217,9.0,1
217,10.0,1
217,11.0,1
217,12.0,1
217,13.0,1
217,14.0,1
217,15.0,1
217,16.0,1
217,17.0,1
217,18.0,1
217,19.0,1
217,20.0,2
217,21.0,2
217,22.0,3
217,23.0,2
217,24.0,0
217,25.0,0
220,0.0,0
220,1.0,2
220,2.0,4
220,3.0,4
220,4.0,3
220,5.0,2
220,6.0,2
220,7.0,1
220,8.0,0
220,9.0,0
220,10.0,0
220,11.0,0
220,12.0,0
220,13.0,0
220,14.0,0
220,15.0,0
220,16.0,0
220,17.0,0
220,18.0,0
220,19.0,0
220,20.0,0
220,21.0,0
220,22.0,0
220,23.0,0
220,24.0,0
220,25.0,0
227,0.0,0
227,1.0,3
227,2.0,3
227,3.0,3
227,4.0,3
227,5.0,3
227,6.0,4
227,7.0,4
227,8.0,4
227,9.0,2
227,10.0,0
227,11.0,0
227,12.0,0
227,13.0,0
227,14.0,0
227,15.0,0
227,16.0,0
227,17.0,0
227,18.0,0
227,19.0,0
227,20.0,0
227,21.0,0
227,22.0,0
227,23.0,0
227,24.0,0
227,25.0,0
236,0.0,0
236,1.0,2
236,2.0,3
236,3.0,2
236,4.0,2
236,5.0,3
236,6.0,3
236,7.0,4
236,8.0,4
236,9.0,3
236,10.0,4
236,11.0,4
236,12.0,3
236,13.0,3
236,14.0,3
236,15.0,3
236,16.0,2
236,17.0,2
236,18.0,2
236,19.0,0
236,20.0,0
236,21.0,0
236,22.0,0
236,23.0,0
236,24.0,0
236,25.0,0
250,0.0,0
250,1.0,2
250,2.0,2
250,3.0,2
250,4.0,2
250,5.0,2
250,6.0,1
250,7.0,0
250,8.0,0
250,9.0,0
250,10.0,0
250,11.0,0
250,12.0,0
250,13.0,0
250,14.0,0
250,15.0,0
250,16.0,0
250,17.0,0
250,18.0,0
250,19.0,0
250,20.0,0
250,21.0,0
250,22.0,0
250,23.0,0
250,24.0,0
250,25.0,0
