label,radius_um,intersections
17,0.0,0
17,0.5,2
17,1.0,2
17,1.5,3
17,2.0,3
17,2.5,3
17,3.0,5
17,3.5,4
17,4.0,4
17,4.5,4
17,5.0,4
17,5.5,4
17,6.0,6
17,6.5,5
17,7.0,3
17,7.5,3
17,8.0,4
17,8.5,4
17,9.0,4
17,9.5,5
17,10.0,3
17,10.5,3
17,11.0,6
17,11.5,4
17,12.0,4
17,12.5,4
17,13.0,3
17,13.5,3
17,14.0,3
17,14.5,3
17,15.0,2
17,15.5,2
17,16.0,2
17,16.5,2
17,17.0,2
17,17.5,3
17,18.0,2
17,18.5,2
17,19.0,2
17,19.5,2
17,20.0,2
17,20.5,2
17,21.0,2
17,21.5,3
17,22.0,5
17,22.5,3
17,23.0,3
17,23.5,3
17,24.0,1
17,24.5,1
17,25.0,0
19,0.0,0
19,0.5,2
19,1.0,2
19,1.5,3
19,2.0,3
19,2.5,3
19,3.0,3
19,3.5,2
19,4.0,2
19,4.5,2
19,5.0,3
19,5.5,3
19,6.0,3
19,6.5,4
19,7.0,4
19,7.5,4
19,8.0,3
19,8.5,4
19,9.0,2
19,9.5,2
19,10.0,0
19,10.5,0
19,11.0,0
19,11.5,0
19,12.0,0
19,12.5,0
19,13.0,0
19,13.5,0
19,14.0,0
19,14.5,0
19,15.0,0
19,15.5,0
19,16.0,0
19,16.5,0
19,17.0,0
19,17.5,0
19,18.0,0
19,18.5,0
19,19.0,0
19,19.5,0
19,20.0,0
19,20.5,0
19,21.0,0
19,21.5,0
19,22.0,0
19,22.5,0
19,23.0,0
19,23.5,0
19,24.0,0
19,24.5,0
19,25.0,0
22,0.0,0
22,0.5,0
22,1.0,0
22,1.5,0
22,2.0,0
22,2.5,2
22,3.0,4
22,3.5,4
22,4.0,7
22,4.5,6
22,5.0,5
22,5.5,5
22,6.0,5
22,6.5,3
22,7.0,3
22,7.5,2
22,8.0,1
22,8.5,0
22,9.0,0
22,9.5,0
22,10.0,0
22,10.5,0
22,11.0,0
22,11.5,0
22,12.0,0
22,12.5,0
22,13.0,0
22,13.5,0
22,14.0,0
22,14.5,0
22,15.0,0
22,15.5,0
22,16.0,0
22,16.5,0
22,17.0,0
22,17.5,0
22,18.0,0
22,18.5,0
22,19.0,0
22,19.5,0
22,20.0,0
22,20.5,0
22,21.0,0
22,21.5,0
22,22.0,0
22,22.5,0
22,23.0,0
22,23.5,0
22,24.0,0
22,24.5,0
22,25.0,0
24,0.0,0
24,0.5,2
24,1.0,3
24,1.5,3
24,2.0,4
24,2.5,4
24,3.0,4
24,3.5,4
24,4.0,4
24,4.5,4
24,5.0,4
24,5.5,8
24,6.0,4
24,6.5,4
24,7.0,4
24,7.5,4
24,8.0,6
24,8.5,8
24,9.0,5
24,9.5,4
24,10.0,3
24,10.5,2
24,11.0,6
24,11.5,4
24,12.0,4
24,12.5,3
24,13.0,3
24,13.5,4
24,14.0,3
24,14.5,5
24,15.0,2
24,15.5,2
24,16.0,2
24,16.5,2
24,17.0,1
24,17.5,0
24,18.0,0
24,18.5,0
24,19.0,0
24,19.5,0
24,20.0,0
24,20.5,0
24,21.0,0
24,21.5,0
24,22.0,0
24,22.5,0
24,23.0,0
24,23.5,0
24,24.0,0
24,24.5,0
24,25.0,0
29,0.0,0
29,0.5,0
29,1.0,0
29,1.5,0
29,2.0,2
29,2.5,4
29,3.0,4
29,3.5,4
29,4.0,4
29,4.5,6
29,5.0,7
29,5.5,8
29,6.0,7
29,6.5,6
29,7.0,7
29,7.5,6
29,8.0,8
29,8.5,11
29,9.0,10
29,9.5,8
29,10.0,8
29,10.5,8
29,11.0,7
29,11.5,8
29,12.0,9
29,12.5,11
29,13.0,11
29,13.5,11
29,14.0,10
29,14.5,10
29,15.0,6
29,15.5,3
29,16.0,3
29,16.5,3
29,17.0,3
29,17.5,3
29,18.0,3
29,18.5,3
29,19.0,3
29,19.5,3
29,20.0,3
29,20.5,3
29,21.0,2
29,21.5,2
29,22.0,2
29,22.5,2
29,23.0,2
29,23.5,2
29,24.0,2
29,24.5,0
29,25.0,0
33,0.0,0
33,0.5,0
33,1.0,0
33,1.5,2
33,2.0,3
33,2.5,3
33,3.0,3
33,3.5,2
33,4.0,4
33,4.5,4
33,5.0,4
33,5.5,4
33,6.0,4
33,6.5,5
33,7.0,4
33,7.5,4
33,8.0,3
33,8.5,3
33,9.0,4
33,9.5,2
33,10.0,2
33,10.5,1
33,11.0,1
33,11.5,1
33,12.0,1
33,12.5,1
33,13.0,1
33,13.5,1
33,14.0,1
33,14.5,1
33,15.0,1
33,15.5,1
33,16.0,1
33,16.5,1
33,17.0,0
33,17.5,0
33,18.0,0
33,18.5,0
33,19.0,0
33,19.5,0
33,20.0,0
33,20.5,0
33,21.0,0
33,21.5,0
33,22.0,0
33,22.5,0
33,23.0,0
33,23.5,0
33,24.0,0
33,24.5,0
33,25.0,0
41,0.0,0
41,0.5,4
41,1.0,3
41,1.5,3
41,2.0,4
41,2.5,5
41,3.0,6
41,3.5,4
41,4.0,4
41,4.5,4
41,5.0,4
41,5.5,6
41,6.0,5
41,6.5,4
41,7.0,3
41,7.5,3
41,8.0,3
41,8.5,0
41,9.0,1
41,9.5,0
41,10.0,0
41,10.5,0
41,11.0,0
41,11.5,0
41,12.0,0
41,12.5,0
41,13.0,0
41,13.5,0
41,14.0,0
41,14.5,0
41,15.0,0
41,15.5,0
41,16.0,0
41,16.5,0
41,17.0,0
41,17.5,0
41,18.0,0
41,18.5,0
41,19.0,0
41,19.5,0
41,20.0,0
41,20.5,0
41,21.0,0
41,21.5,0
41,22.0,0
41,22.5,0
41,23.0,0
41,23.5,0
41,24.0,0
41,24.5,0
41,25.0,0
48,0.0,0
48,0.5,0
48,1.0,0
48,1.5,2
48,2.0,3
48,2.5,3
48,3.0,3
48,3.5,3
48,4.0,4
48,4.5,5
48,5.0,5
48,5.5,7
48,6.0,6
48,6.5,6
48,7.0,6
48,7.5,5
48,8.0,5
48,8.5,5
48,9.0,6
48,9.5,6
48,10.0,5
48,10.5,4
48,11.0,6
48,11.5,6
48,12.0,7
48,12.5,4
48,13.0,3
48,13.5,3
48,14.0,3
48,14.5,2
48,15.0,2
48,15.5,0
48,16.0,0
48,16.5,0
48,17.0,0
48,17.5,0
48,18.0,0
48,18.5,0
48,19.0,0
48,19.5,0
48,20.0,0
48,20.5,0
48,21.0,0
48,21.5,0
48,22.0,0
48,22.5,0
48,23.0,0
48,23.5,0
48,24.0,0
48,24.5,0
48,25.0,0
61,0.0,0
61,0.5,2
61,1.0,3
61,1.5,4
61,2.0,5
61,2.5,4
61,3.0,5
61,3.5,5
61,4.0,4
61,4.5,3
61,5.0,3
61,5.5,3
61,6.0,8
61,6.5,4
61,7.0,10
61,7.5,8
61,8.0,8
61,8.5,7
61,9.0,4
61,9.5,2
61,10.0,3
61,10.5,3
61,11.0,3
61,11.5,3
61,12.0,4
61,12.5,5
61,13.0,5
61,13.5,4
61,14.0,3
61,14.5,3
61,15.0,2
61,15.5,2
61,16.0,2
61,16.5,6
61,17.0,8
61,17.5,3
61,18.0,3
61,18.5,3
61,19.0,3
61,19.5,3
61,20.0,1
61,20.5,1
61,21.0,1
61,21.5,1
61,22.0,0
61,22.5,0
61,23.0,0
61,23.5,0
61,24.0,0
61,24.5,0
61,25.0,0
64,0.0,0
64,0.5,0
64,1.0,4
64,1.5,2
64,2.0,3
64,2.5,2
64,3.0,1
64,3.5,1
64,4.0,1
64,4.5,1
64,5.0,1
64,5.5,1
64,6.0,1
64,6.5,0
64,7.0,0
64,7.5,0
64,8.0,0
64,8.5,0
64,9.0,0
64,9.5,0
64,10.0,0
64,10.5,0
64,11.0,0
64,11.5,0
64,12.0,0
64,12.5,0
64,13.0,0
64,13.5,0
64,14.0,0
64,14.5,0
64,15.0,0
64,15.5,0
64,16.0,0
64,16.5,0
64,17.0,0
64,17.5,0
64,18.0,0
64,18.5,0
64,19.0,0
64,19.5,0
64,20.0,0
64,20.5,0
64,21.0,0
64,21.5,0
64,22.0,0
64,22.5,0
64,23.0,0
64,23.5,0
64,24.0,0
64,24.5,0
64,25.0,0
65,0.0,0
65,0.5,2
65,1.0,3
65,1.5,3
65,2.0,3
65,2.5,3
65,3.0,3
65,3.5,2
65,4.0,2
65,4.5,1
65,5.0,1
65,5.5,2
65,6.0,2
65,6.5,1
65,7.0,0
65,7.5,0
65,8.0,0
65,8.5,0
65,9.0,0
65,9.5,0
65,10.0,0
65,10.5,0
65,11.0,0
65,11.5,0
65,12.0,0
65,12.5,0
65,13.0,0
65,13.5,0
65,14.0,0
65,14.5,0
65,15.0,0
65,15.5,0
65,16.0,0
65,16.5,0
65,17.0,0
65,17.5,0
65,18.0,0
65,18.5,0
65,19.0,0
65,19.5,0
65,20.0,0
65,20.5,0
65,21.0,0
65,21.5,0
65,22.0,0
65,22.5,0
65,23.0,0
65,23.5,0
65,24.0,0
65,24.5,0
65,25.0,0
70,0.0,0
70,0.5,0
70,1.0,0
70,1.5,0
70,2.0,0
70,2.5,2
70,3.0,3
70,3.5,5
70,4.0,4
70,4.5,4
70,5.0,5
70,5.5,4
70,6.0,3
70,6.5,3
70,7.0,2
70,7.5,4
70,8.0,3
70,8.5,3
70,9.0,3
70,9.5,2
70,10.0,4
70,10.5,5
70,11.0,6
70,11.5,3
70,12.0,3
70,12.5,2
70,13.0,2
70,13.5,1
70,14.0,0
70,14.5,0
70,15.0,0
70,15.5,0
70,16.0,0
70,16.5,0
70,17.0,0
70,17.5,0
70,18.0,0
70,18.5,0
70,19.0,0
70,19.5,0
70,20.0,0
70,20.5,0
70,21.0,0
70,21.5,0
70,22.0,0
70,22.5,0
70,23.0,0
70,23.5,0
70,24.0,0
70,24.5,0
70,25.0,0
72,0.0,0
72,0.5,0
72,1.0,0
72,1.5,4
72,2.0,3
72,2.5,4
72,3.0,3
72,3.5,5
72,4.0,6
72,4.5,5
72,5.0,5
72,5.5,5
72,6.0,6
72,6.5,6
72,7.0,6
72,7.5,6
72,8.0,5
72,8.5,5
72,9.0,4
72,9.5,6
72,10.0,8
72,10.5,8
72,11.0,8
72,11.5,9
72,12.0,5
72,12.5,3
72,13.0,2
72,13.5,2
72,14.0,1
72,14.5,1
72,15.0,1
72,15.5,1
72,16.0,0
72,16.5,0
72,17.0,0
72,17.5,0
72,18.0,0
72,18.5,0
72,19.0,0
72,19.5,0
72,20.0,0
72,20.5,0
72,21.0,0
72,21.5,0
72,22.0,0
72,22.5,0
72,23.0,0
72,23.5,0
72,24.0,0
72,24.5,0
72,25.0,0
79,0.0,0
79,0.5,2
79,1.0,2
79,1.5,2
79,2.0,2
79,2.5,2
79,3.0,2
79,3.5,3
79,4.0,3
79,4.5,3
79,5.0,3
79,5.5,3
79,6.0,3
79,6.5,3
79,7.0,3
79,7.5,4
79,8.0,4
79,8.5,5
79,9.0,8
79,9.5,7
79,10.0,7
79,10.5,7
79,11.0,6
79,11.5,7
79,12.0,5
79,12.5,7
79,13.0,6
79,13.5,4
79,14.0,6
79,14.5,6
79,15.0,6
79,15.5,6
79,16.0,5
79,16.5,7
79,17.0,5
79,17.5,5
79,18.0,6
79,18.5,6
79,19.0,8
79,19.5,5
79,20.0,4
79,20.5,4
79,21.0,3
79,21.5,3
79,22.0,3
79,22.5,2
79,23.0,1
79,23.5,2
79,24.0,2
79,24.5,1
79,25.0,0
95,0.0,0
95,0.5,0
95,1.0,0
95,1.5,2
95,2.0,2
95,2.5,3
95,3.0,3
95,3.5,3
95,4.0,3
95,4.5,3
95,5.0,3
95,5.5,3
95,6.0,4
95,6.5,4
95,7.0,4
95,7.5,4
95,8.0,3
95,8.5,2
95,9.0,3
95,9.5,1
95,10.0,1
95,10.5,1
95,11.0,2
95,11.5,0
95,12.0,0
95,12.5,0
95,13.0,0
95,13.5,0
95,14.0,0
95,14.5,0
95,15.0,0
95,15.5,0
95,16.0,0
95,16.5,0
95,17.0,0
95,17.5,0
95,18.0,0
95,18.5,0
95,19.0,0
95,19.5,0
95,20.0,0
95,20.5,0
95,21.0,0
95,21.5,0
95,22.0,0
95,22.5,0
95,23.0,0
95,23.5,0
95,24.0,0
95,24.5,0
95,25.0,0
96,0.0,0
96,0.5,0
96,1.0,2
96,1.5,2
96,2.0,2
96,2.5,3
96,3.0,3
96,3.5,3
96,4.0,3
96,4.5,4
96,5.0,4
96,5.5,5
96,6.0,5
96,6.5,4
96,7.0,2
96,7.5,3
96,8.0,3
96,8.5,3
96,9.0,3
96,9.5,2
96,10.0,1
96,10.5,1
96,11.0,1
96,11.5,1
96,12.0,1
96,12.5,0
96,13.0,0
96,13.5,0
96,14.0,0
96,14.5,0
96,15.0,0
96,15.5,0
96,16.0,0
96,16.5,0
96,17.0,0
96,17.5,0
96,18.0,0
96,18.5,0
96,19.0,0
96,19.5,0
96,20.0,0
96,20.5,0
96,21.0,0
96,21.5,0
96,22.0,0
96,22.5,0
96,23.0,0
96,23.5,0
96,24.0,0
96,24.5,0
96,25.0,0
98,0.0,0
98,0.5,0
