label,radius_um,intersections
1,0.0,0
1,1.0,3
1,2.0,3
1,3.0,3
1,4.0,4
1,5.0,1
1,6.0,0
1,7.0,0
1,8.0,0
1,9.0,0
1,10.0,0
1,11.0,0
1,12.0,0
1,13.0,0
1,14.0,0
1,15.0,0
1,16.0,0
1,17.0,0
1,18.0,0
1,19.0,0
1,20.0,0
1,21.0,0
1,22.0,0
1,23.0,0
1,24.0,0
1,25.0,0
5,0.0,0
5,1.0,0
5,2.0,2
5,3.0,2
5,4.0,2
5,5.0,1
5,6.0,1
5,7.0,1
5,8.0,1
5,9.0,0
5,10.0,0
5,11.0,0
5,12.0,0
5,13.0,0
5,14.0,0
5,15.0,0
5,16.0,0
5,17.0,0
5,18.0,0
5,19.0,0
5,20.0,0
5,21.0,0
5,22.0,0
5,23.0,0
5,24.0,0
5,25.0,0
8,0.0,0
8,1.0,3
8,2.0,2
8,3.0,2
8,4.0,1
8,5.0,0
8,6.0,0
8,7.0,0
8,8.0,0
8,9.0,0
8,10.0,0
8,11.0,0
8,12.0,0
8,13.0,0
8,14.0,0
8,15.0,0
8,16.0,0
8,17.0,0
8,18.0,0
8,19.0,0
8,20.0,0
8,21.0,0
8,22.0,0
8,23.0,0
8,24.0,0
8,25.0,0
9,0.0,0
9,1.0,2
9,2.0,2
9,3.0,1
9,4.0,1
9,5.0,1
9,6.0,1
9,7.0,1
9,8.0,2
9,9.0,1
9,10.0,1
9,11.0,0
9,12.0,0
9,13.0,0
9,14.0,0
9,15.0,0
9,16.0,0
9,17.0,0
9,18.0,0
9,19.0,0
9,20.0,0
9,21.0,0
9,22.0,0
9,23.0,0
9,24.0,0
9,25.0,0
11,0.0,0
11,1.0,3
11,2.0,3
11,3.0,3
11,4.0,3
11,5.0,2
11,6.0,2
11,7.0,3
11,8.0,3
11,9.0,4
11,10.0,4
11,11.0,7
11,12.0,4
11,13.0,3
11,14.0,2
11,15.0,1
11,16.0,0
11,17.0,0
11,18.0,0
11,19.0,0
11,20.0,0
11,21.0,0
11,22.0,0
11,23.0,0
11,24.0,0
11,25.0,0
17,0.0,0
17,1.0,2
17,2.0,3
17,3.0,5
17,4.0,4
17,5.0,4
17,6.0,6
17,7.0,4
17,8.0,4
