label,critical_radius_um,peak_intersections,auc
1,4.0,4.0,14.0
5,2.0,2.0,10.0
8,1.0,3.0,8.0
9,1.0,2.0,13.0
11,11.0,7.0,47.0
17,6.0,6.0,48.0
19,7.0,4.0,25.0
22,4.0,7.0,25.0
24,8.0,6.0,62.0
29,13.0,11.0,125.0
33,4.0,4.0,37.0
41,3.0,6.0,33.0
48,7.0,7.0,65.0
61,7.0,10.0,88.0
64,1.0,4.0,11.0
65,1.0,3.0,15.0
70,11.0,6.0,39.0
72,10.0,8.0,65.0
79,9.0,5.0,42.0
83,5.0,8.0,41.0
91,3.0,3.0,11.0
95,6.0,4.0,28.0
96,6.0,5.0,31.0
98,4.0,8.0,26.0
101,3.0,5.0,32.0
109,3.0,5.0,24.0
110,1.0,3.0,22.0
116,3.0,4.0,39.0
120,1.0,3.0,19.0
121,1.0,4.0,39.0
124,4.0,7.0,50.0
129,3.0,10.0,71.0
131,1.0,2.0,11.0
132,3.0,4.0,38.0
133,3.0,4.0,31.0
138,6.0,3.0,25.0
164,11.0,8.0,83.0
170,5.0,7.0,67.0
171,3.0,4.0,44.0
172,4.0,6.0,31.0
