label,radius_um,intersections
5,0.0,0
5,5.0,2
5,10.0,3
5,15.0,3
5,20.0,5
5,25.0,1
5,30.0,0
5,35.0,0
5,40.0,0
15,0.0,0
15,5.0,4
15,10.0,4
15,15.0,4
15,20.0,2
15,25.0,2
15,30.0,0
15,35.0,0
15,40.0,0
16,0.0,0
16,5.0,4
16,10.0,3
16,15.0,2
16,20.0,1
16,25.0,0
16,30.0,0
16,35.0,0
16,40.0,0
18,0.0,0
18,5.0,1
18,10.0,0
18,15.0,0
18,20.0,0
18,25.0,0
18,30.0,0
18,35.0,0
18,40.0,0
20,0.0,0
20,5.0,4
20,10.0,4
20,15.0,2
20,20.0,1
20,25.0,0
20,30.0,0
20,35.0,0
20,40.0,0
22,0.0,0
22,5.0,3
22,10.0,0
22,15.0,0
22,20.0,0
22,25.0,0
22,30.0,0
22,35.0,0
22,40.0,0
25,0.0,0
25,5.0,4
25,10.0,2
25,15.0,0
25,20.0,0
25,25.0,0
25,30.0,0
25,35.0,0
25,40.0,0
26,0.0,0
26,5.0,6
26,10.0,1
26,15.0,1
26,20.0,0
26,25.0,0
26,30.0,0
26,35.0,0
26,40.0,0
27,0.0,0
27,5.0,2
27,10.0,1
27,15.0,0
27,20.0,0
27,25.0,0
27,30.0,0
27,35.0,0
27,40.0,0
29,0.0,0
29,5.0,1
29,10.0,1
29,15.0,1
29,20.0,0
29,25.0,0
29,30.0,0
29,35.0,0
29,40.0,0
31,0.0,0
31,5.0,4
31,10.0,4
31,15.0,1
31,20.0,0
31,25.0,0
31,30.0,0
31,35.0,0
31,40.0,0
38,0.0,0
38,5.0,3
38,10.0,3
38,15.0,2
38,20.0,0
38,25.0,0
38,30.0,0
38,35.0,0
38,40.0,0
41,0.0,0
41,5.0,3
41,10.0,0
41,15.0,0
41,20.0,0
41,25.0,0
41,30.0,0
41,35.0,0
41,40.0,0
44,0.0,0
44,5.0,3
44,10.0,3
44,15.0,2
44,20.0,0
44,25.0,0
44,30.0,0
44,35.0,0
44,40.0,0
46,0.0,0
46,5.0,4
46,10.0,2
46,15.0,2
46,20.0,0
46,25.0,0
46,30.0,0
46,35.0,0
46,40.0,0
57,0.0,0
57,5.0,4
57,10.0,0
57,15.0,0
57,20.0,0
57,25.0,0
57,30.0,0
57,35.0,0
57,40.0,0
69,0.0,0
69,5.0,2
69,10.0,3
69,15.0,1
69,20.0,1
69,25.0,0
69,30.0,0
69,35.0,0
69,40.0,0
71,0.0,0
71,5.0,3
71,10.0,0
71,15.0,0
71,20.0,0
71,25.0,0
71,30.0,0
71,35.0,0
71,40.0,0
73,0.0,0
73,5.0,4
73,10.0,0
73,15.0,0
73,20.0,0
73,25.0,0
73,30.0,0
73,35.0,0
73,40.0,0
74,0.0,0
74,5.0,3
74,10.0,2
74,15.0,1
74,20.0,0
74,25.0,0
74,30.0,0
74,35.0,0
74,40.0,0
75,0.0,0
75,5.0,3
75,10.0,2
75,15.0,0
75,20.0,0
75,25.0,0
75,30.0,0
75,35.0,0
75,40.0,0
76,0.0,0
76,5.0,3
76,10.0,2
76,15.0,0
76,20.0,0
76,25.0,0
76,30.0,0
76,35.0,0
76,40.0,0
77,0.0,0
77,5.0,2
77,10.0,1
77,15.0,0
77,20.0,0
77,25.0,0
77,30.0,0
77,35.0,0
77,40.0,0
79,0.0,0
79,5.0,2
79,10.0,0
79,15.0,0
79,20.0,0
79,25.0,0
79,30.0,0
79,35.0,0
79,40.0,0
80,0.0,0
80,5.0,1
80,10.0,0
80,15.0,0
80,20.0,0
80,25.0,0
80,30.0,0
80,35.0,0
80,40.0,0
81,0.0,0
81,5.0,1
81,10.0,0
81,15.0,0
81,20.0,0
81,25.0,0
81,30.0,0
81,35.0,0
81,40.0,0
83,0.0,0
83,5.0,3
83,10.0,1
83,15.0,0
83,20.0,0
83,25.0,0
83,30.0,0
83,35.0,0
83,40.0,0
84,0.0,0
84,5.0,1
84,10.0,0
84,15.0,0
84,20.0,0
84,25.0,0
84,30.0,0
84,35.0,0
84,40.0,0
85,0.0,0
85,5.0,3
85,10.0,0
85,15.0,0
85,20.0,0
85,25.0,0
85,30.0,0
85,35.0,0
85,40.0,0
92,0.0,0
92,5.0,4
92,10.0,1
92,15.0,0
92,20.0,0
92,25.0,0
92,30.0,0
92,35.0,0
92,40.0,0
100,0.0,0
100,5.0,2
100,10.0,1
100,15.0,0
100,20.0,0
100,25.0,0
100,30.0,0
100,35.0,0
100,40.0,0
112,0.0,0
112,5.0,5
112,10.0,2
112,15.0,0
112,20.0,0
112,25.0,0
112,30.0,0
112,35.0,0
112,40.0,0
