label,critical_radius_um,peak_intersections,auc
13,6.0,7.0,40.0
16,14.5,10.0,90.0
17,6.0,7.0,50.0
19,1.0,3.0,18.5
21,8.5,11.0,67.0
23,4.0,5.0,28.0
28,4.0,7.0,31.5
29,3.5,4.0,11.5
30,6.0,5.0,26.0
32,0.5,2.0,21.5
34,13.5,9.0,54.5
42,11.0,4.0,25.0
44,4.0,4.0,19.5
47,6.0,8.0,45.0
48,1.0,4.0,19.5
50,7.5,11.0,44.5
61,3.0,4.0,15.0
64,5.5,4.0,23.0
67,3.0,4.0,15.5
73,12.0,5.0,49.0
76,4.5,4.0,23.0
78,4.0,4.0,23.5
79,2.5,4.0,24.0
80,4.0,4.0,24.0
82,6.0,10.0,45.5
83,1.5,3.0,21.0
85,2.5,2.0,14.0
86,3.5,3.0,15.5
87,18.5,9.0,42.0
99,2.0,3.0,39.0
111,4.0,3.0,6.5
126,5.0,6.0,32.5
