label,skeleton_length_um,skeleton_pixels,nuclear_area_um2,centroid_y_um,centroid_x_um,territory_area_um2,gfap_threshold,n_branches,total_branch_length_um,n_endpoints,n_junctions,mean_branch_length_um,tortuosity_mean,tortuosity_max,tortuosity_std,ramification_index,termination_index,branch_length_median_um,branch_length_p25_um,branch_length_p75_um,branch_length_std_um,branch_length_cv,n_connected_components
3,10.2276,27,56.96530768,5.557959697732998,133.4311073047859,2138.42312432,96.123046875,3,11.888553266550073,3,1,3.9628510888500244,1.0796286211281365,1.0950316152580575,0.016739221369167237,3.0,3.0,4.729424584561571,3.089816389707714,5.219172535848108,2.2304447516922346,0.5628383963172043,1
5,106.8216,282,49.21687792000001,8.556683381924199,73.63408163265306,4281.581400160001,120.029296875,16,122.79889745041206,5,9,7.6749310906507535,1.1211460480695146,1.26263181249024,0.08523321817585525,1.7777777777777777,0.5555555555555556,6.466520487134643,4.605016389707715,9.860627242193338,4.762131069729854,0.6204786744640434,1
7,37.88,100,29.415335200000005,14.922872195121954,211.74550439024392,3347.321656320001,40.732421875,11,42.20832292280787,7,5,3.8371202657098062,1.0766398992863295,1.1701265892979273,0.05682105566464148,2.2,1.4,3.8799122922807863,1.9724520487134645,5.630468438421179,2.257496347977034,0.5883308814036958,1
13,48.4864,128,70.45331504,46.05853116089613,251.59803421588597,17186.304186560003,80.185546875,12,55.57400487134643,9,5,4.631167072612203,1.0655505972747563,1.1296242911998584,0.03650778060301955,2.4,1.8,4.448112292280786,3.651286267924054,5.646716389707715,2.303086016866252,0.49730143196220294,2
16,105.68520000000001,279,64.42675856000001,58.757869933184864,144.60204899777284,4783.650950720001,98.115234375,26,122.44701793754673,10,14,4.709500689905644,1.1235124318278848,1.6212664268422812,0.12328513974142412,1.8571428571428572,0.7142857142857143,4.226216389707714,3.060108194853857,6.7803286819885,2.8754980331726547,0.6105738638781824,1
17,65.15360000000001,172,69.01842064000002,58.84630436590437,89.59525654885655,1987.9027017600001,123.017578125,14,74.72474994304265,7,7,5.3374821387887605,1.1052323859299162,1.314079385369935,0.08887781525003585,2.0,1.0,4.350624584561572,3.438908194853857,7.89096290119909,2.940333088500419,0.5508839209282433,1
19,18.94,50,52.086666720000004,71.73198898071625,82.02011349862259,2446.06448368,126.005859375,3,21.8561860459655,3,1,7.285395348655167,1.0668310508279513,1.0808489401793941,0.014800455524044267,3.0,3.0,7.3810245845615725,7.224120487134644,7.394484828128894,0.18942735217607093,0.026000970861662007,1
21,89.77560000000001,237,38.74214880000001,92.50155703703705,77.62173185185185,2396.70411632,122.021484375,21,104.74648106070434,9,11,4.987927669557349,1.1161525502575982,1.7340769623904417,0.15575236984670723,1.9090909090909092,0.8181818181818182,3.187304097426929,2.429704097426929,6.688416389707715,3.8871891106639143,0.7793194625472347,1
23,33.7132,89,48.786409600000006,119.57824705882354,67.36735176470589,2154.4939416,127.998046875,5,38.04152292280784,4,2,7.608304584561568,1.0669319113018194,1.0817692691420744,0.01381756421066403,2.5,2.0,4.951320487134644,4.350624584561571,5.9577368768423575,7.142209273868893,0.9387386104864341,1
28,37.88,100,71.31425168000001,132.53960482897386,94.40961207243461,2483.0847592,89.1328125,9,43.46355570222328,6,4,4.829283966913698,1.0902787310889017,1.3007839243828578,0.09177109416694068,2.25,1.5,5.238208194853858,1.6721040974269286,6.845320487134644,3.411898782745467,0.706502000321581,1
29,21.5916,57,70.16633616000001,133.50027484662579,179.74098732106341,8835.07528912,87.158203125,8,24.10206555883086,4,4,3.0127581948538573,1.2295563015913449,2.414213562373016,0.4822724882506986,2.0,1.0,1.7830520487134645,0.8198040974269285,5.18946434099425,2.855401910375386,0.9477700252389142,1
30,33.7132,89,56.96530768,136.1380483627204,68.88053400503779,204.47245200000003,168.826171875,8,38.26341882538093,4,4,4.782927353172616,1.1094037565117978,1.3213834764831878,0.10167971356156036,2.0,1.0,3.8014602435673215,2.805716389707714,6.058012292280786,3.291687526452859,0.6882160826192381,1
32,21.9704,58,43.62078976000001,143.92904736842107,67.28435,296.16220416000004,123.017578125,1,24.102065558830837,2,0,24.102065558830837,1.161478821844505,1.161478821844505,,1.0,,24.102065558830837,24.102065558830837,24.102065558830837,,,1
