label,radius_um,intersections
30,0.0,0
30,5.0,3
30,10.0,1
30,15.0,0
30,20.0,0
30,25.0,0
30,30.0,0
30,35.0,0
30,40.0,0
30,45.0,0
30,50.0,0
30,55.0,0
30,60.0,0
30,65.0,0
30,70.0,0
30,75.0,0
30,80.0,0
39,0.0,0
39,5.0,1
39,10.0,0
39,15.0,0
39,20.0,0
39,25.0,0
39,30.0,0
39,35.0,0
39,40.0,0
39,45.0,0
39,50.0,0
39,55.0,0
39,60.0,0
39,65.0,0
39,70.0,0
39,75.0,0
39,80.0,0
65,0.0,0
65,5.0,0
65,10.0,0
65,15.0,0
65,20.0,0
65,25.0,0
65,30.0,0
65,35.0,0
65,40.0,0
65,45.0,0
65,50.0,0
65,55.0,0
65,60.0,0
65,65.0,0
65,70.0,0
65,75.0,0
65,80.0,0
66,0.0,0
66,5.0,2
66,10.0,1
66,15.0,1
66,20.0,1
66,25.0,0
66,30.0,0
66,35.0,0
66,40.0,0
66,45.0,0
66,50.0,0
66,55.0,0
66,60.0,0
66,65.0,0
66,70.0,0
66,75.0,0
66,80.0,0
67,0.0,0
67,5.0,2
67,10.0,3
67,15.0,3
67,20.0,2
67,25.0,1
67,30.0,1
67,35.0,0
67,40.0,0
67,45.0,0
67,50.0,0
67,55.0,0
67,60.0,0
67,65.0,0
67,70.0,0
67,75.0,0
67,80.0,0
69,0.0,0
69,5.0,0
69,10.0,0
69,15.0,0
69,20.0,0
69,25.0,0
69,30.0,0
69,35.0,0
69,40.0,0
69,45.0,0
69,50.0,0
69,55.0,0
69,60.0,0
69,65.0,0
69,70.0,0
69,75.0,0
69,80.0,0
73,0.0,0
73,5.0,0
73,10.0,0
73,15.0,0
73,20.0,0
73,25.0,0
73,30.0,0
73,35.0,0
73,40.0,0
73,45.0,0
73,50.0,0
73,55.0,0
73,60.0,0
73,65.0,0
73,70.0,0
73,75.0,0
73,80.0,0
78,0.0,0
78,5.0,2
78,10.0,0
78,15.0,0
78,20.0,0
78,25.0,0
78,30.0,0
78,35.0,0
78,40.0,0
78,45.0,0
78,50.0,0
78,55.0,0
78,60.0,0
78,65.0,0
78,70.0,0
78,75.0,0
78,80.0,0
80,0.0,0
80,5.0,0
80,10.0,0
80,15.0,0
80,20.0,0
80,25.0,0
80,30.0,0
80,35.0,0
80,40.0,0
80,45.0,0
80,50.0,0
80,55.0,0
80,60.0,0
80,65.0,0
80,70.0,0
80,75.0,0
80,80.0,0
81,0.0,0
81,5.0,3
81,10.0,0
81,15.0,0
81,20.0,0
81,25.0,0
81,30.0,0
81,35.0,0
81,40.0,0
81,45.0,0
81,50.0,0
81,55.0,0
81,60.0,0
81,65.0,0
81,70.0,0
81,75.0,0
81,80.0,0
96,0.0,0
96,5.0,3
96,10.0,1
96,15.0,0
96,20.0,0
96,25.0,0
96,30.0,0
96,35.0,0
96,40.0,0
96,45.0,0
96,50.0,0
96,55.0,0
96,60.0,0
96,65.0,0
96,70.0,0
96,75.0,0
96,80.0,0
99,0.0,0
99,5.0,7
99,10.0,5
99,15.0,1
99,20.0,0
99,25.0,0
