label,radius_um,intersections
4,0.0,0
4,0.5,2
4,1.0,2
4,1.5,3
4,2.0,4
4,2.5,5
4,3.0,4
4,3.5,5
4,4.0,5
4,4.5,6
4,5.0,6
4,5.5,7
4,6.0,7
4,6.5,5
4,7.0,4
4,7.5,4
4,8.0,4
4,8.5,3
4,9.0,2
4,9.5,2
4,10.0,1
4,10.5,0
4,11.0,0
4,11.5,0
4,12.0,0
4,12.5,0
4,13.0,0
4,13.5,0
4,14.0,0
4,14.5,0
4,15.0,0
4,15.5,0
4,16.0,0
4,16.5,0
4,17.0,0
4,17.5,0
4,18.0,0
4,18.5,0
4,19.0,0
4,19.5,0
4,20.0,0
4,20.5,0
4,21.0,0
4,21.5,0
4,22.0,0
4,22.5,0
4,23.0,0
4,23.5,0
4,24.0,0
4,24.5,0
4,25.0,0
6,0.0,0
6,0.5,0
6,1.0,0
6,1.5,0
6,2.0,0
6,2.5,1
6,3.0,3
6,3.5,3
6,4.0,2
6,4.5,2
6,5.0,2
6,5.5,2
6,6.0,2
6,6.5,2
6,7.0,4
6,7.5,5
6,8.0,4
6,8.5,4
6,9.0,4
6,9.5,4
6,10.0,2
6,10.5,2
6,11.0,2
6,11.5,2
6,12.0,1
6,12.5,1
6,13.0,1
6,13.5,1
6,14.0,0
6,14.5,0
6,15.0,0
6,15.5,0
6,16.0,0
6,16.5,0
6,17.0,0
6,17.5,0
6,18.0,0
6,18.5,0
6,19.0,0
6,19.5,0
6,20.0,0
6,20.5,0
6,21.0,0
6,21.5,0
6,22.0,0
6,22.5,0
6,23.0,0
6,23.5,0
6,24.0,0
6,24.5,0
6,25.0,0
9,0.0,0
9,0.5,0
9,1.0,0
9,1.5,2
9,2.0,2
9,2.5,2
9,3.0,2
9,3.5,7
9,4.0,3
9,4.5,3
9,5.0,2
9,5.5,2
9,6.0,1
9,6.5,1
9,7.0,1
9,7.5,1
9,8.0,1
9,8.5,1
9,9.0,1
9,9.5,3
9,10.0,1
9,10.5,0
9,11.0,0
9,11.5,0
9,12.0,0
9,12.5,0
9,13.0,0
9,13.5,0
9,14.0,0
9,14.5,0
9,15.0,0
9,15.5,0
9,16.0,0
9,16.5,0
9,17.0,0
9,17.5,0
9,18.0,0
9,18.5,0
9,19.0,0
9,19.5,0
9,20.0,0
9,20.5,0
9,21.0,0
9,21.5,0
9,22.0,0
9,22.5,0
9,23.0,0
9,23.5,0
9,24.0,0
9,24.5,0
9,25.0,0
10,0.0,0
10,0.5,0
10,1.0,0
10,1.5,0
10,2.0,0
10,2.5,2
10,3.0,2
10,3.5,2
10,4.0,1
10,4.5,1
10,5.0,5
10,5.5,7
10,6.0,6
10,6.5,5
10,7.0,6
10,7.5,5
10,8.0,3
10,8.5,2
10,9.0,2
10,9.5,2
10,10.0,2
10,10.5,1
10,11.0,1
10,11.5,1
10,12.0,1
10,12.5,1
10,13.0,1
10,13.5,1
10,14.0,1
10,14.5,1
10,15.0,1
10,15.5,1
10,16.0,1
10,16.5,0
10,17.0,0
10,17.5,0
10,18.0,0
10,18.5,0
10,19.0,0
10,19.5,0
10,20.0,0
10,20.5,0
10,21.0,0
10,21.5,0
10,22.0,0
10,22.5,0
10,23.0,0
10,23.5,0
10,24.0,0
10,24.5,0
10,25.0,0
12,0.0,0
12,0.5,0
12,1.0,1
12,1.5,2
12,2.0,2
12,2.5,1
12,3.0,1
12,3.5,1
12,4.0,4
12,4.5,2
12,5.0,2
12,5.5,1
12,6.0,3
12,6.5,3
12,7.0,3
12,7.5,3
12,8.0,3
12,8.5,2
12,9.0,2
12,9.5,2
12,10.0,1
12,10.5,1
12,11.0,1
12,11.5,1
12,12.0,1
12,12.5,1
12,13.0,1
12,13.5,2
12,14.0,2
12,14.5,2
12,15.0,2
12,15.5,2
12,16.0,2
12,16.5,1
12,17.0,1
12,17.5,4
12,18.0,2
12,18.5,2
12,19.0,2
12,19.5,2
12,20.0,1
12,20.5,1
12,21.0,3
12,21.5,1
12,22.0,1
12,22.5,0
12,23.0,0
12,23.5,0
12,24.0,0
12,24.5,0
12,25.0,0
13,0.0,0
13,0.5,0
13,1.0,0
13,1.5,0
13,2.0,2
13,2.5,4
13,3.0,6
13,3.5,4
13,4.0,4
13,4.5,2
13,5.0,1
13,5.5,1
13,6.0,1
13,6.5,4
13,7.0,1
13,7.5,1
13,8.0,1
13,8.5,1
13,9.0,1
13,9.5,2
13,10.0,0
13,10.5,0
13,11.0,0
13,11.5,0
13,12.0,0
13,12.5,0
13,13.0,0
13,13.5,0
13,14.0,0
13,14.5,0
13,15.0,0
13,15.5,0
13,16.0,0
13,16.5,0
13,17.0,0
13,17.5,0
13,18.0,0
13,18.5,0
13,19.0,0
13,19.5,0
13,20.0,0
13,20.5,0
13,21.0,0
13,21.5,0
13,22.0,0
13,22.5,0
13,23.0,0
13,23.5,0
13,24.0,0
13,24.5,0
13,25.0,0
17,0.0,0
17,0.5,2
17,1.0,2
17,1.5,2
17,2.0,1
17,2.5,1
17,3.0,1
17,3.5,1
17,4.0,1
17,4.5,1
17,5.0,1
17,5.5,1
17,6.0,1
17,6.5,3
17,7.0,2
17,7.5,2
17,8.0,2
17,8.5,2
17,9.0,2
17,9.5,2
17,10.0,1
17,10.5,1
17,11.0,0
17,11.5,1
17,12.0,1
17,12.5,1
17,13.0,1
17,13.5,0
17,14.0,0
17,14.5,0
17,15.0,0
17,15.5,0
17,16.0,0
17,16.5,0
17,17.0,0
17,17.5,0
17,18.0,0
17,18.5,0
17,19.0,0
17,19.5,0
17,20.0,0
17,20.5,0
17,21.0,0
