label,skeleton_length_um,skeleton_pixels,nuclear_area_um2,centroid_y_um,centroid_x_um,territory_area_um2,gfap_threshold,n_branches,total_branch_length_um,n_endpoints,n_junctions,mean_branch_length_um,tortuosity_mean,tortuosity_max,tortuosity_std,ramification_index,termination_index,branch_length_median_um,branch_length_p25_um,branch_length_p75_um,branch_length_std_um,branch_length_cv,n_connected_components
4,39.016400000000004,103,29.702314080000004,59.859549758454115,69.23622222222222,14113.190850080002,99.111328125,9,43.81543521508865,6,4,4.868381690565405,1.072590084185568,1.131045532419988,0.0488041004885346,2.25,1.5,3.8799122922807854,3.3442081948538576,6.336536876842358,2.762627116699069,0.5674631309317537,1
6,35.986000000000004,95,37.45074384000001,62.841613793103456,88.91350344827586,2207.0110766400003,109.072265625,8,41.818372091930996,7,3,5.2272965114913745,1.0666263937574412,1.1385005293577117,0.0382980911912673,2.6666666666666665,2.3333333333333335,4.794416389707715,2.9233944627779103,6.189150608918304,3.1210534791296305,0.5970683836794974,2
8,40.531600000000005,107,49.64734624000001,62.534843930635844,96.1276161849711,1244.62740256,101.103515625,11,46.088235215088645,4,6,4.189839565008058,1.212298006288776,2.4142135623731065,0.40437616544248767,1.8333333333333333,0.6666666666666666,3.723008194853857,1.8615040974269288,5.127260243567322,3.5410935296396917,0.8451620819120508,1
11,28.788800000000002,76,28.697888000000003,77.934312,166.446614,1712.2594875200002,104.091796875,7,32.48950653310015,5,3,4.641358076157164,1.0791104296537857,1.2126777286350388,0.06508626810932838,2.3333333333333335,1.6666666666666667,4.101808194853858,2.0968602435673214,7.524468438421179,3.328446796539575,0.717127776380352,1
12,22.349200000000003,59,45.916620800000004,77.63387625000001,159.1267775,1152.5071820800001,109.072265625,9,25.893002435673218,6,4,2.8770002706303575,1.0745593449639117,1.188038573205736,0.07060711856241131,2.25,1.5,2.3647122922807853,1.1364,4.193720487134643,2.2076890089821455,0.767357942756966,1
14,34.8496,92,21.666905440000004,85.87471258278147,191.24131920529803,3036.6670187200007,113.056640625,5,39.64863521508864,4,2,7.929727043017728,1.1068388932509379,1.2312007855437674,0.07589540070837589,2.5,2.0,9.431928681988499,5.6439286819885,9.458849169123141,3.182027368898568,0.4012782976811796,1
16,56.4412,149,25.8280992,92.56188444444444,212.67936444444445,3112.14246416,75.205078125,9,63.43689257906564,6,4,7.048543619896183,1.0809914535728327,1.1371149188835163,0.05323371942045038,2.25,1.5,8.582416389707715,2.7435122922807853,11.260936876842358,4.655512747024455,0.6604928617995877,1
19,78.4116,207,41.18146928000001,98.22270801393728,241.78394843205575,3507.599360800001,102.099609375,18,90.17940730701963,9,9,5.009967072612202,1.2031335704341306,2.798627034013635,0.4024864668322838,2.0,1.0,4.415616389707714,2.7205342192105895,5.7346862679240544,3.327731268463477,0.664222183545888,1
20,115.15520000000001,304,58.54369152000001,101.93712254901962,258.22833137254906,4193.478884,43.330078125,27,132.60962613240056,9,15,4.911467634533354,1.0936539228554585,1.4791178099658615,0.09440115585970943,1.8,0.6,4.794416389707714,3.533608194853857,6.4340245845615724,2.754569570151565,0.5608444919363255,1
24,13.636800000000001,36,52.086666720000004,120.58988429752065,334.09429531680445,3566.8604995200003,117.041015625,3,15.925369656257786,3,1,5.308456552085929,1.0586067456829351,1.0743796278960767,0.017597502915475034,3.0,3.0,5.800832779415429,4.161224584561571,6.701876633275036,2.576186832231185,0.48529865638984776,1
26,78.4116,207,31.137208480000005,124.08056589861751,311.4172405529954,6974.4477206400015,61.259765625,21,91.52655237871585,12,10,4.358407256129326,1.0750277630364675,1.3296010576672734,0.0708730352110456,2.1,1.2,3.566104097426929,1.829008194853857,5.5789368768423575,3.335122349755729,0.7652158583999857,1
27,19.6976,52,44.48172640000001,124.31971612903226,322.75592903225805,1394.7173568,105.087890625,5,22.6137860459655,4,2,4.5227572091931005,1.105284667343718,1.2061602339403656,0.05644369799435857,2.5,2.0,4.415616389707715,4.036816389707714,5.1082245845615715,1.9457670077971632,0.4302169932629006,1
29,47.72880000000001,126,57.82624432000001,125.88849330024816,340.9510183622829,18468.095354080004,96.123046875,8,51.80830653310014,4,4,6.476038316637517,1.2762069976808519,2.876142374915388,0.647475448667895,2.0,1.0,3.376704097426929,2.168582170497125,8.34706024356732,6.788756205458291,1.0482884556160474,1
147,32.576800000000006,86,49.79083568000001,70.67731181556196,143.4003619596542,2251.3493136,80.185546875,7,35.022273753684715,5,3,5.003181964812102,1.0772774090590354,1.2423679082996353,0.07827862346258498,2.3333333333333335,1.6666666666666667,4.859408194853858,3.879912292280786,6.688416389707715,2.5672356384657844,0.5131205813663023,1
148,10.9852,29,17.649201120000004,119.2388487804878,328.0377203252033,2863.6187540800006,73.212890625,5,12.489249169123143,4,2,2.4978498338246284,1.061091809538382,1.0796691275336512,0.018156458879216644,2.5,2.0,2.521616389707714,1.9859122922807855,2.586608194853857,1.2950711738619989,0.5184743919849766,1
192,33.7132,89,24.823673120000006,111.55112601156071,286.4319190751445,4747.204632960001,73.212890625,7,38.82604340994251,5,3,5.546577629991787,1.072692643123333,1.154204726783628,0.04716645385049954,2.3333333333333335,1.6666666666666667,5.9577368768423575,3.76896434099425,7.6488766332750355,2.8004726205225006,0.5049010051494849,1
194,35.607200000000006,94,47.35151520000001,174.68878545454547,172.08310060606064,65541.38452992,71.220703125,9,39.77861882538093,6,4,4.419846536153437,1.0622568013921478,1.1320634593268837,0.037869178740543165,2.25,1.5,3.944904097426929,2.808504097426929,4.951320487134644,2.494232220520692,0.5643255258114472,1
