label,radius_um,intersections
21,0.0,0
21,5.0,3
21,10.0,1
21,15.0,0
21,20.0,0
21,25.0,0
21,30.0,0
21,35.0,0
21,40.0,0
21,45.0,0
21,50.0,0
21,55.0,0
21,60.0,0
21,65.0,0
21,70.0,0
21,75.0,0
21,80.0,0
22,0.0,0
22,5.0,1
22,10.0,2
22,15.0,0
22,20.0,0
22,25.0,0
22,30.0,0
22,35.0,0
22,40.0,0
22,45.0,0
22,50.0,0
22,55.0,0
22,60.0,0
22,65.0,0
22,70.0,0
22,75.0,0
22,80.0,0
24,0.0,0
24,5.0,2
24,10.0,0
24,15.0,0
24,20.0,0
24,25.0,0
24,30.0,0
24,35.0,0
24,40.0,0
24,45.0,0
24,50.0,0
24,55.0,0
24,60.0,0
24,65.0,0
24,70.0,0
24,75.0,0
24,80.0,0
26,0.0,0
26,5.0,2
26,10.0,2
26,15.0,1
26,20.0,1
26,25.0,2
26,30.0,1
26,35.0,0
26,40.0,0
26,45.0,0
26,50.0,0
26,55.0,0
26,60.0,0
26,65.0,0
26,70.0,0
26,75.0,0
26,80.0,0
27,0.0,0
27,5.0,3
27,10.0,1
27,15.0,0
27,20.0,0
27,25.0,0
27,30.0,0
27,35.0,0
27,40.0,0
27,45.0,0
27,50.0,0
27,55.0,0
27,60.0,0
27,65.0,0
27,70.0,0
27,75.0,0
27,80.0,0
28,0.0,0
28,5.0,1
28,10.0,2
28,15.0,1
28,20.0,3
28,25.0,0
28,30.0,0
28,35.0,0
28,40.0,0
28,45.0,0
28,50.0,0
28,55.0,0
28,60.0,0
28,65.0,0
28,70.0,0
28,75.0,0
28,80.0,0
29,0.0,0
29,5.0,7
29,10.0,1
29,15.0,0
29,20.0,0
29,25.0,0
29,30.0,0
29,35.0,0
29,40.0,0
29,45.0,0
29,50.0,0
29,55.0,0
29,60.0,0
29,65.0,0
29,70.0,0
29,75.0,0
29,80.0,0
30,0.0,0
30,5.0,6
30,10.0,0
30,15.0,0
30,20.0,0
30,25.0,0
30,30.0,0
30,35.0,0
30,40.0,0
30,45.0,0
30,50.0,0
30,55.0,0
30,60.0,0
30,65.0,0
30,70.0,0
30,75.0,0
30,80.0,0
31,0.0,0
31,5.0,0
31,10.0,0
31,15.0,0
31,20.0,0
31,25.0,0
31,30.0,0
31,35.0,0
31,40.0,0
31,45.0,0
31,50.0,0
31,55.0,0
31,60.0,0
31,65.0,0
31,70.0,0
31,75.0,0
31,80.0,0
32,0.0,0
32,5.0,1
32,10.0,2
