label,radius_um,intersections
3,0.0,0
3,5.0,2
3,10.0,2
3,15.0,0
3,20.0,0
3,25.0,0
3,30.0,0
3,35.0,0
3,40.0,0
3,45.0,0
3,50.0,0
3,55.0,0
3,60.0,0
3,65.0,0
3,70.0,0
3,75.0,0
3,80.0,0
4,0.0,0
4,5.0,4
4,10.0,1
4,15.0,0
4,20.0,0
4,25.0,0
4,30.0,0
4,35.0,0
4,40.0,0
4,45.0,0
4,50.0,0
4,55.0,0
4,60.0,0
4,65.0,0
4,70.0,0
4,75.0,0
4,80.0,0
5,0.0,0
5,5.0,1
5,10.0,2
5,15.0,0
5,20.0,0
5,25.0,0
5,30.0,0
5,35.0,0
5,40.0,0
5,45.0,0
5,50.0,0
5,55.0,0
5,60.0,0
5,65.0,0
5,70.0,0
5,75.0,0
5,80.0,0
6,0.0,0
6,5.0,0
6,10.0,0
6,15.0,0
6,20.0,0
6,25.0,0
6,30.0,0
6,35.0,0
6,40.0,0
6,45.0,0
6,50.0,0
6,55.0,0
6,60.0,0
6,65.0,0
6,70.0,0
6,75.0,0
6,80.0,0
8,0.0,0
8,5.0,2
8,10.0,1
8,15.0,0
8,20.0,0
8,25.0,0
8,30.0,0
8,35.0,0
8,40.0,0
8,45.0,0
8,50.0,0
8,55.0,0
8,60.0,0
8,65.0,0
8,70.0,0
8,75.0,0
8,80.0,0
10,0.0,0
10,5.0,3
10,10.0,1
10,15.0,0
10,20.0,0
10,25.0,0
10,30.0,0
10,35.0,0
10,40.0,0
10,45.0,0
10,50.0,0
10,55.0,0
10,60.0,0
10,65.0,0
10,70.0,0
10,75.0,0
10,80.0,0
19,0.0,0
19,5.0,3
19,10.0,3
19,15.0,1
19,20.0,0
19,25.0,0
19,30.0,0
19,35.0,0
19,40.0,0
19,45.0,0
19,50.0,0
19,55.0,0
19,60.0,0
19,65.0,0
19,70.0,0
19,75.0,0
19,80.0,0
30,0.0,0
30,5.0,3
30,10.0,2
30,15.0,1
30,20.0,2
30,25.0,1
30,30.0,0
30,35.0,0
30,40.0,0
30,45.0,0
30,50.0,0
30,55.0,0
30,60.0,0
30,65.0,0
30,70.0,0
30,75.0,0
30,80.0,0
67,0.0,0
67,5.0,8
67,10.0,6
67,15.0,9
67,20.0,3
67,25.0,0
67,30.0,0
67,35.0,0
67,40.0,0
67,45.0,0
67,50.0,0
67,55.0,0
67,60.0,0
67,65.0,0
67,70.0,0
67,75.0,0
67,80.0,0
76,0.0,0
76,5.0,3
76,10.0,2
76,15.0,4
76,20.0,1
76,25.0,1
76,30.0,0
76,35.0,0
76,40.0,0
76,45.0,0
76,50.0,0
76,55.0,0
76,60.0,0
76,65.0,0
76,70.0,0
76,75.0,0
76,80.0,0
83,0.0,0
83,5.0,2
83,10.0,1
83,15.0,1
83,20.0,2
83,25.0,0
83,30.0,0
83,35.0,0
83,40.0,0
83,45.0,0
83,50.0,0
83,55.0,0
83,60.0,0
83,65.0,0
83,70.0,0
83,75.0,0
83,80.0,0
89,0.0,0
89,5.0,3
89,10.0,1
89,15.0,0
89,20.0,0
89,25.0,0
89,30.0,0
89,35.0,0
89,40.0,0
89,45.0,0
89,50.0,0
89,55.0,0
89,60.0,0
89,65.0,0
89,70.0,0
89,75.0,0
89,80.0,0
94,0.0,0
94,5.0,4
94,10.0,5
94,15.0,4
94,20.0,0
94,25.0,0
94,30.0,0
94,35.0,0
94,40.0,0
94,45.0,0
94,50.0,0
94,55.0,0
94,60.0,0
94,65.0,0
94,70.0,0
94,75.0,0
94,80.0,0
121,0.0,0
121,5.0,5
121,10.0,2
121,15.0,2
121,20.0,0
121,25.0,0
121,30.0,0
121,35.0,0
121,40.0,0
121,45.0,0
121,50.0,0
121,55.0,0
121,60.0,0
121,65.0,0
121,70.0,0
121,75.0,0
121,80.0,0
124,0.0,0
124,5.0,5
124,10.0,1
124,15.0,0
124,20.0,0
124,25.0,0
124,30.0,0
124,35.0,0
124,40.0,0
124,45.0,0
124,50.0,0
124,55.0,0
124,60.0,0
124,65.0,0
124,70.0,0
124,75.0,0
124,80.0,0
157,0.0,0
157,5.0,4
157,10.0,0
157,15.0,0
157,20.0,0
157,25.0,0
157,30.0,0
157,35.0,0
157,40.0,0
157,45.0,0
157,50.0,0
157,55.0,0
157,60.0,0
157,65.0,0
157,70.0,0
157,75.0,0
157,80.0,0
158,0.0,0
158,5.0,1
158,10.0,0
158,15.0,0
158,20.0,0
158,25.0,0
158,30.0,0
158,35.0,0
158,40.0,0
158,45.0,0
158,50.0,0
158,55.0,0
158,60.0,0
158,65.0,0
158,70.0,0
158,75.0,0
158,80.0,0
161,0.0,0
161,5.0,1
161,10.0,1
161,15.0,0
161,20.0,0
161,25.0,0
161,30.0,0
161,35.0,0
161,40.0,0
161,45.0,0
161,50.0,0
161,55.0,0
161,60.0,0
161,65.0,0
161,70.0,0
161,75.0,0
161,80.0,0
167,0.0,0
167,5.0,5
167,10.0,0
167,15.0,0
167,20.0,0
167,25.0,0
167,30.0,0
167,35.0,0
167,40.0,0
167,45.0,0
167,50.0,0
167,55.0,0
167,60.0,0
167,65.0,0
167,70.0,0
167,75.0,0
167,80.0,0
195,0.0,0
195,5.0,8
195,10.0,9
195,15.0,14
195,20.0,9
195,25.0,5
195,30.0,2
195,35.0,5
195,40.0,1
195,45.0,0
195,50.0,0
195,55.0,0
195,60.0,0
195,65.0,0
195,70.0,0
195,75.0,0
195,80.0,0
221,0.0,0
221,5.0,3
221,10.0,2
221,15.0,2
221,20.0,5
221,25.0,3
221,30.0,0
221,35.0,0
221,40.0,0
221,45.0,0
221,50.0,0
221,55.0,0
221,60.0,0
221,65.0,0
221,70.0,0
221,75.0,0
221,80.0,0
261,0.0,0
261,5.0,2
261,10.0,2
261,15.0,0
261,20.0,0
261,25.0,0
261,30.0,0
261,35.0,0
261,40.0,0
261,45.0,0
261,50.0,0
261,55.0,0
261,60.0,0
261,65.0,0
261,70.0,0
261,75.0,0
261,80.0,0
323,0.0,0
323,5.0,3
323,10.0,2
323,15.0,1
323,20.0,0
323,25.0,0
323,30.0,0
323,35.0,0
323,40.0,0
323,45.0,0
323,50.0,0
323,55.0,0
323,60.0,0
323,65.0,0
323,70.0,0
323,75.0,0
323,80.0,0
339,0.0,0
339,5.0,1
339,10.0,1
339,15.0,0
339,20.0,0
339,25.0,0
339,30.0,0
339,35.0,0
339,40.0,0
