label,critical_radius_um,peak_intersections,auc
62,4.0,10.0,64.5
63,8.5,10.0,85.0
70,3.5,6.0,15.0
77,8.0,9.0,61.0
89,10.0,7.0,54.5
116,5.0,8.0,67.5
119,4.0,7.0,34.5
143,5.0,2.0,5.5
150,1.5,3.0,8.5
151,3.0,4.0,16.0
155,5.0,3.0,14.0
161,5.0,7.0,8.5
188,13.5,12.0,105.5
213,12.5,6.0,59.0
230,17.5,5.0,30.5
238,4.5,2.0,10.5
255,5.0,8.0,67.5
329,1.5,2.0,7.5
331,3.5,5.0,3.5
340,3.0,8.0,16.5
368,5.5,4.0,9.5
369,5.5,9.0,54.0
370,8.5,5.0,31.0
377,5.5,8.0,67.0
379,5.0,6.0,36.5
389,4.5,5.0,30.5
435,5.0,7.0,41.0
489,1.0,3.0,11.5
492,2.0,6.0,48.5
527,4.0,7.0,20.5
