label,radius_um,intersections
103,0.0,0
103,1.0,0
103,2.0,0
103,3.0,2
103,4.0,7
103,5.0,7
103,6.0,8
103,7.0,4
103,8.0,3
103,9.0,1
103,10.0,1
103,11.0,0
103,12.0,0
103,13.0,0
103,14.0,0
103,15.0,0
103,16.0,0
103,17.0,0
103,18.0,0
103,19.0,0
103,20.0,0
103,21.0,0
103,22.0,0
103,23.0,0
103,24.0,0
103,25.0,0
107,0.0,0
107,1.0,5
107,2.0,6
107,3.0,8
107,4.0,7
107,5.0,10
107,6.0,7
107,7.0,5
107,8.0,5
107,9.0,4
107,10.0,2
107,11.0,2
107,12.0,0
107,13.0,0
107,14.0,0
107,15.0,0
107,16.0,0
107,17.0,0
107,18.0,0
107,19.0,0
107,20.0,0
107,21.0,0
107,22.0,0
107,23.0,0
107,24.0,0
107,25.0,0
110,0.0,0
110,1.0,0
110,2.0,2
110,3.0,3
110,4.0,4
110,5.0,4
110,6.0,4
110,7.0,6
110,8.0,7
110,9.0,5
110,10.0,3
110,11.0,2
110,12.0,1
110,13.0,1
110,14.0,1
110,15.0,0
110,16.0,0
110,17.0,0
110,18.0,0
110,19.0,0
110,20.0,0
110,21.0,0
110,22.0,0
110,23.0,0
110,24.0,0
110,25.0,0
113,0.0,0
113,1.0,0
113,2.0,1
113,3.0,4
113,4.0,4
113,5.0,4
113,6.0,4
113,7.0,4
113,8.0,3
113,9.0,5
113,10.0,4
113,11.0,3
113,12.0,2
113,13.0,1
113,14.0,1
113,15.0,1
113,16.0,1
113,17.0,1
113,18.0,1
113,19.0,1
113,20.0,0
113,21.0,0
113,22.0,0
113,23.0,0
113,24.0,0
113,25.0,0
114,0.0,0
114,1.0,2
114,2.0,2
114,3.0,8
114,4.0,5
114,5.0,7
114,6.0,3
114,7.0,3
114,8.0,5
114,9.0,3
114,10.0,1
114,11.0,0
114,12.0,0
114,13.0,0
114,14.0,0
114,15.0,0
114,16.0,0
114,17.0,0
114,18.0,0
114,19.0,0
114,20.0,0
114,21.0,0
114,22.0,0
114,23.0,0
114,24.0,0
114,25.0,0
116,0.0,0
116,1.0,0
116,2.0,3
116,3.0,6
116,4.0,6
116,5.0,6
116,6.0,7
116,7.0,6
116,8.0,6
116,9.0,4
116,10.0,4
116,11.0,4
116,12.0,2
116,13.0,1
116,14.0,1
116,15.0,1
116,16.0,0
116,17.0,0
116,18.0,0
116,19.0,0
116,20.0,0
116,21.0,0
116,22.0,0
116,23.0,0
116,24.0,0
116,25.0,0
117,0.0,0
117,1.0,3
117,2.0,3
117,3.0,2
117,4.0,3
117,5.0,3
117,6.0,3
117,7.0,4
117,8.0,4
117,9.0,2
117,10.0,2
117,11.0,2
117,12.0,2
117,13.0,1
117,14.0,1
