label,critical_radius_um,peak_intersections,auc
52,5.0,2.0,10.0
103,5.0,7.0,85.0
107,5.0,7.0,80.0
110,10.0,8.0,75.0
113,10.0,7.0,105.0
114,5.0,5.0,30.0
116,5.0,3.0,25.0
117,5.0,2.0,20.0
118,5.0,4.0,45.0
119,5.0,4.0,30.0
120,15.0,5.0,120.0
121,5.0,4.0,35.0
122,5.0,2.0,15.0
125,0.0,0.0,0.0
126,5.0,5.0,35.0
127,5.0,4.0,25.0
128,10.0,4.0,35.0
129,5.0,3.0,15.0
130,5.0,4.0,35.0
132,5.0,2.0,10.0
134,5.0,2.0,15.0
135,5.0,3.0,20.0
136,5.0,2.0,15.0
137,10.0,9.0,175.0
139,5.0,5.0,40.0
140,5.0,1.0,5.0
144,10.0,6.0,85.0
146,5.0,5.0,35.0
149,5.0,1.0,5.0
151,5.0,2.0,20.0
157,5.0,1.0,5.0
159,10.0,2.0,15.0
163,5.0,3.0,35.0
179,5.0,3.0,40.0
188,0.0,0.0,0.0
189,5.0,1.0,5.0
192,10.0,4.0,45.0
194,5.0,5.0,25.0
199,10.0,4.0,40.0
207,5.0,7.0,115.0
226,10.0,4.0,40.0
229,10.0,7.0,90.0
231,5.0,3.0,25.0
239,5.0,5.0,50.0
242,5.0,3.0,55.0
243,5.0,3.0,25.0
247,5.0,5.0,55.0
254,15.0,4.0,55.0
255,10.0,2.0,25.0
258,20.0,6.0,75.0
261,5.0,3.0,20.0
270,10.0,3.0,40.0
273,5.0,3.0,20.0
277,5.0,2.0,15.0
278,5.0,2.0,30.0
286,5.0,4.0,25.0
302,5.0,2.0,25.0
305,5.0,2.0,15.0
306,5.0,4.0,50.0
321,5.0,3.0,35.0
