label,radius_um,intersections
2,0.0,0
2,1.0,0
2,2.0,0
2,3.0,0
2,4.0,3
2,5.0,2
2,6.0,2
2,7.0,4
2,8.0,4
2,9.0,5
2,10.0,3
2,11.0,3
2,12.0,3
2,13.0,3
2,14.0,2
2,15.0,2
2,16.0,2
2,17.0,2
2,18.0,2
2,19.0,2
2,20.0,2
2,21.0,2
2,22.0,2
2,23.0,2
2,24.0,2
2,25.0,0
3,0.0,0
3,1.0,2
3,2.0,3
3,3.0,5
3,4.0,5
3,5.0,5
3,6.0,4
3,7.0,3
3,8.0,5
3,9.0,3
3,10.0,3
3,11.0,2
3,12.0,1
3,13.0,1
3,14.0,1
3,15.0,0
3,16.0,0
3,17.0,0
3,18.0,0
3,19.0,0
3,20.0,0
3,21.0,0
3,22.0,0
3,23.0,0
3,24.0,0
3,25.0,0
4,0.0,0
4,1.0,1
4,2.0,4
4,3.0,3
4,4.0,3
4,5.0,6
4,6.0,11
4,7.0,11
4,8.0,13
4,9.0,9
4,10.0,7
4,11.0,6
4,12.0,6
4,13.0,7
4,14.0,4
4,15.0,5
4,16.0,0
4,17.0,0
4,18.0,0
4,19.0,0
4,20.0,0
4,21.0,0
4,22.0,0
4,23.0,0
4,24.0,0
4,25.0,0
5,0.0,0
5,1.0,0
5,2.0,1
5,3.0,1
5,4.0,3
5,5.0,5
5,6.0,3
5,7.0,2
5,8.0,1
5,9.0,1
5,10.0,0
5,11.0,0
5,12.0,0
5,13.0,0
5,14.0,0
5,15.0,0
5,16.0,0
5,17.0,0
5,18.0,0
5,19.0,0
5,20.0,0
5,21.0,0
5,22.0,0
5,23.0,0
5,24.0,0
5,25.0,0
7,0.0,0
7,1.0,0
7,2.0,1
7,3.0,0
7,4.0,2
7,5.0,3
7,6.0,4
7,7.0,5
7,8.0,4
7,9.0,3
7,10.0,3
7,11.0,2
7,12.0,2
7,13.0,4
7,14.0,2
7,15.0,2
7,16.0,3
7,17.0,2
7,18.0,2
7,19.0,0
7,20.0,0
7,21.0,0
7,22.0,0
7,23.0,0
7,24.0,0
7,25.0,0
9,0.0,0
9,1.0,2
9,2.0,1
9,3.0,4
9,4.0,4
9,5.0,4
9,6.0,4
9,7.0,2
9,8.0,2
9,9.0,5
9,10.0,2
9,11.0,2
9,12.0,5
9,13.0,1
9,14.0,1
9,15.0,1
9,16.0,2
9,17.0,1
9,18.0,1
9,19.0,1
9,20.0,1
9,21.0,0
