label,skeleton_length_um,skeleton_pixels,nuclear_area_um2,centroid_y_um,centroid_x_um,territory_area_um2,gfap_threshold,n_branches,total_branch_length_um,n_endpoints,n_junctions,mean_branch_length_um,tortuosity_mean,tortuosity_max,tortuosity_std,ramification_index,termination_index,branch_length_median_um,branch_length_p25_um,branch_length_p75_um,branch_length_std_um,branch_length_cv,n_connected_components
3,107.57920000000001,284,57.108797120000006,17.68748542713568,315.1054462311558,2717.1160358400007,64.248046875,27,123.04771384011981,15,13,4.557322734819253,1.0684863298225649,1.1917175294019682,0.04999961205282574,2.076923076923077,1.1538461538461537,4.1668,2.586608194853857,6.499016389707714,2.620215784617036,0.5749462869060898,1
11,7.9548000000000005,21,37.881212160000004,27.877671212121214,216.60903181818185,392.44361840000005,116.044921875,1,9.458849169123143,2,0,9.458849169123143,1.0706040453940178,1.0706040453940178,,1.0,,9.458849169123143,9.458849169123143,9.458849169123143,,,1
14,144.3228,381,17.792690560000004,28.78269032258065,313.8907870967742,1841.1130046400003,72.216796875,33,171.03456788058938,12,18,5.182865693351193,1.1143703494457555,2.372847452342202,0.23648643049045182,1.8333333333333333,0.6666666666666666,4.415616389707715,2.429704097426929,6.623424584561572,3.6616196746173526,0.7064855412546458,1
23,35.607200000000006,94,19.80154272,62.02438260869565,238.61655072463768,966.8318467200002,75.205078125,11,41.66146799450408,7,5,3.7874061813185524,1.0728638507197181,1.2106549570167597,0.06087386684150342,2.2,1.4,2.6785204871346426,2.5866081948538575,4.761920487134643,2.4171101904001846,0.6381967168777997,1
28,12.1216,32,88.81996336000002,76.5940943457189,172.36011954765752,5923.387572640001,89.150390625,1,13.311840974269284,2,0,13.311840974269284,1.0998039608932015,1.0998039608932015,,1.0,,13.311840974269284,13.311840974269284,13.311840974269284,,,1
37,35.986000000000004,95,32.14163456000001,88.24348928571429,177.7519,318.6900462400001,125.009765625,5,41.38573111766171,1,3,8.277146223532343,1.9425681572908762,4.5189008569228335,1.474569650292303,1.6666666666666667,0.3333333333333333,7.602920487134643,6.0227286819885,11.482832779415427,4.30308769581146,0.5198757614765298,1
40,10.9852,29,42.18589536,95.3145836734694,161.59814149659863,890.7824435200001,113.056640625,3,12.018536876842358,3,1,4.006178958947452,1.0866741908502002,1.107106781186547,0.01863828382883586,3.0,3.0,4.415616389707715,3.043860243567322,5.173216389707715,2.1586771074865596,0.5388369140787738,1
41,42.4256,112,33.576528960000005,94.6951435897436,263.94913504273507,992.5164564800001,93.134765625,7,49.89200487134643,5,3,7.127429267335204,1.1230525115791667,1.22934235944484,0.07205152303931701,2.3333333333333335,1.6666666666666667,6.7803286819885,5.976772535848108,8.49838892555582,2.637414177610525,0.3700372292290175,1
48,15.909600000000001,42,48.64292016000001,109.14356578171092,151.59486607669618,2848.2653840000003,105.087890625,3,16.942936876842356,3,1,5.6476456256141185,1.0409675545992516,1.051776695296637,0.01599135199940621,3.0,3.0,6.374608194853858,5.173216389707715,6.485556146140393,1.455538240349773,0.2577247824736701,1
53,114.77640000000001,303,43.33381088000001,109.25369668874173,173.34490066225166,594.33326048,98.115234375,29,137.72246954234308,10,16,4.749050673873899,1.095453791455927,1.6288948475289116,0.11802802846968095,1.8125,0.625,3.7230081948538576,2.521616389707714,6.022728681988501,3.871153000488418,0.815142491905785,1
57,57.9564,153,38.02470160000001,124.60518792452831,164.38490566037737,379.52956880000005,96.123046875,13,66.9918458456157,8,6,5.153218911201208,1.1964349204354483,2.4832835038673093,0.3919159725776048,2.1666666666666665,1.3333333333333333,3.4361204871346427,2.3647122922807853,5.238208194853858,4.4444582266143255,0.8624625313226464,1
58,114.01880000000001,301,60.55254368000001,126.87286635071092,301.83178957345973,26179.504838560006,61.259765625,20,133.78871627579298,10,10,6.689435813789649,1.0756069859842166,1.3598261517192392,0.08136176143057332,2.0,1.0,6.087720487134643,2.247034219210589,10.111076633275035,5.073440416515241,0.7584257563331149,1
