label,radius_um,intersections
146,0.0,0
146,5.0,3
146,10.0,5
146,15.0,4
146,20.0,4
146,25.0,2
146,30.0,2
146,35.0,1
146,40.0,1
146,45.0,1
146,50.0,1
146,55.0,0
146,60.0,0
146,65.0,0
146,70.0,0
146,75.0,0
146,80.0,0
155,0.0,0
155,5.0,3
155,10.0,7
155,15.0,4
155,20.0,2
155,25.0,2
155,30.0,1
155,35.0,1
155,40.0,0
155,45.0,0
155,50.0,0
155,55.0,0
155,60.0,0
155,65.0,0
155,70.0,0
155,75.0,0
155,80.0,0
158,0.0,0
158,5.0,3
158,10.0,6
158,15.0,1
158,20.0,0
158,25.0,0
158,30.0,0
158,35.0,0
158,40.0,0
158,45.0,0
158,50.0,0
158,55.0,0
158,60.0,0
158,65.0,0
158,70.0,0
158,75.0,0
158,80.0,0
167,0.0,0
167,5.0,4
167,10.0,8
167,15.0,7
167,20.0,2
167,25.0,3
167,30.0,3
167,35.0,5
167,40.0,1
167,45.0,0
167,50.0,0
167,55.0,0
167,60.0,0
167,65.0,0
167,70.0,0
167,75.0,0
167,80.0,0
168,0.0,0
168,5.0,1
168,10.0,0
168,15.0,0
168,20.0,0
168,25.0,0
168,30.0,0
168,35.0,0
168,40.0,0
168,45.0,0
168,50.0,0
168,55.0,0
168,60.0,0
168,65.0,0
168,70.0,0
168,75.0,0
168,80.0,0
190,0.0,0
190,5.0,5
190,10.0,1
190,15.0,1
190,20.0,0
190,25.0,0
190,30.0,0
190,35.0,0
190,40.0,0
190,45.0,0
190,50.0,0
190,55.0,0
190,60.0,0
190,65.0,0
190,70.0,0
190,75.0,0
190,80.0,0
214,0.0,0
214,5.0,6
214,10.0,5
214,15.0,4
214,20.0,3
214,25.0,4
214,30.0,1
214,35.0,0
214,40.0,0
214,45.0,0
214,50.0,0
214,55.0,0
214,60.0,0
214,65.0,0
214,70.0,0
214,75.0,0
214,80.0,0
216,0.0,0
216,5.0,4
216,10.0,2
216,15.0,4
216,20.0,3
216,25.0,3
216,30.0,5
216,35.0,4
216,40.0,0
216,45.0,0
216,50.0,0
216,55.0,0
216,60.0,0
216,65.0,0
216,70.0,0
216,75.0,0
216,80.0,0
229,0.0,0
229,5.0,2
229,10.0,1
229,15.0,0
229,20.0,0
229,25.0,0
229,30.0,0
229,35.0,0
229,40.0,0
229,45.0,0
229,50.0,0
229,55.0,0
229,60.0,0
229,65.0,0
229,70.0,0
229,75.0,0
229,80.0,0
307,0.0,0
307,5.0,4
307,10.0,2
307,15.0,0
307,20.0,0
307,25.0,0
307,30.0,0
307,35.0,0
307,40.0,0
307,45.0,0
307,50.0,0
307,55.0,0
307,60.0,0
307,65.0,0
307,70.0,0
307,75.0,0
307,80.0,0
309,0.0,0
309,5.0,5
309,10.0,6
309,15.0,2
309,20.0,0
309,25.0,0
309,30.0,0
309,35.0,0
309,40.0,0
309,45.0,0
309,50.0,0
309,55.0,0
309,60.0,0
309,65.0,0
309,70.0,0
309,75.0,0
309,80.0,0
319,0.0,0
319,5.0,2
319,10.0,6
319,15.0,0
319,20.0,0
319,25.0,0
319,30.0,0
319,35.0,0
319,40.0,0
319,45.0,0
319,50.0,0
319,55.0,0
319,60.0,0
319,65.0,0
319,70.0,0
319,75.0,0
319,80.0,0
