label,radius_um,intersections
84,0.0,0
84,0.5,0
84,1.0,0
84,1.5,0
84,2.0,2
84,2.5,3
84,3.0,5
84,3.5,5
84,4.0,5
84,4.5,4
84,5.0,3
84,5.5,4
84,6.0,2
84,6.5,2
84,7.0,2
84,7.5,1
84,8.0,1
84,8.5,1
84,9.0,1
84,9.5,1
84,10.0,1
84,10.5,1
84,11.0,1
84,11.5,0
84,12.0,0
84,12.5,0
84,13.0,0
84,13.5,0
84,14.0,0
84,14.5,0
84,15.0,0
84,15.5,0
84,16.0,0
84,16.5,0
84,17.0,0
84,17.5,0
84,18.0,0
84,18.5,0
84,19.0,0
84,19.5,0
84,20.0,0
84,20.5,0
84,21.0,0
84,21.5,0
84,22.0,0
84,22.5,0
84,23.0,0
84,23.5,0
84,24.0,0
84,24.5,0
84,25.0,0
101,0.0,0
101,0.5,0
101,1.0,0
101,1.5,0
101,2.0,0
101,2.5,0
101,3.0,3
101,3.5,3
101,4.0,3
101,4.5,3
101,5.0,3
101,5.5,3
101,6.0,1
101,6.5,1
101,7.0,1
101,7.5,1
101,8.0,1
101,8.5,0
101,9.0,0
101,9.5,0
101,10.0,0
101,10.5,0
101,11.0,0
101,11.5,0
101,12.0,0
101,12.5,0
101,13.0,0
101,13.5,0
101,14.0,0
101,14.5,0
101,15.0,0
101,15.5,0
101,16.0,0
101,16.5,0
101,17.0,0
101,17.5,0
101,18.0,0
101,18.5,0
101,19.0,0
101,19.5,0
101,20.0,0
101,20.5,0
101,21.0,0
101,21.5,0
101,22.0,0
101,22.5,0
101,23.0,0
101,23.5,0
101,24.0,0
101,24.5,0
101,25.0,0
105,0.0,0
105,0.5,0
105,1.0,0
105,1.5,0
105,2.0,4
105,2.5,6
105,3.0,6
105,3.5,5
105,4.0,9
105,4.5,4
105,5.0,5
105,5.5,5
105,6.0,5
105,6.5,4
105,7.0,5
105,7.5,4
105,8.0,4
105,8.5,4
105,9.0,4
105,9.5,3
105,10.0,3
105,10.5,2
105,11.0,2
105,11.5,2
105,12.0,2
105,12.5,1
105,13.0,1
105,13.5,1
105,14.0,1
105,14.5,1
105,15.0,1
105,15.5,1
105,16.0,1
105,16.5,1
105,17.0,1
105,17.5,1
105,18.0,1
105,18.5,1
105,19.0,1
105,19.5,1
105,20.0,1
105,20.5,0
105,21.0,0
105,21.5,0
105,22.0,0
105,22.5,0
105,23.0,0
105,23.5,0
105,24.0,0
105,24.5,0
105,25.0,0
107,0.0,0
107,0.5,0
107,1.0,0
107,1.5,0
107,2.0,0
107,2.5,2
107,3.0,1
107,3.5,1
107,4.0,2
107,4.5,3
107,5.0,4
107,5.5,4
107,6.0,6
107,6.5,4
107,7.0,5
107,7.5,4
107,8.0,4
107,8.5,4
107,9.0,3
107,9.5,5
107,10.0,4
107,10.5,3
107,11.0,3
107,11.5,3
107,12.0,4
107,12.5,4
107,13.0,2
107,13.5,2
107,14.0,2
107,14.5,1
107,15.0,1
107,15.5,1
107,16.0,1
107,16.5,1
107,17.0,1
107,17.5,1
107,18.0,1
107,18.5,1
107,19.0,1
107,19.5,0
107,20.0,1
107,20.5,0
107,21.0,0
107,21.5,0
107,22.0,0
107,22.5,0
107,23.0,0
107,23.5,0
107,24.0,0
107,24.5,0
107,25.0,0
108,0.0,0
108,0.5,0
108,1.0,0
108,1.5,1
108,2.0,1
108,2.5,1
108,3.0,3
108,3.5,5
108,4.0,5
108,4.5,3
108,5.0,3
108,5.5,2
108,6.0,1
108,6.5,1
108,7.0,0
108,7.5,0
108,8.0,0
108,8.5,0
108,9.0,0
108,9.5,0
108,10.0,0
108,10.5,0
108,11.0,0
108,11.5,0
108,12.0,0
108,12.5,0
108,13.0,0
108,13.5,0
108,14.0,0
108,14.5,0
108,15.0,0
108,15.5,0
108,16.0,0
108,16.5,0
108,17.0,0
108,17.5,0
108,18.0,0
108,18.5,0
108,19.0,0
108,19.5,0
108,20.0,0
108,20.5,0
108,21.0,0
108,21.5,0
108,22.0,0
108,22.5,0
108,23.0,0
108,23.5,0
108,24.0,0
108,24.5,0
108,25.0,0
115,0.0,0
115,0.5,0
115,1.0,3
115,1.5,3
115,2.0,3
115,2.5,5
115,3.0,6
115,3.5,5
115,4.0,5
115,4.5,7
115,5.0,8
115,5.5,7
115,6.0,6
115,6.5,6
115,7.0,8
115,7.5,4
115,8.0,5
115,8.5,4
115,9.0,3
115,9.5,3
115,10.0,3
115,10.5,3
115,11.0,3
115,11.5,2
115,12.0,2
115,12.5,2
115,13.0,1
115,13.5,1
115,14.0,1
115,14.5,1
115,15.0,1
115,15.5,1
115,16.0,1
115,16.5,0
115,17.0,0
115,17.5,0
115,18.0,0
115,18.5,0
115,19.0,0
115,19.5,0
115,20.0,0
115,20.5,0
115,21.0,0
115,21.5,0
115,22.0,0
115,22.5,0
115,23.0,0
115,23.5,0
115,24.0,0
115,24.5,0
115,25.0,0
117,0.0,0
117,0.5,0
117,1.0,0
117,1.5,0
117,2.0,3
117,2.5,4
117,3.0,3
117,3.5,3
117,4.0,4
117,4.5,4
117,5.0,4
117,5.5,4
117,6.0,4
117,6.5,4
117,7.0,3
117,7.5,2
117,8.0,1
117,8.5,1
117,9.0,1
117,9.5,4
117,10.0,2
117,10.5,1
117,11.0,1
117,11.5,1
117,12.0,1
117,12.5,1
117,13.0,2
117,13.5,2
117,14.0,2
117,14.5,2
117,15.0,1
117,15.5,1
117,16.0,1
117,16.5,1
117,17.0,1
117,17.5,1
117,18.0,1
117,18.5,1
117,19.0,1
117,19.5,0
117,20.0,0
117,20.5,0
117,21.0,0
117,21.5,0
117,22.0,0
117,22.5,0
117,23.0,0
117,23.5,0
117,24.0,0
117,24.5,0
117,25.0,0
126,0.0,0
126,0.5,0
126,1.0,0
126,1.5,0
126,2.0,0
126,2.5,0
126,3.0,2
126,3.5,2
126,4.0,3
126,4.5,4
126,5.0,7
126,5.5,10
126,6.0,6
126,6.5,5
126,7.0,6
126,7.5,4
126,8.0,4
126,8.5,4
126,9.0,5
126,9.5,4
126,10.0,3
126,10.5,4
126,11.0,3
126,11.5,3
126,12.0,4
126,12.5,4
126,13.0,4
126,13.5,4
126,14.0,4
126,14.5,4
126,15.0,5
126,15.5,5
126,16.0,7
126,16.5,5
126,17.0,5
126,17.5,4
126,18.0,6
126,18.5,5
126,19.0,5
126,19.5,4
126,20.0,4
126,20.5,4
126,21.0,3
126,21.5,3
126,22.0,3
126,22.5,4
126,23.0,4
126,23.5,3
126,24.0,3
126,24.5,0
126,25.0,0
129,0.0,0
129,0.5,0
129,1.0,2
129,1.5,2
129,2.0,5
129,2.5,4
129,3.0,4
129,3.5,4
129,4.0,5
129,4.5,5
129,5.0,8
129,5.5,5
129,6.0,4
129,6.5,4
129,7.0,3
129,7.5,2
129,8.0,2
129,8.5,5
129,9.0,3
129,9.5,3
129,10.0,3
129,10.5,4
129,11.0,4
129,11.5,3
129,12.0,3
129,12.5,4
129,13.0,4
129,13.5,5
129,14.0,9
129,14.5,4
129,15.0,9
129,15.5,5
129,16.0,6
129,16.5,8
129,17.0,6
129,17.5,5
129,18.0,4
129,18.5,4
129,19.0,5
129,19.5,5
129,20.0,7
129,20.5,3
129,21.0,3
129,21.5,3
129,22.0,3
129,22.5,3
129,23.0,2
129,23.5,3
129,24.0,3
129,24.5,1
129,25.0,0
178,0.0,0
178,0.5,0
178,1.0,0
178,1.5,0
178,2.0,0
178,2.5,2
178,3.0,2
178,3.5,6
178,4.0,7
178,4.5,8
178,5.0,6
178,5.5,5
178,6.0,5
178,6.5,5
178,7.0,4
178,7.5,3
178,8.0,4
178,8.5,4
178,9.0,3
178,9.5,3
178,10.0,3
178,10.5,3
178,11.0,3
178,11.5,3
178,12.0,2
178,12.5,1
178,13.0,1
178,13.5,1
178,14.0,1
178,14.5,1
178,15.0,1
178,15.5,1
178,16.0,1
178,16.5,1
178,17.0,1
178,17.5,0
178,18.0,0
178,18.5,0
178,19.0,0
178,19.5,0
178,20.0,0
178,20.5,0
178,21.0,0
178,21.5,0
178,22.0,0
178,22.5,0
178,23.0,0
178,23.5,0
178,24.0,0
178,24.5,0
178,25.0,0
246,0.0,0
246,0.5,2
246,1.0,2
246,1.5,3
246,2.0,3
246,2.5,5
246,3.0,5
246,3.5,4
246,4.0,4
246,4.5,5
246,5.0,5
246,5.5,4
246,6.0,4
246,6.5,5
246,7.0,3
246,7.5,4
246,8.0,2
246,8.5,2
246,9.0,2
246,9.5,2
246,10.0,2
246,10.5,2
246,11.0,2
246,11.5,2
246,12.0,2
246,12.5,2
246,13.0,2
246,13.5,2
246,14.0,2
246,14.5,1
246,15.0,1
246,15.5,1
246,16.0,1
246,16.5,0
246,17.0,0
246,17.5,0
246,18.0,0
246,18.5,0
246,19.0,0
246,19.5,0
246,20.0,0
246,20.5,0
246,21.0,0
246,21.5,0
246,22.0,0
246,22.5,0
246,23.0,0
246,23.5,0
246,24.0,0
246,24.5,0
246,25.0,0
273,0.0,0
273,0.5,0
273,1.0,0
273,1.5,2
273,2.0,3
273,2.5,5
273,3.0,7
273,3.5,7
273,4.0,6
273,4.5,6
273,5.0,10
273,5.5,8
273,6.0,5
273,6.5,6
273,7.0,7
273,7.5,7
273,8.0,5
273,8.5,5
273,9.0,3
273,9.5,3
273,10.0,3
273,10.5,4
273,11.0,4
273,11.5,4
273,12.0,2
273,12.5,1
273,13.0,2
273,13.5,3
273,14.0,6
273,14.5,2
273,15.0,3
273,15.5,2
273,16.0,1
273,16.5,1
273,17.0,0
273,17.5,0
273,18.0,0
273,18.5,0
273,19.0,0
273,19.5,0
273,20.0,0
273,20.5,0
273,21.0,0
273,21.5,0
273,22.0,0
273,22.5,0
273,23.0,0
273,23.5,0
273,24.0,0
273,24.5,0
273,25.0,0
