label,critical_radius_um,peak_intersections,auc
84,3.0,5.0,23.0
101,3.0,3.0,11.0
102,7.0,11.0,117.0
103,4.0,14.0,110.0
105,4.0,9.0,57.0
107,6.0,6.0,46.0
108,4.0,6.0,19.0
115,5.0,8.0,60.0
117,2.0,4.0,32.0
120,4.0,5.0,32.0
123,2.0,4.0,22.0
124,7.0,6.0,61.0
126,5.0,6.0,25.0
129,14.0,10.0,74.0
131,5.0,7.0,47.0
135,15.0,10.0,142.0
137,5.0,9.0,73.0
139,4.0,4.0,40.0
144,7.0,7.0,51.0
152,4.0,8.0,58.0
160,5.0,6.0,60.0
163,10.0,13.0,150.0
178,4.0,7.0,44.0
181,2.0,3.0,18.0
185,3.0,5.0,34.0
213,4.0,4.0,8.0
234,12.0,6.0,46.0
235,4.0,7.0,24.0
246,3.0,5.0,42.0
273,5.0,10.0,67.0
