label,radius_um,intersections
44,0.0,0
44,1.0,0
44,2.0,2
44,3.0,5
44,4.0,3
44,5.0,4
44,6.0,4
44,7.0,3
44,8.0,3
44,9.0,3
44,10.0,4
44,11.0,3
44,12.0,4
44,13.0,3
44,14.0,4
44,15.0,1
44,16.0,1
44,17.0,1
44,18.0,1
44,19.0,1
44,20.0,0
44,21.0,0
44,22.0,0
44,23.0,0
44,24.0,0
44,25.0,0
140,0.0,0
140,1.0,3
140,2.0,3
140,3.0,4
140,4.0,4
140,5.0,4
140,6.0,2
140,7.0,1
140,8.0,1
140,9.0,2
140,10.0,2
140,11.0,2
140,12.0,2
140,13.0,4
140,14.0,4
140,15.0,2
140,16.0,2
140,17.0,2
140,18.0,3
140,19.0,3
140,20.0,2
140,21.0,3
140,22.0,4
140,23.0,1
140,24.0,1
140,25.0,0
143,0.0,0
143,1.0,2
143,2.0,2
143,3.0,2
143,4.0,2
143,5.0,2
143,6.0,2
143,7.0,2
143,8.0,1
143,9.0,1
143,10.0,1
143,11.0,1
143,12.0,1
143,13.0,1
143,14.0,1
143,15.0,1
143,16.0,0
143,17.0,0
143,18.0,0
143,19.0,0
143,20.0,0
143,21.0,0
143,22.0,0
143,23.0,0
143,24.0,0
143,25.0,0
146,0.0,0
146,1.0,0
146,2.0,2
146,3.0,8
146,4.0,5
146,5.0,4
146,6.0,5
146,7.0,4
146,8.0,2
146,9.0,4
146,10.0,1
146,11.0,2
146,12.0,4
146,13.0,0
146,14.0,0
146,15.0,0
146,16.0,0
146,17.0,0
146,18.0,0
146,19.0,0
146,20.0,0
146,21.0,0
146,22.0,0
146,23.0,0
146,24.0,0
146,25.0,0
159,0.0,0
159,1.0,0
159,2.0,4
159,3.0,4
159,4.0,3
159,5.0,3
159,6.0,4
159,7.0,6
159,8.0,3
159,9.0,2
159,10.0,2
159,11.0,2
159,12.0,3
159,13.0,1
159,14.0,2
159,15.0,4
159,16.0,4
159,17.0,2
159,18.0,1
159,19.0,1
159,20.0,1
159,21.0,3
159,22.0,2
159,23.0,0
159,24.0,0
159,25.0,0
162,0.0,0
162,1.0,2
162,2.0,3
162,3.0,5
162,4.0,6
162,5.0,6
162,6.0,7
162,7.0,7
162,8.0,10
162,9.0,9
162,10.0,9
162,11.0,8
162,12.0,8
162,13.0,7
162,14.0,5
162,15.0,5
162,16.0,4
162,17.0,4
162,18.0,4
162,19.0,5
162,20.0,6
162,21.0,8
162,22.0,7
162,23.0,3
162,24.0,0
162,25.0,0
170,0.0,0
170,1.0,2
170,2.0,3
170,3.0,2
170,4.0,5
170,5.0,5
170,6.0,8
170,7.0,5
170,8.0,8
170,9.0,8
170,10.0,8
170,11.0,6
170,12.0,3
170,13.0,2
170,14.0,3
170,15.0,4
170,16.0,2
170,17.0,1
170,18.0,1
170,19.0,1
170,20.0,1
170,21.0,1
170,22.0,0
170,23.0,0
170,24.0,0
170,25.0,0
173,0.0,0
173,1.0,0
173,2.0,2
173,3.0,4
173,4.0,4
173,5.0,7
173,6.0,13
173,7.0,10
173,8.0,6
173,9.0,7
173,10.0,8
173,11.0,8
173,12.0,8
173,13.0,13
173,14.0,10
173,15.0,4
173,16.0,3
173,17.0,1
173,18.0,1
173,19.0,1
173,20.0,0
173,21.0,0
173,22.0,0
173,23.0,0
173,24.0,0
173,25.0,0
177,0.0,0
177,1.0,2
177,2.0,4
177,3.0,6
177,4.0,4
177,5.0,2
177,6.0,2
177,7.0,0
177,8.0,0
177,9.0,0
177,10.0,0
177,11.0,0
177,12.0,0
177,13.0,0
177,14.0,0
177,15.0,0
177,16.0,0
177,17.0,0
177,18.0,0
177,19.0,0
177,20.0,0
177,21.0,0
177,22.0,0
177,23.0,0
177,24.0,0
177,25.0,0
179,0.0,0
179,1.0,2
179,2.0,3
179,3.0,3
179,4.0,5
179,5.0,6
179,6.0,5
179,7.0,6
179,8.0,6
179,9.0,6
179,10.0,6
179,11.0,9
179,12.0,7
179,13.0,6
179,14.0,5
179,15.0,2
179,16.0,3
179,17.0,2
179,18.0,1
179,19.0,1
179,20.0,1
179,21.0,1
179,22.0,2
179,23.0,2
179,24.0,2
179,25.0,0
180,0.0,0
180,1.0,0
180,2.0,0
180,3.0,1
180,4.0,5
180,5.0,8
180,6.0,5
180,7.0,8
180,8.0,11
180,9.0,12
180,10.0,9
180,11.0,9
180,12.0,9
180,13.0,10
180,14.0,6
180,15.0,6
180,16.0,4
180,17.0,5
180,18.0,6
180,19.0,5
180,20.0,3
180,21.0,3
180,22.0,3
180,23.0,2
180,24.0,2
180,25.0,0
186,0.0,0
186,1.0,0
186,2.0,2
186,3.0,3
186,4.0,1
186,5.0,3
186,6.0,1
186,7.0,1
186,8.0,1
186,9.0,3
186,10.0,2
186,11.0,2
