label,radius_um,intersections
235,0.0,0
235,0.5,2
235,1.0,1
235,1.5,1
235,2.0,0
235,2.5,0
235,3.0,0
235,3.5,0
235,4.0,0
235,4.5,0
235,5.0,0
235,5.5,0
235,6.0,0
235,6.5,0
235,7.0,0
235,7.5,0
235,8.0,0
235,8.5,0
235,9.0,0
235,9.5,0
235,10.0,0
235,10.5,0
235,11.0,0
235,11.5,0
235,12.0,0
235,12.5,0
235,13.0,0
235,13.5,0
235,14.0,0
235,14.5,0
235,15.0,0
235,15.5,0
235,16.0,0
235,16.5,0
235,17.0,0
235,17.5,0
235,18.0,0
235,18.5,0
235,19.0,0
235,19.5,0
235,20.0,0
235,20.5,0
235,21.0,0
235,21.5,0
235,22.0,0
235,22.5,0
235,23.0,0
235,23.5,0
235,24.0,0
235,24.5,0
235,25.0,0
244,0.0,0
244,0.5,0
244,1.0,0
244,1.5,0
244,2.0,2
244,2.5,2
244,3.0,4
244,3.5,6
244,4.0,5
244,4.5,9
244,5.0,7
244,5.5,10
244,6.0,7
244,6.5,7
244,7.0,4
244,7.5,5
244,8.0,6
244,8.5,6
244,9.0,4
244,9.5,3
244,10.0,3
244,10.5,2
244,11.0,4
244,11.5,2
244,12.0,2
244,12.5,2
244,13.0,2
244,13.5,2
244,14.0,2
244,14.5,2
244,15.0,2
244,15.5,1
244,16.0,1
244,16.5,1
244,17.0,1
244,17.5,1
244,18.0,1
244,18.5,1
244,19.0,1
244,19.5,1
244,20.0,1
244,20.5,0
244,21.0,0
244,21.5,0
244,22.0,0
244,22.5,0
244,23.0,0
244,23.5,0
244,24.0,0
244,24.5,0
244,25.0,0
251,0.0,0
251,0.5,2
251,1.0,2
251,1.5,3
251,2.0,3
251,2.5,2
251,3.0,1
251,3.5,2
251,4.0,2
251,4.5,2
251,5.0,2
251,5.5,2
251,6.0,2
251,6.5,2
251,7.0,2
251,7.5,2
251,8.0,1
251,8.5,1
251,9.0,0
251,9.5,0
251,10.0,0
251,10.5,0
251,11.0,0
251,11.5,0
251,12.0,0
251,12.5,0
251,13.0,0
251,13.5,0
251,14.0,0
251,14.5,0
251,15.0,0
251,15.5,0
251,16.0,0
251,16.5,0
251,17.0,0
251,17.5,0
251,18.0,0
251,18.5,0
251,19.0,0
251,19.5,0
251,20.0,0
251,20.5,0
251,21.0,0
251,21.5,0
251,22.0,0
251,22.5,0
251,23.0,0
251,23.5,0
251,24.0,0
251,24.5,0
251,25.0,0
256,0.0,0
256,0.5,0
256,1.0,0
256,1.5,0
256,2.0,0
256,2.5,1
256,3.0,1
256,3.5,2
256,4.0,8
256,4.5,6
256,5.0,10
256,5.5,5
256,6.0,5
256,6.5,5
256,7.0,4
256,7.5,3
256,8.0,3
256,8.5,3
256,9.0,3
256,9.5,2
256,10.0,1
256,10.5,1
256,11.0,2
256,11.5,2
256,12.0,2
256,12.5,1
256,13.0,6
256,13.5,1
256,14.0,1
256,14.5,1
256,15.0,1
256,15.5,1
256,16.0,0
256,16.5,0
256,17.0,0
256,17.5,0
256,18.0,0
256,18.5,0
256,19.0,0
256,19.5,0
256,20.0,0
256,20.5,0
256,21.0,0
256,21.5,0
256,22.0,0
256,22.5,0
256,23.0,0
256,23.5,0
256,24.0,0
256,24.5,0
256,25.0,0
261,0.0,0
261,0.5,0
261,1.0,1
261,1.5,1
261,2.0,2
261,2.5,2
261,3.0,2
261,3.5,2
261,4.0,4
261,4.5,4
261,5.0,4
261,5.5,5
261,6.0,10
261,6.5,10
261,7.0,4
261,7.5,5
261,8.0,6
261,8.5,8
261,9.0,5
261,9.5,4
261,10.0,4
261,10.5,6
261,11.0,2
261,11.5,2
261,12.0,1
261,12.5,1
261,13.0,0
261,13.5,0
261,14.0,0
261,14.5,0
261,15.0,0
261,15.5,0
261,16.0,0
261,16.5,0
261,17.0,0
261,17.5,0
261,18.0,0
261,18.5,0
261,19.0,0
261,19.5,0
261,20.0,0
261,20.5,0
261,21.0,0
261,21.5,0
261,22.0,0
261,22.5,0
261,23.0,0
261,23.5,0
261,24.0,0
261,24.5,0
261,25.0,0
262,0.0,0
262,0.5,2
262,1.0,2
262,1.5,2
262,2.0,3
262,2.5,3
262,3.0,3
262,3.5,3
262,4.0,3
262,4.5,3
262,5.0,3
262,5.5,3
262,6.0,6
262,6.5,3
262,7.0,3
262,7.5,4
262,8.0,4
262,8.5,3
262,9.0,2
262,9.5,2
262,10.0,2
262,10.5,2
262,11.0,2
262,11.5,3
262,12.0,3
262,12.5,1
262,13.0,1
262,13.5,1
262,14.0,1
262,14.5,1
262,15.0,0
262,15.5,0
262,16.0,0
262,16.5,0
262,17.0,0
262,17.5,0
262,18.0,0
262,18.5,0
262,19.0,0
262,19.5,0
262,20.0,0
262,20.5,0
262,21.0,0
262,21.5,0
262,22.0,0
262,22.5,0
262,23.0,0
262,23.5,0
262,24.0,0
262,24.5,0
262,25.0,0
263,0.0,0
263,0.5,0
263,1.0,0
263,1.5,0
263,2.0,0
263,2.5,2
263,3.0,5
263,3.5,5
263,4.0,4
263,4.5,4
263,5.0,7
263,5.5,7
263,6.0,7
263,6.5,7
263,7.0,5
263,7.5,4
263,8.0,3
263,8.5,3
263,9.0,2
263,9.5,1
263,10.0,1
263,10.5,1
263,11.0,1
263,11.5,0
263,12.0,0
263,12.5,0
263,13.0,0
263,13.5,0
263,14.0,0
263,14.5,0
263,15.0,0
263,15.5,0
263,16.0,0
263,16.5,0
263,17.0,0
263,17.5,0
263,18.0,0
263,18.5,0
263,19.0,0
263,19.5,0
263,20.0,0
263,20.5,0
263,21.0,0
263,21.5,0
263,22.0,0
263,22.5,0
263,23.0,0
263,23.5,0
263,24.0,0
263,24.5,0
263,25.0,0
266,0.0,0
266,0.5,0
266,1.0,0
266,1.5,0
266,2.0,0
266,2.5,0
266,3.0,4
266,3.5,5
266,4.0,3
266,4.5,3
266,5.0,7
266,5.5,7
266,6.0,7
266,6.5,7
266,7.0,6
266,7.5,6
266,8.0,6
266,8.5,6
266,9.0,4
266,9.5,6
266,10.0,9
266,10.5,8
266,11.0,8
266,11.5,10
266,12.0,9
266,12.5,11
266,13.0,8
266,13.5,8
266,14.0,6
266,14.5,7
266,15.0,8
266,15.5,8
266,16.0,7
266,16.5,7
266,17.0,7
266,17.5,9
266,18.0,9
266,18.5,9
266,19.0,10
266,19.5,8
266,20.0,12
266,20.5,9
266,21.0,9
266,21.5,9
266,22.0,10
266,22.5,10
266,23.0,7
266,23.5,8
266,24.0,6
266,24.5,2
266,25.0,0
268,0.0,0
268,0.5,0
268,1.0,2
268,1.5,2
268,2.0,3
268,2.5,3
268,3.0,3
268,3.5,3
268,4.0,3
268,4.5,3
268,5.0,2
268,5.5,4
268,6.0,8
268,6.5,6
268,7.0,5
268,7.5,5
268,8.0,5
268,8.5,5
268,9.0,4
268,9.5,4
268,10.0,5
268,10.5,4
268,11.0,1
268,11.5,0
268,12.0,0
268,12.5,0
268,13.0,0
268,13.5,0
268,14.0,0
268,14.5,0
268,15.0,0
268,15.5,0
268,16.0,0
268,16.5,0
268,17.0,0
268,17.5,0
268,18.0,0
268,18.5,0
268,19.0,0
268,19.5,0
268,20.0,0
268,20.5,0
268,21.0,0
268,21.5,0
268,22.0,0
268,22.5,0
268,23.0,0
268,23.5,0
268,24.0,0
268,24.5,0
268,25.0,0
269,0.0,0
269,0.5,0
269,1.0,2
269,1.5,2
269,2.0,6
269,2.5,4
269,3.0,3
269,3.5,2
269,4.0,2
