label,critical_radius_um,peak_intersections,auc
8,5.0,1.0,5.0
12,10.0,5.0,65.0
35,30.0,9.0,135.0
47,10.0,3.0,20.0
55,10.0,6.0,70.0
64,5.0,1.0,5.0
67,15.0,6.0,125.0
70,5.0,1.0,5.0
85,5.0,2.0,25.0
107,10.0,6.0,95.0
113,20.0,3.0,40.0
117,10.0,3.0,35.0
126,5.0,1.0,5.0
129,15.0,3.0,55.0
132,20.0,9.0,140.0
142,15.0,2.0,35.0
149,5.0,2.0,25.0
161,5.0,2.0,10.0
164,10.0,2.0,15.0
176,5.0,7.0,60.0
179,10.0,6.0,105.0
180,15.0,7.0,85.0
181,5.0,1.0,5.0
185,15.0,5.0,105.0
195,5.0,4.0,85.0
197,5.0,2.0,10.0
207,5.0,2.0,20.0
