label,radius_um,intersections
13,0.0,0
13,5.0,3
13,10.0,5
13,15.0,4
13,20.0,6
13,25.0,5
13,30.0,6
13,35.0,3
13,40.0,0
16,0.0,0
16,5.0,3
16,10.0,2
16,15.0,0
16,20.0,0
16,25.0,0
16,30.0,0
16,35.0,0
16,40.0,0
19,0.0,0
19,5.0,2
19,10.0,1
19,15.0,0
19,20.0,0
19,25.0,0
19,30.0,0
19,35.0,0
19,40.0,0
21,0.0,0
21,5.0,1
21,10.0,0
21,15.0,0
21,20.0,0
21,25.0,0
21,30.0,0
21,35.0,0
21,40.0,0
22,0.0,0
22,5.0,3
22,10.0,1
22,15.0,0
22,20.0,0
22,25.0,0
22,30.0,0
22,35.0,0
22,40.0,0
27,0.0,0
27,5.0,2
27,10.0,6
27,15.0,1
27,20.0,0
27,25.0,0
27,30.0,0
27,35.0,0
27,40.0,0
31,0.0,0
31,5.0,1
31,10.0,0
31,15.0,0
31,20.0,0
31,25.0,0
31,30.0,0
31,35.0,0
31,40.0,0
32,0.0,0
32,5.0,1
32,10.0,1
32,15.0,0
32,20.0,0
32,25.0,0
32,30.0,0
32,35.0,0
32,40.0,0
35,0.0,0
35,5.0,4
35,10.0,0
35,15.0,0
35,20.0,0
35,25.0,0
35,30.0,0
35,35.0,0
35,40.0,0
38,0.0,0
38,5.0,3
38,10.0,6
38,15.0,6
38,20.0,5
38,25.0,10
38,30.0,10
38,35.0,10
38,40.0,0
41,0.0,0
41,5.0,3
41,10.0,0
41,15.0,0
41,20.0,0
41,25.0,0
41,30.0,0
41,35.0,0
41,40.0,0
44,0.0,0
44,5.0,2
44,10.0,1
44,15.0,0
44,20.0,0
44,25.0,0
44,30.0,0
44,35.0,0
44,40.0,0
47,0.0,0
47,5.0,0
47,10.0,0
47,15.0,0
47,20.0,0
47,25.0,0
47,30.0,0
47,35.0,0
47,40.0,0
52,0.0,0
52,5.0,3
52,10.0,1
52,15.0,3
52,20.0,1
52,25.0,2
52,30.0,1
52,35.0,1
52,40.0,0
62,0.0,0
62,5.0,4
62,10.0,0
62,15.0,0
62,20.0,0
62,25.0,0
62,30.0,0
62,35.0,0
62,40.0,0
64,0.0,0
64,5.0,2
64,10.0,0
64,15.0,0
64,20.0,0
64,25.0,0
64,30.0,0
64,35.0,0
64,40.0,0
65,0.0,0
65,5.0,1
65,10.0,1
65,15.0,0
65,20.0,0
65,25.0,0
65,30.0,0
65,35.0,0
65,40.0,0
66,0.0,0
66,5.0,1
66,10.0,0
66,15.0,0
66,20.0,0
66,25.0,0
66,30.0,0
66,35.0,0
66,40.0,0
68,0.0,0
68,5.0,2
68,10.0,0
68,15.0,0
68,20.0,0
68,25.0,0
68,30.0,0
68,35.0,0
68,40.0,0
74,0.0,0
74,5.0,5
74,10.0,3
74,15.0,3
74,20.0,1
74,25.0,2
74,30.0,1
74,35.0,6
74,40.0,0
77,0.0,0
77,5.0,3
77,10.0,2
77,15.0,0
77,20.0,0
77,25.0,0
77,30.0,0
77,35.0,0
77,40.0,0
79,0.0,0
79,5.0,5
79,10.0,0
79,15.0,0
79,20.0,0
79,25.0,0
79,30.0,0
79,35.0,0
79,40.0,0
101,0.0,0
101,5.0,3
101,10.0,0
101,15.0,0
101,20.0,0
101,25.0,0
101,30.0,0
101,35.0,0
101,40.0,0
105,0.0,0
105,5.0,3
105,10.0,0
105,15.0,0
105,20.0,0
105,25.0,0
105,30.0,0
105,35.0,0
105,40.0,0
114,0.0,0
114,5.0,2
114,10.0,2
114,15.0,0
114,20.0,0
114,25.0,0
114,30.0,0
114,35.0,0
114,40.0,0
122,0.0,0
122,5.0,8
122,10.0,2
122,15.0,0
122,20.0,0
122,25.0,0
122,30.0,0
122,35.0,0
122,40.0,0
128,0.0,0
128,5.0,5
128,10.0,2
128,15.0,0
128,20.0,0
128,25.0,0
128,30.0,0
128,35.0,0
128,40.0,0
134,0.0,0
134,5.0,6
134,10.0,8
134,15.0,5
134,20.0,12
134,25.0,10
134,30.0,11
134,35.0,16
134,40.0,0
137,0.0,0
137,5.0,3
137,10.0,0
137,15.0,0
137,20.0,0
137,25.0,0
137,30.0,0
137,35.0,0
137,40.0,0
141,0.0,0
141,5.0,2
141,10.0,0
141,15.0,0
141,20.0,0
141,25.0,0
141,30.0,0
141,35.0,0
141,40.0,0
142,0.0,0
142,5.0,1
142,10.0,0
142,15.0,0
142,20.0,0
142,25.0,0
142,30.0,0
142,35.0,0
142,40.0,0
145,0.0,0
145,5.0,2
145,10.0,2
145,15.0,0
145,20.0,0
145,25.0,0
145,30.0,0
145,35.0,0
145,40.0,0
147,0.0,0
147,5.0,0
147,10.0,0
147,15.0,0
147,20.0,0
147,25.0,0
147,30.0,0
147,35.0,0
147,40.0,0
155,0.0,0
155,5.0,2
155,10.0,1
155,15.0,0
155,20.0,0
155,25.0,0
155,30.0,0
155,35.0,0
155,40.0,0
157,0.0,0
157,5.0,2
157,10.0,2
157,15.0,1
157,20.0,0
157,25.0,0
157,30.0,0
157,35.0,0
157,40.0,0
162,0.0,0
162,5.0,4
162,10.0,3
162,15.0,1
162,20.0,0
162,25.0,0
162,30.0,0
162,35.0,0
162,40.0,0
165,0.0,0
165,5.0,4
165,10.0,2
165,15.0,1
165,20.0,1
165,25.0,0
165,30.0,0
165,35.0,0
165,40.0,0
177,0.0,0
177,5.0,0
177,10.0,0
177,15.0,0
177,20.0,0
177,25.0,0
177,30.0,0
177,35.0,0
177,40.0,0
178,0.0,0
178,5.0,3
178,10.0,1
178,15.0,0
178,20.0,0
178,25.0,0
178,30.0,0
178,35.0,0
178,40.0,0
181,0.0,0
181,5.0,2
181,10.0,2
181,15.0,0
181,20.0,0
181,25.0,0
181,30.0,0
181,35.0,0
181,40.0,0
183,0.0,0
183,5.0,3
183,10.0,1
183,15.0,0
183,20.0,0
183,25.0,0
183,30.0,0
183,35.0,0
183,40.0,0
209,0.0,0
209,5.0,2
209,10.0,0
209,15.0,0
209,20.0,0
209,25.0,0
209,30.0,0
209,35.0,0
209,40.0,0
220,0.0,0
220,5.0,3
220,10.0,1
220,15.0,0
220,20.0,0
220,25.0,0
220,30.0,0
220,35.0,0
220,40.0,0
227,0.0,0
227,5.0,4
227,10.0,2
227,15.0,2
227,20.0,2
227,25.0,1
227,30.0,1
227,35.0,1
227,40.0,0
239,0.0,0
239,5.0,4
239,10.0,0
239,15.0,0
239,20.0,0
239,25.0,0
239,30.0,0
239,35.0,0
239,40.0,0
261,0.0,0
261,5.0,1
261,10.0,0
261,15.0,0
261,20.0,0
261,25.0,0
261,30.0,0
261,35.0,0
261,40.0,0
274,0.0,0
274,5.0,2
274,10.0,0
274,15.0,0
274,20.0,0
274,25.0,0
274,30.0,0
274,35.0,0
274,40.0,0
293,0.0,0
293,5.0,1
293,10.0,0
293,15.0,0
293,20.0,0
293,25.0,0
293,30.0,0
293,35.0,0
293,40.0,0
297,0.0,0
297,5.0,5
297,10.0,2
297,15.0,8
297,20.0,13
297,25.0,6
297,30.0,7
297,35.0,7
297,40.0,0
