label,radius_um,intersections
13,0.0,0
13,0.5,0
13,1.0,0
13,1.5,3
13,2.0,3
13,2.5,3
13,3.0,5
13,3.5,4
13,4.0,6
13,4.5,8
13,5.0,9
13,5.5,8
13,6.0,9
13,6.5,8
13,7.0,4
13,7.5,4
13,8.0,3
13,8.5,3
13,9.0,2
13,9.5,2
13,10.0,5
13,10.5,4
13,11.0,4
13,11.5,5
13,12.0,6
13,12.5,4
13,13.0,4
13,13.5,4
13,14.0,4
13,14.5,4
13,15.0,4
13,15.5,5
13,16.0,2
13,16.5,2
13,17.0,2
13,17.5,2
13,18.0,3
13,18.5,3
13,19.0,3
13,19.5,3
13,20.0,4
13,20.5,2
13,21.0,2
13,21.5,2
13,22.0,2
13,22.5,3
13,23.0,6
13,23.5,2
13,24.0,2
13,24.5,0
13,25.0,0
14,0.0,0
14,0.5,0
14,1.0,0
14,1.5,2
14,2.0,6
14,2.5,3
14,3.0,3
14,3.5,4
14,4.0,3
14,4.5,6
14,5.0,4
14,5.5,6
14,6.0,5
14,6.5,3
14,7.0,2
14,7.5,5
14,8.0,2
14,8.5,2
14,9.0,2
14,9.5,2
14,10.0,2
14,10.5,2
14,11.0,2
14,11.5,4
14,12.0,3
14,12.5,3
14,13.0,3
14,13.5,3
14,14.0,3
14,14.5,3
14,15.0,5
14,15.5,7
14,16.0,5
14,16.5,5
14,17.0,4
14,17.5,4
14,18.0,3
14,18.5,3
14,19.0,3
14,19.5,3
14,20.0,2
14,20.5,3
14,21.0,3
14,21.5,3
14,22.0,3
14,22.5,3
14,23.0,3
14,23.5,2
14,24.0,2
14,24.5,1
14,25.0,0
15,0.0,0
15,0.5,0
15,1.0,2
15,1.5,2
15,2.0,2
15,2.5,2
15,3.0,3
15,3.5,3
15,4.0,3
15,4.5,3
15,5.0,2
15,5.5,2
15,6.0,2
15,6.5,0
15,7.0,0
15,7.5,0
15,8.0,0
15,8.5,0
15,9.0,0
15,9.5,0
15,10.0,0
15,10.5,0
15,11.0,0
15,11.5,0
15,12.0,0
15,12.5,0
15,13.0,0
15,13.5,0
15,14.0,0
15,14.5,0
15,15.0,0
15,15.5,0
15,16.0,0
15,16.5,0
15,17.0,0
15,17.5,0
15,18.0,0
15,18.5,0
15,19.0,0
15,19.5,0
15,20.0,0
15,20.5,0
15,21.0,0
15,21.5,0
15,22.0,0
15,22.5,0
15,23.0,0
15,23.5,0
15,24.0,0
15,24.5,0
15,25.0,0
16,0.0,0
16,0.5,0
16,1.0,0
16,1.5,0
16,2.0,0
16,2.5,2
16,3.0,2
16,3.5,8
16,4.0,7
16,4.5,7
16,5.0,7
16,5.5,7
16,6.0,4
16,6.5,5
16,7.0,5
16,7.5,3
16,8.0,3
16,8.5,6
16,9.0,6
16,9.5,6
16,10.0,4
16,10.5,4
16,11.0,4
16,11.5,3
16,12.0,3
16,12.5,2
16,13.0,2
16,13.5,3
16,14.0,3
16,14.5,3
16,15.0,3
16,15.5,4
16,16.0,4
16,16.5,5
16,17.0,2
16,17.5,2
16,18.0,2
16,18.5,4
16,19.0,5
16,19.5,3
16,20.0,2
16,20.5,1
16,21.0,1
16,21.5,1
16,22.0,1
16,22.5,0
16,23.0,0
16,23.5,0
16,24.0,0
16,24.5,0
16,25.0,0
18,0.0,0
18,0.5,2
18,1.0,3
18,1.5,4
18,2.0,4
18,2.5,4
18,3.0,4
18,3.5,4
18,4.0,4
18,4.5,5
18,5.0,4
18,5.5,5
18,6.0,3
18,6.5,2
18,7.0,2
18,7.5,1
18,8.0,1
18,8.5,1
18,9.0,1
18,9.5,1
18,10.0,1
18,10.5,1
18,11.0,0
18,11.5,0
18,12.0,0
18,12.5,0
18,13.0,0
18,13.5,0
18,14.0,0
18,14.5,0
18,15.0,0
18,15.5,0
18,16.0,0
18,16.5,0
18,17.0,0
18,17.5,0
