label,critical_radius_um,peak_intersections,auc
13,20.0,6.0,160.0
16,5.0,3.0,25.0
19,5.0,2.0,15.0
21,5.0,1.0,5.0
22,5.0,3.0,20.0
27,10.0,6.0,45.0
31,5.0,1.0,5.0
32,5.0,1.0,10.0
35,5.0,4.0,20.0
38,25.0,10.0,250.0
41,5.0,3.0,15.0
44,5.0,2.0,15.0
47,0.0,0.0,0.0
52,5.0,3.0,60.0
62,5.0,4.0,20.0
64,5.0,2.0,10.0
65,5.0,1.0,10.0
66,5.0,1.0,5.0
68,5.0,2.0,10.0
74,35.0,6.0,105.0
77,5.0,3.0,25.0
79,5.0,5.0,25.0
101,5.0,3.0,15.0
105,5.0,3.0,15.0
114,5.0,2.0,20.0
122,5.0,8.0,50.0
128,5.0,5.0,35.0
134,35.0,16.0,340.0
137,5.0,3.0,15.0
141,5.0,2.0,10.0
142,5.0,1.0,5.0
145,5.0,2.0,20.0
147,0.0,0.0,0.0
155,5.0,2.0,15.0
157,5.0,2.0,25.0
162,5.0,4.0,40.0
165,5.0,4.0,40.0
177,0.0,0.0,0.0
178,5.0,3.0,20.0
181,5.0,2.0,20.0
183,5.0,3.0,20.0
209,5.0,2.0,10.0
220,5.0,3.0,20.0
227,5.0,4.0,65.0
239,5.0,4.0,20.0
261,5.0,1.0,5.0
274,5.0,2.0,10.0
293,5.0,1.0,5.0
297,20.0,13.0,240.0
