label,skeleton_length_um,skeleton_pixels,nuclear_area_um2,centroid_y_um,centroid_x_um,territory_area_um2,gfap_threshold,n_branches,total_branch_length_um,n_endpoints,n_junctions,mean_branch_length_um,tortuosity_mean,tortuosity_max,tortuosity_std,ramification_index,termination_index,branch_length_median_um,branch_length_p25_um,branch_length_p75_um,branch_length_std_um,branch_length_cv,n_connected_components
11,74.2448,196,16.070817280000004,50.289082142857154,325.48728214285717,3219.9030336000005,85.166015625,16,85.07118272245808,8,8,5.31694892015363,1.1041260465645197,1.5963484492337334,0.13963913103735745,2.0,1.0,4.291208194853857,3.4389081948538576,5.526250608918304,3.551610980013984,0.6679791424273006,1
12,125.76160000000002,332,32.14163456000001,54.898942857142856,299.5107339285714,567.93120352,81.2578125,30,145.03388349637754,12,16,4.834462783212585,1.1011118236342996,1.649456125213497,0.11378643648227522,1.875,0.75,4.069312292280786,2.452682170497125,5.487024584561572,3.360814255328643,0.6951784316137238,1
13,39.016400000000004,103,50.36479344,58.77011851851852,304.5217447293448,192.99329680000002,92.423828125,11,44.756859799650215,7,5,4.0688054363318376,1.0945570406435863,1.379456787115137,0.1051337411150537,2.2,1.4,3.3442081948538576,2.3647122922807853,4.605016389707714,3.141973521469948,0.7722103134777908,1
16,19.6976,52,32.85908176000001,67.91933624454148,320.2596855895197,105.89520672000002,113.61328125,3,23.08449833824628,3,1,7.694832779415427,1.0802361417912387,1.0823117459700342,0.0018581551907305698,3.0,3.0,3.8799122922807863,3.501112292280786,9.981093022982748,7.273607358982091,0.9452586648068346,1
19,17.803600000000003,47,45.629641920000005,79.15967044025157,328.1611106918239,83.51085408,149.912109375,1,19.935265558830842,2,0,19.935265558830842,1.1397732362016635,1.1397732362016635,,1.0,,19.935265558830842,19.935265558830842,19.935265558830842,,,1
21,10.9852,29,31.567676800000008,84.09704363636364,332.2902472727273,1848.0004977600001,114.052734375,1,11.861632779415428,2,0,11.861632779415428,1.107106781186547,1.107106781186547,,1.0,,11.861632779415428,11.861632779415428,11.861632779415428,,,1
22,14.015600000000001,37,34.29397616000001,88.01473472803349,326.0231748953975,68.15748400000001,186.826171875,1,17.402498338246282,2,0,17.402498338246282,1.0733439086557046,1.0733439086557046,,1.0,,17.402498338246282,17.402498338246282,17.402498338246282,,,1
23,11.364,30,26.258567520000003,97.90841530054647,318.7446754098361,67.29654736,89.564453125,1,12.397336876842354,2,0,12.397336876842354,1.1278786777413026,1.1278786777413026,,1.0,,12.397336876842354,12.397336876842354,12.397336876842354,,,1
25,372.3604,983,34.867933920000006,103.05074732510289,246.38056131687244,17894.855041280003,52.294921875,68,429.928434099425,24,37,6.322476972050367,1.079571126615164,1.450425676303728,0.07936415602504907,1.837837837837838,0.6486486486486487,5.316660243567322,2.9788684384211783,8.681058803772162,4.503520086165225,0.7123031220317346,1
27,16.6672,44,14.779412320000002,104.73636116504855,318.6700970873787,90.54183664000001,110.966796875,5,20.054098338246284,4,2,4.0108196676492565,1.0587335442138555,1.0820396094610014,0.03464143141110921,2.5,2.0,4.036816389707714,3.4361204871346427,5.800832779415429,2.368657762075956,0.5905670058370457,1
