label,critical_radius_um,peak_intersections,auc
43,15.0,19.0,185.0
51,25.0,7.0,155.0
52,5.0,6.0,85.0
66,5.0,2.0,35.0
76,15.0,9.0,165.0
83,25.0,17.0,375.0
84,10.0,7.0,125.0
88,10.0,7.0,90.0
91,15.0,6.0,95.0
93,20.0,6.0,100.0
97,15.0,2.0,20.0
98,10.0,7.0,70.0
99,10.0,3.0,30.0
101,5.0,5.0,60.0
102,10.0,3.0,40.0
103,10.0,5.0,45.0
109,10.0,5.0,65.0
115,25.0,16.0,380.0
130,15.0,14.0,290.0
132,15.0,12.0,185.0
144,15.0,6.0,80.0
146,5.0,1.0,10.0
147,10.0,4.0,55.0
148,10.0,10.0,225.0
149,30.0,7.0,100.0
151,25.0,19.0,475.0
162,10.0,8.0,150.0
168,10.0,10.0,205.0
171,10.0,7.0,75.0
180,10.0,9.0,180.0
