label,radius_um,intersections
3,0.0,0
3,5.0,2
3,10.0,3
3,15.0,3
3,20.0,1
3,25.0,1
3,30.0,0
3,35.0,0
3,40.0,0
19,0.0,0
19,5.0,2
19,10.0,4
19,15.0,1
19,20.0,0
19,25.0,0
19,30.0,0
19,35.0,0
19,40.0,0
20,0.0,0
20,5.0,1
20,10.0,3
20,15.0,1
20,20.0,0
20,25.0,0
20,30.0,0
20,35.0,0
20,40.0,0
36,0.0,0
36,5.0,8
36,10.0,7
36,15.0,6
36,20.0,4
36,25.0,0
36,30.0,0
36,35.0,0
36,40.0,0
37,0.0,0
37,5.0,6
37,10.0,6
37,15.0,8
37,20.0,8
37,25.0,7
37,30.0,2
37,35.0,2
37,40.0,0
40,0.0,0
40,5.0,3
40,10.0,6
40,15.0,7
40,20.0,2
40,25.0,0
40,30.0,0
40,35.0,0
40,40.0,0
57,0.0,0
57,5.0,5
57,10.0,10
57,15.0,14
57,20.0,16
57,25.0,11
57,30.0,7
57,35.0,7
57,40.0,0
80,0.0,0
80,5.0,8
80,10.0,14
80,15.0,10
80,20.0,9
80,25.0,12
80,30.0,12
80,35.0,9
80,40.0,0
86,0.0,0
86,5.0,4
86,10.0,5
86,15.0,1
86,20.0,2
86,25.0,5
86,30.0,4
86,35.0,4
86,40.0,0
88,0.0,0
88,5.0,5
88,10.0,5
88,15.0,6
88,20.0,1
88,25.0,0
88,30.0,0
88,35.0,0
88,40.0,0
89,0.0,0
89,5.0,6
89,10.0,15
89,15.0,10
89,20.0,5
89,25.0,5
89,30.0,3
89,35.0,0
89,40.0,0
93,0.0,0
93,5.0,4
93,10.0,7
93,15.0,1
93,20.0,0
93,25.0,0
93,30.0,0
93,35.0,0
93,40.0,0
100,0.0,0
100,5.0,7
100,10.0,12
100,15.0,6
100,20.0,1
100,25.0,0
100,30.0,0
100,35.0,0
100,40.0,0
101,0.0,0
101,5.0,6
101,10.0,12
101,15.0,8
101,20.0,2
101,25.0,0
101,30.0,0
101,35.0,0
101,40.0,0
111,0.0,0
111,5.0,2
111,10.0,6
111,15.0,6
111,20.0,3
111,25.0,1
111,30.0,0
111,35.0,0
111,40.0,0
120,0.0,0
120,5.0,7
120,10.0,5
120,15.0,5
120,20.0,4
120,25.0,0
120,30.0,0
120,35.0,0
120,40.0,0
123,0.0,0
123,5.0,3
123,10.0,5
123,15.0,3
123,20.0,6
123,25.0,11
123,30.0,7
123,35.0,8
123,40.0,0
136,0.0,0
136,5.0,7
136,10.0,2
136,15.0,0
136,20.0,0
136,25.0,0
136,30.0,0
136,35.0,0
136,40.0,0
138,0.0,0
138,5.0,8
138,10.0,5
138,15.0,3
138,20.0,0
138,25.0,0
138,30.0,0
138,35.0,0
138,40.0,0
156,0.0,0
156,5.0,4
156,10.0,7
156,15.0,7
156,20.0,16
156,25.0,6
156,30.0,7
156,35.0,2
156,40.0,0
202,0.0,0
202,5.0,4
202,10.0,5
202,15.0,4
202,20.0,2
202,25.0,0
202,30.0,0
202,35.0,0
202,40.0,0
209,0.0,0
209,5.0,6
209,10.0,11
209,15.0,9
209,20.0,5
209,25.0,2
209,30.0,0
209,35.0,0
209,40.0,0
227,0.0,0
227,5.0,7
227,10.0,7
227,15.0,9
227,20.0,6
227,25.0,9
227,30.0,11
227,35.0,7
227,40.0,0
229,0.0,0
229,5.0,4
229,10.0,3
229,15.0,4
229,20.0,5
229,25.0,6
229,30.0,7
229,35.0,5
229,40.0,0
231,0.0,0
231,5.0,4
231,10.0,9
231,15.0,4
231,20.0,1
231,25.0,0
231,30.0,0
231,35.0,0
231,40.0,0
233,0.0,0
233,5.0,6
233,10.0,10
233,15.0,5
233,20.0,6
233,25.0,10
233,30.0,6
233,35.0,3
233,40.0,0
236,0.0,0
236,5.0,4
236,10.0,5
236,15.0,7
236,20.0,6
236,25.0,6
236,30.0,0
236,35.0,0
236,40.0,0
243,0.0,0
243,5.0,5
243,10.0,6
243,15.0,13
243,20.0,7
243,25.0,4
243,30.0,0
243,35.0,0
243,40.0,0
247,0.0,0
247,5.0,5
247,10.0,3
247,15.0,1
247,20.0,2
247,25.0,2
247,30.0,2
247,35.0,2
247,40.0,0
248,0.0,0
248,5.0,6
248,10.0,8
248,15.0,6
248,20.0,5
248,25.0,5
248,30.0,4
248,35.0,4
248,40.0,0
249,0.0,0
249,5.0,5
249,10.0,4
249,15.0,4
249,20.0,2
249,25.0,2
249,30.0,3
249,35.0,3
249,40.0,0
252,0.0,0
252,5.0,4
252,10.0,2
252,15.0,3
252,20.0,2
252,25.0,1
252,30.0,0
252,35.0,0
252,40.0,0
257,0.0,0
257,5.0,4
257,10.0,3
257,15.0,0
257,20.0,0
257,25.0,0
257,30.0,0
257,35.0,0
257,40.0,0
