label,radius_um,intersections
20,0.0,0
20,0.5,0
20,1.0,0
20,1.5,2
20,2.0,2
20,2.5,3
20,3.0,3
20,3.5,3
20,4.0,3
20,4.5,4
20,5.0,4
20,5.5,4
20,6.0,5
20,6.5,8
20,7.0,9
20,7.5,7
20,8.0,7
20,8.5,8
20,9.0,7
20,9.5,6
20,10.0,7
20,10.5,8
20,11.0,8
20,11.5,9
20,12.0,11
20,12.5,9
20,13.0,11
20,13.5,6
20,14.0,6
20,14.5,5
20,15.0,4
20,15.5,4
20,16.0,4
20,16.5,4
20,17.0,4
20,17.5,3
20,18.0,3
20,18.5,3
20,19.0,4
20,19.5,3
20,20.0,3
20,20.5,3
20,21.0,5
20,21.5,4
20,22.0,3
20,22.5,7
20,23.0,5
20,23.5,5
20,24.0,5
20,24.5,4
20,25.0,0
21,0.0,0
21,0.5,0
21,1.0,0
21,1.5,0
21,2.0,0
21,2.5,2
21,3.0,2
21,3.5,2
21,4.0,1
21,4.5,1
21,5.0,1
21,5.5,1
21,6.0,2
21,6.5,2
21,7.0,2
21,7.5,2
21,8.0,4
21,8.5,2
21,9.0,2
21,9.5,2
21,10.0,2
21,10.5,2
21,11.0,2
21,11.5,2
21,12.0,2
21,12.5,1
21,13.0,1
21,13.5,0
21,14.0,1
21,14.5,0
21,15.0,0
21,15.5,0
21,16.0,0
21,16.5,0
21,17.0,0
21,17.5,0
21,18.0,0
21,18.5,0
21,19.0,0
21,19.5,0
21,20.0,0
21,20.5,0
21,21.0,0
21,21.5,0
21,22.0,0
21,22.5,0
21,23.0,0
21,23.5,0
21,24.0,0
21,24.5,0
21,25.0,0
29,0.0,0
29,0.5,2
29,1.0,2
29,1.5,2
29,2.0,2
29,2.5,3
29,3.0,3
29,3.5,7
29,4.0,14
29,4.5,8
29,5.0,9
29,5.5,8
29,6.0,8
29,6.5,8
29,7.0,8
29,7.5,12
29,8.0,15
29,8.5,11
29,9.0,10
29,9.5,9
29,10.0,9
29,10.5,9
29,11.0,10
29,11.5,11
29,12.0,7
29,12.5,5
29,13.0,3
29,13.5,4
29,14.0,4
29,14.5,2
29,15.0,3
29,15.5,3
29,16.0,3
29,16.5,3
29,17.0,2
29,17.5,3
29,18.0,3
29,18.5,0
29,19.0,0
29,19.5,0
29,20.0,0
29,20.5,0
29,21.0,0
29,21.5,0
29,22.0,0
29,22.5,0
29,23.0,0
29,23.5,0
29,24.0,0
29,24.5,0
29,25.0,0
34,0.0,0
34,0.5,0
34,1.0,0
34,1.5,0
34,2.0,0
34,2.5,1
34,3.0,1
34,3.5,2
34,4.0,2
34,4.5,2
34,5.0,1
34,5.5,1
34,6.0,2
34,6.5,2
