label,radius_um,intersections
131,0.0,0
131,5.0,3
131,10.0,6
131,15.0,5
131,20.0,5
131,25.0,4
131,30.0,3
131,35.0,1
131,40.0,0
145,0.0,0
145,5.0,0
145,10.0,2
145,15.0,0
145,20.0,0
145,25.0,0
145,30.0,0
145,35.0,0
145,40.0,0
152,0.0,0
152,5.0,3
152,10.0,2
152,15.0,1
152,20.0,3
152,25.0,0
152,30.0,0
152,35.0,0
152,40.0,0
155,0.0,0
155,5.0,2
155,10.0,1
155,15.0,1
155,20.0,1
155,25.0,2
155,30.0,1
155,35.0,0
155,40.0,0
158,0.0,0
158,5.0,1
158,10.0,2
158,15.0,1
158,20.0,1
158,25.0,0
158,30.0,0
158,35.0,0
158,40.0,0
159,0.0,0
159,5.0,2
159,10.0,6
159,15.0,5
159,20.0,6
159,25.0,3
159,30.0,1
159,35.0,0
159,40.0,0
164,0.0,0
164,5.0,5
164,10.0,2
164,15.0,2
164,20.0,3
164,25.0,2
164,30.0,2
164,35.0,1
164,40.0,0
166,0.0,0
166,5.0,8
166,10.0,3
166,15.0,5
166,20.0,8
166,25.0,8
166,30.0,4
166,35.0,3
166,40.0,0
172,0.0,0
172,5.0,1
172,10.0,3
172,15.0,4
172,20.0,3
172,25.0,5
172,30.0,5
172,35.0,2
172,40.0,0
212,0.0,0
212,5.0,3
212,10.0,3
212,15.0,2
212,20.0,0
212,25.0,0
212,30.0,0
212,35.0,0
212,40.0,0
216,0.0,0
216,5.0,1
216,10.0,2
216,15.0,3
216,20.0,1
216,25.0,0
216,30.0,0
216,35.0,0
216,40.0,0
252,0.0,0
252,5.0,2
252,10.0,4
252,15.0,2
252,20.0,5
252,25.0,5
252,30.0,3
252,35.0,0
252,40.0,0
