label,radius_um,intersections
2,0.0,0
2,1.0,2
2,2.0,3
2,3.0,5
2,4.0,9
2,5.0,6
2,6.0,5
2,7.0,6
2,8.0,5
2,9.0,4
2,10.0,4
2,11.0,4
2,12.0,4
2,13.0,3
2,14.0,3
2,15.0,3
2,16.0,3
2,17.0,4
2,18.0,3
2,19.0,2
2,20.0,6
2,21.0,6
2,22.0,6
2,23.0,3
2,24.0,4
2,25.0,0
4,0.0,0
4,1.0,0
4,2.0,2
4,3.0,1
4,4.0,3
4,5.0,7
4,6.0,4
4,7.0,4
4,8.0,9
4,9.0,9
4,10.0,6
4,11.0,4
4,12.0,9
4,13.0,9
4,14.0,7
4,15.0,8
4,16.0,4
4,17.0,6
4,18.0,4
4,19.0,4
4,20.0,3
4,21.0,4
4,22.0,3
4,23.0,1
4,24.0,1
4,25.0,0
15,0.0,0
15,1.0,3
15,2.0,5
15,3.0,6
15,4.0,6
15,5.0,7
15,6.0,8
15,7.0,6
15,8.0,6
15,9.0,5
15,10.0,7
15,11.0,4
15,12.0,4
15,13.0,3
15,14.0,3
15,15.0,3
15,16.0,3
15,17.0,3
15,18.0,3
15,19.0,3
15,20.0,3
15,21.0,3
15,22.0,4
15,23.0,4
15,24.0,3
15,25.0,0
16,0.0,0
16,1.0,2
16,2.0,3
16,3.0,4
16,4.0,4
16,5.0,4
16,6.0,4
16,7.0,6
16,8.0,4
16,9.0,3
16,10.0,3
16,11.0,2
16,12.0,1
16,13.0,0
16,14.0,0
16,15.0,0
16,16.0,0
16,17.0,0
16,18.0,0
16,19.0,0
16,20.0,0
16,21.0,0
16,22.0,0
16,23.0,0
16,24.0,0
16,25.0,0
17,0.0,0
17,1.0,2
17,2.0,2
17,3.0,4
17,4.0,4
17,5.0,3
17,6.0,9
17,7.0,8
17,8.0,8
17,9.0,7
17,10.0,7
17,11.0,12
17,12.0,5
17,13.0,6
17,14.0,7
17,15.0,5
17,16.0,6
17,17.0,7
17,18.0,6
17,19.0,7
17,20.0,8
17,21.0,6
17,22.0,5
17,23.0,6
17,24.0,5
17,25.0,0
18,0.0,0
18,1.0,2
18,2.0,3
18,3.0,3
18,4.0,4
18,5.0,4
18,6.0,5
18,7.0,5
18,8.0,5
18,9.0,6
18,10.0,9
18,11.0,5
18,12.0,1
18,13.0,1
18,14.0,2
18,15.0,2
18,16.0,1
18,17.0,2
18,18.0,2
18,19.0,2
18,20.0,1
18,21.0,0
18,22.0,0
18,23.0,0
18,24.0,0
18,25.0,0
19,0.0,0
19,1.0,2
19,2.0,2
19,3.0,5
19,4.0,5
19,5.0,6
19,6.0,6
19,7.0,6
19,8.0,7
19,9.0,8
19,10.0,5
19,11.0,6
19,12.0,8
19,13.0,5
19,14.0,7
19,15.0,6
19,16.0,5
19,17.0,3
19,18.0,3
19,19.0,3
19,20.0,2
19,21.0,1
19,22.0,0
19,23.0,0
19,24.0,0
19,25.0,0
20,0.0,0
20,1.0,0
20,2.0,0
20,3.0,0
20,4.0,1
20,5.0,1
20,6.0,1
20,7.0,1
20,8.0,1
20,9.0,2
20,10.0,3
20,11.0,4
20,12.0,5
20,13.0,5
20,14.0,6
20,15.0,4
20,16.0,2
20,17.0,2
20,18.0,2
20,19.0,2
20,20.0,2
20,21.0,0
