label,critical_radius_um,peak_intersections,auc
2,15.0,6.0,165.0
5,5.0,4.0,35.0
8,10.0,10.0,210.0
11,10.0,6.0,90.0
39,5.0,3.0,55.0
41,10.0,6.0,95.0
49,15.0,7.0,130.0
53,5.0,5.0,40.0
60,5.0,3.0,40.0
61,10.0,8.0,155.0
69,20.0,3.0,45.0
76,20.0,10.0,205.0
78,15.0,6.0,90.0
86,10.0,11.0,190.0
93,5.0,3.0,35.0
96,5.0,3.0,30.0
98,5.0,2.0,30.0
100,15.0,4.0,60.0
105,10.0,8.0,70.0
113,5.0,7.0,105.0
114,10.0,10.0,110.0
116,10.0,7.0,135.0
126,20.0,5.0,110.0
128,20.0,12.0,195.0
138,10.0,5.0,60.0
142,20.0,5.0,70.0
146,5.0,2.0,20.0
150,5.0,5.0,80.0
159,15.0,7.0,125.0
160,10.0,4.0,60.0
170,5.0,2.0,25.0
174,20.0,7.0,115.0
181,5.0,8.0,120.0
182,5.0,1.0,5.0
184,30.0,10.0,345.0
192,5.0,2.0,20.0
193,5.0,5.0,40.0
214,10.0,6.0,95.0
219,5.0,6.0,80.0
223,20.0,3.0,65.0
224,5.0,2.0,25.0
233,5.0,1.0,10.0
247,5.0,1.0,5.0
