label,skeleton_length_um,skeleton_pixels,nuclear_area_um2,centroid_y_um,centroid_x_um,territory_area_um2,gfap_threshold,n_branches,total_branch_length_um,n_endpoints,n_junctions,mean_branch_length_um,tortuosity_mean,tortuosity_max,tortuosity_std,ramification_index,termination_index,branch_length_median_um,branch_length_p25_um,branch_length_p75_um,branch_length_std_um,branch_length_cv,n_connected_components
2,113.64000000000001,300,17.50571168,7.94548524590164,249.64161967213116,2367.1452916800004,87.81640625,22,131.8408753015237,11,11,5.992767059160169,1.1041495710497722,1.277352136159204,0.0680945682787685,2.0,1.0,4.605016389707714,3.7392561461403933,8.25630265763177,3.4779324378235423,0.5803550185564768,1
3,34.8496,92,28.410909120000007,10.902935353535355,171.45865454545455,282.53070736,129.990234375,7,40.90386799450407,5,3,5.843409713500582,1.0632826678487801,1.1409315373031912,0.03748588362944828,2.3333333333333335,1.6666666666666667,6.217704097426929,3.187304097426929,8.27649302298275,2.928974527604743,0.5012440802905975,1
5,36.3648,96,15.496859520000003,19.65901851851852,164.12562222222223,148.22459152000002,139.951171875,8,43.73929257906565,4,4,5.467411572383206,1.0930641158277843,1.1775200981598979,0.05951221256485725,2.0,1.0,5.029772535848107,2.152334219210589,7.694832779415429,3.80148519162257,0.6952988889339329,1
6,17.046,45,27.836951360000004,21.657987628865982,159.73254020618558,227.86123072,127.001953125,1,20.119090143392427,2,0,20.119090143392427,1.1623398271348395,1.1623398271348395,,1.0,,20.119090143392427,20.119090143392427,20.119090143392427,,,1
8,40.531600000000005,107,33.43303952,26.203855793991416,149.83572188841202,2045.15498832,121.025390625,6,47.435380286784856,3,3,7.905896714464142,1.2229640618296986,1.8665932008940325,0.31989813941902007,2.0,1.0,6.812824584561572,2.7435122922807853,11.06874916912314,7.150930129509705,0.9045058881716482,1
11,175.00560000000002,462,22.527842080000003,39.400025477707004,248.76302675159235,2772.3594702400005,84.83984375,43,204.95851295228556,11,25,4.76647704540199,1.130947420138475,2.414213562373061,0.27125644133585974,1.72,0.44,3.944904097426929,2.1293561461403927,6.60996434099425,3.5564551474159867,0.7461391534124228,1
17,209.0976,552,42.75985312,56.6306,203.7524523489933,1380.7988811200003,104.091796875,47,243.60073177766648,13,27,5.1829942931418405,1.0999286548734624,1.9376098635440615,0.14315975185935972,1.7407407407407407,0.48148148148148145,4.8213368768423575,3.0438602435673214,6.636884828128894,2.7487241061549033,0.5303351596956274,1
28,226.14360000000002,597,23.962736480000004,92.4272,128.07749700598802,1578.5273294400004,120.099609375,46,260.29485226480114,17,25,5.658583744886982,1.1191317811903188,2.0819540473983538,0.16682490549569773,1.84,0.68,4.826912292280786,2.207808194853857,8.233324584561572,4.183307789133104,0.739285301364159,1
29,198.49120000000002,524,37.16376496,94.55374517374517,260.6685142857143,2350.6440060800005,74.208984375,49,233.6757891416435,20,26,4.768893655951908,1.1578370691569062,4.093451751993823,0.4464807918018943,1.8846153846153846,0.7692307692307693,3.8149204871346427,2.586608194853857,5.930816389707715,3.3223894622036325,0.6966792933319159,1
31,76.8964,203,41.611937600000005,109.20542758620691,210.98506896551726,1220.8081555200001,72.662109375,21,87.97159911216576,12,10,4.189123767245989,1.0628659393513396,1.1814422608205086,0.05033501639582347,2.1,1.2,3.1223122922807853,2.050904097426929,5.238208194853858,3.6198776530344805,0.8641133215823457,1
36,230.31040000000002,608,46.06011024000001,123.79443613707167,269.5569121495327,4193.04841568,66.240234375,62,266.8421342133397,28,32,4.303905390537738,1.08136397431827,1.2855434537764598,0.05562109824016968,1.9375,0.875,3.9258684384211784,2.380960243567321,5.607490365350983,2.779891838694401,0.6458998482648051,1
41,13.636800000000001,36,24.823673120000006,134.11490635838152,53.16337572254336,4480.601253440001,118.037109375,1,16.396081948538566,2,0,16.396081948538566,1.1981876919549712,1.1981876919549712,,1.0,,16.396081948538566,16.396081948538566,16.396081948538566,,,1
42,225.38600000000002,595,33.863507840000004,137.59267966101694,223.09875423728815,2091.6455668800004,62.255859375,57,260.67365226480115,18,32,4.573221969557915,1.0839156512204215,1.452948488329145,0.08118373110918263,1.78125,0.5625,3.658016389707714,2.521616389707714,6.114640974269286,2.8572978129747386,0.6247887882973124,1
44,129.5496,342,35.58538112000001,143.75307258064518,151.0969048387097,2401.5827572800004,100.107421875,25,155.9744801728701,11,13,6.238979206914804,1.0837276219274943,1.445352557134033,0.08314211145359851,1.9230769230769231,0.8461538461538461,3.9718245845615714,2.3647122922807853,8.831232779415428,5.652137755929593,0.9059395084479844,1
