label,skeleton_length_um,skeleton_pixels,nuclear_area_um2,centroid_y_um,centroid_x_um,territory_area_um2,gfap_threshold,n_branches,total_branch_length_um,n_endpoints,n_junctions,mean_branch_length_um,tortuosity_mean,tortuosity_max,tortuosity_std,ramification_index,termination_index,branch_length_median_um,branch_length_p25_um,branch_length_p75_um,branch_length_std_um,branch_length_cv,n_connected_components
1,236.37120000000002,624,40.751000960000006,5.12313661971831,65.48971830985916,1823.6072929600002,117.134765625,90,269.3433621214087,30,50,2.9927040235712075,1.0711573061122905,1.4037171054032416,0.07728190308308255,1.8,0.6,2.5081561461403927,1.7113301217836607,3.856934219210589,1.9415918728703834,0.6487751069193515,1
24,157.202,415,20.662479360000003,33.181827777777784,19.595008333333332,1409.4967691200002,130.986328125,40,183.79493510117396,11,23,4.594873377529349,1.0886535191955273,1.4176750180521027,0.08176848890261658,1.7391304347826086,0.4782608695652174,4.3696602435673215,2.3512520487134645,6.2053985602048405,3.042242369572949,0.6620949305046475,1
35,38.2588,101,48.068962400000004,43.14249313432836,16.015890149253732,563.9134992000002,127.001953125,6,45.947100773919495,3,3,7.657850128986582,1.1721106252845839,1.550145056236209,0.19182084507029257,2.0,1.0,7.681372535848107,6.1134862679240545,11.04298338833373,4.150450488100627,0.541986382364718,1
36,452.66600000000005,1195,48.35594128,46.65647002967359,64.72421839762612,1680.40483184,133.45703125,155,526.0990307759176,34,92,3.394187295328501,1.0776086239648566,1.5448312824017016,0.0915430868802335,1.684782608695652,0.3695652173913043,3.0304,1.5152,4.3696602435673215,2.2377061326803664,0.6592759732971052,1
51,127.27680000000001,336,52.51713504000001,67.54231693989071,24.424320218579236,922.6370992000002,129.990234375,31,147.0847875938045,11,17,4.74467056754208,1.0711198062084513,1.2793247955170726,0.061166350938436274,1.8235294117647058,0.6470588235294118,3.944904097426929,2.6650602435673214,5.630468438421179,3.0372507182270567,0.640139431176666,1
62,70.8356,187,38.74214880000001,83.68954666666667,25.539537777777777,477.2458774400001,126.005859375,17,85.30884828128893,4,10,5.018167545958172,1.099809019567927,1.327900824583046,0.09309637101942209,1.7,0.4,3.8799122922807863,1.9859122922807855,7.31603277941543,3.6116713515119545,0.7197191641042228,1
74,40.1528,106,28.12393024,96.91482040816328,27.463,230.01357232000004,185.748046875,6,46.742772091931016,3,3,7.790462015321836,1.7659418482001519,5.219344635488561,1.692383151306774,2.0,1.0,5.552016389707715,4.650972535848107,7.962684828128895,7.097982660367937,0.9111119015031496,1
79,185.9908,491,45.1991736,102.91935873015875,142.42038222222223,21987.74782784,104.68359375,64,211.64231051661238,23,35,3.3069111018220685,1.0863585855229223,1.3055165275886336,0.07674550223997026,1.8285714285714285,0.6571428571428571,2.776008194853857,1.7897821704971248,4.323704097426929,2.238185161778555,0.676820480763859,1
82,28.031200000000002,74,54.669476640000006,105.38792650918636,26.584601574803152,205.90734640000005,140.947265625,3,30.947386045965494,3,1,10.315795348655165,1.1084807533803203,1.1451620422751951,0.046499276094661854,3.0,3.0,8.387440974269287,6.133676633275037,13.533736876842354,7.586158748229267,0.7353925210641415,1
85,281.06960000000004,742,64.570248,113.03055288888889,97.41136622222223,1892.6257136000002,128.005859375,98,326.5671694284283,31,55,3.3323180553921254,1.0937383813588588,1.7453011614314886,0.11073295841242234,1.7818181818181817,0.5636363636363636,2.619104097426929,1.7113301217836607,4.24246434099425,2.3845756025719966,0.7155906377884435,1
