label,radius_um,intersections
1,0.0,0
1,1.0,2
1,2.0,4
1,3.0,4
1,4.0,4
1,5.0,5
1,6.0,5
1,7.0,5
1,8.0,2
1,9.0,1
1,10.0,1
1,11.0,1
1,12.0,1
1,13.0,0
1,14.0,0
1,15.0,0
1,16.0,0
1,17.0,0
1,18.0,0
1,19.0,0
1,20.0,0
1,21.0,0
1,22.0,0
1,23.0,0
1,24.0,0
1,25.0,0
3,0.0,0
3,1.0,0
3,2.0,4
3,3.0,4
3,4.0,4
3,5.0,7
3,6.0,7
3,7.0,6
3,8.0,8
3,9.0,7
3,10.0,3
3,11.0,2
3,12.0,2
3,13.0,1
3,14.0,0
3,15.0,0
3,16.0,0
3,17.0,0
3,18.0,0
3,19.0,0
3,20.0,0
3,21.0,0
3,22.0,0
3,23.0,0
3,24.0,0
3,25.0,0
14,0.0,0
14,1.0,2
14,2.0,2
14,3.0,2
14,4.0,4
14,5.0,6
14,6.0,6
14,7.0,10
14,8.0,8
14,9.0,4
14,10.0,3
14,11.0,2
14,12.0,1
14,13.0,1
14,14.0,0
14,15.0,0
14,16.0,0
14,17.0,0
14,18.0,0
14,19.0,0
14,20.0,0
14,21.0,0
14,22.0,0
14,23.0,0
14,24.0,0
14,25.0,0
24,0.0,0
24,1.0,0
24,2.0,0
24,3.0,6
24,4.0,4
24,5.0,3
24,6.0,3
24,7.0,2
24,8.0,10
24,9.0,7
24,10.0,5
24,11.0,4
24,12.0,7
24,13.0,6
24,14.0,5
24,15.0,6
24,16.0,4
24,17.0,8
24,18.0,3
24,19.0,2
24,20.0,2
24,21.0,0
24,22.0,0
24,23.0,0
24,24.0,0
24,25.0,0
29,0.0,0
29,1.0,3
29,2.0,2
29,3.0,3
29,4.0,7
29,5.0,3
29,6.0,3
29,7.0,4
29,8.0,3
29,9.0,2
29,10.0,3
29,11.0,3
29,12.0,3
29,13.0,1
29,14.0,1
29,15.0,1
29,16.0,1
29,17.0,1
29,18.0,1
29,19.0,1
29,20.0,0
29,21.0,0
29,22.0,0
29,23.0,0
29,24.0,0
29,25.0,0
31,0.0,0
31,1.0,2
31,2.0,2
