label,radius_um,intersections
4,0.0,0
4,5.0,2
4,10.0,1
4,15.0,1
4,20.0,1
4,25.0,1
4,30.0,1
4,35.0,0
4,40.0,0
4,45.0,0
4,50.0,0
4,55.0,0
4,60.0,0
4,65.0,0
4,70.0,0
4,75.0,0
4,80.0,0
5,0.0,0
5,5.0,1
5,10.0,0
5,15.0,0
5,20.0,0
5,25.0,0
5,30.0,0
5,35.0,0
5,40.0,0
5,45.0,0
5,50.0,0
5,55.0,0
5,60.0,0
5,65.0,0
5,70.0,0
5,75.0,0
5,80.0,0
7,0.0,0
7,5.0,4
7,10.0,3
7,15.0,1
7,20.0,0
7,25.0,0
7,30.0,0
7,35.0,0
7,40.0,0
7,45.0,0
7,50.0,0
7,55.0,0
7,60.0,0
7,65.0,0
7,70.0,0
7,75.0,0
7,80.0,0
15,0.0,0
15,5.0,2
15,10.0,2
15,15.0,1
15,20.0,0
15,25.0,0
15,30.0,0
15,35.0,0
15,40.0,0
15,45.0,0
15,50.0,0
15,55.0,0
15,60.0,0
15,65.0,0
15,70.0,0
15,75.0,0
15,80.0,0
16,0.0,0
16,5.0,3
16,10.0,5
16,15.0,2
16,20.0,0
16,25.0,0
16,30.0,0
16,35.0,0
16,40.0,0
16,45.0,0
16,50.0,0
16,55.0,0
16,60.0,0
16,65.0,0
16,70.0,0
16,75.0,0
16,80.0,0
17,0.0,0
17,5.0,2
17,10.0,1
17,15.0,1
17,20.0,0
17,25.0,0
17,30.0,0
17,35.0,0
17,40.0,0
17,45.0,0
17,50.0,0
17,55.0,0
17,60.0,0
17,65.0,0
17,70.0,0
17,75.0,0
17,80.0,0
25,0.0,0
25,5.0,5
25,10.0,6
25,15.0,3
25,20.0,0
25,25.0,0
25,30.0,0
25,35.0,0
25,40.0,0
25,45.0,0
25,50.0,0
25,55.0,0
25,60.0,0
25,65.0,0
25,70.0,0
25,75.0,0
25,80.0,0
29,0.0,0
29,5.0,4
29,10.0,0
29,15.0,0
29,20.0,0
29,25.0,0
29,30.0,0
29,35.0,0
29,40.0,0
29,45.0,0
29,50.0,0
29,55.0,0
29,60.0,0
29,65.0,0
29,70.0,0
29,75.0,0
29,80.0,0
33,0.0,0
33,5.0,6
33,10.0,4
33,15.0,2
33,20.0,0
33,25.0,0
33,30.0,0
33,35.0,0
33,40.0,0
33,45.0,0
33,50.0,0
33,55.0,0
33,60.0,0
33,65.0,0
33,70.0,0
33,75.0,0
33,80.0,0
42,0.0,0
42,5.0,4
42,10.0,0
42,15.0,0
42,20.0,0
42,25.0,0
42,30.0,0
42,35.0,0
42,40.0,0
42,45.0,0
42,50.0,0
42,55.0,0
42,60.0,0
42,65.0,0
42,70.0,0
42,75.0,0
42,80.0,0
45,0.0,0
45,5.0,5
45,10.0,7
45,15.0,0
45,20.0,0
45,25.0,0
45,30.0,0
45,35.0,0
45,40.0,0
45,45.0,0
45,50.0,0
45,55.0,0
45,60.0,0
45,65.0,0
45,70.0,0
45,75.0,0
45,80.0,0
49,0.0,0
49,5.0,4
49,10.0,1
49,15.0,0
49,20.0,0
49,25.0,0
49,30.0,0
49,35.0,0
49,40.0,0
49,45.0,0
49,50.0,0
49,55.0,0
49,60.0,0
49,65.0,0
49,70.0,0
49,75.0,0
49,80.0,0
139,0.0,0
139,5.0,5
139,10.0,5
139,15.0,1
139,20.0,0
139,25.0,0
139,30.0,0
139,35.0,0
139,40.0,0
139,45.0,0
139,50.0,0
139,55.0,0
139,60.0,0
139,65.0,0
139,70.0,0
139,75.0,0
139,80.0,0
141,0.0,0
141,5.0,3
141,10.0,1
141,15.0,1
141,20.0,0
141,25.0,0
141,30.0,0
141,35.0,0
141,40.0,0
141,45.0,0
141,50.0,0
141,55.0,0
141,60.0,0
141,65.0,0
141,70.0,0
141,75.0,0
141,80.0,0
153,0.0,0
153,5.0,5
153,10.0,2
153,15.0,1
153,20.0,0
153,25.0,0
153,30.0,0
153,35.0,0
153,40.0,0
153,45.0,0
153,50.0,0
153,55.0,0
153,60.0,0
153,65.0,0
153,70.0,0
153,75.0,0
153,80.0,0
154,0.0,0
154,5.0,2
154,10.0,2
154,15.0,1
154,20.0,1
154,25.0,1
154,30.0,2
154,35.0,1
154,40.0,0
154,45.0,0
154,50.0,0
154,55.0,0
154,60.0,0
154,65.0,0
154,70.0,0
154,75.0,0
154,80.0,0
155,0.0,0
155,5.0,3
155,10.0,1
155,15.0,0
155,20.0,0
155,25.0,0
155,30.0,0
155,35.0,0
155,40.0,0
155,45.0,0
155,50.0,0
155,55.0,0
155,60.0,0
155,65.0,0
155,70.0,0
155,75.0,0
155,80.0,0
165,0.0,0
165,5.0,3
165,10.0,1
165,15.0,0
165,20.0,0
165,25.0,0
165,30.0,0
165,35.0,0
165,40.0,0
165,45.0,0
165,50.0,0
165,55.0,0
165,60.0,0
165,65.0,0
165,70.0,0
165,75.0,0
165,80.0,0
166,0.0,0
166,5.0,3
166,10.0,0
166,15.0,0
166,20.0,0
166,25.0,0
166,30.0,0
166,35.0,0
166,40.0,0
166,45.0,0
166,50.0,0
166,55.0,0
166,60.0,0
166,65.0,0
166,70.0,0
166,75.0,0
166,80.0,0
168,0.0,0
168,5.0,4
168,10.0,3
168,15.0,2
168,20.0,0
168,25.0,0
168,30.0,0
168,35.0,0
168,40.0,0
168,45.0,0
168,50.0,0
168,55.0,0
168,60.0,0
168,65.0,0
168,70.0,0
168,75.0,0
168,80.0,0
183,0.0,0
183,5.0,3
183,10.0,3
183,15.0,2
183,20.0,0
183,25.0,0
183,30.0,0
183,35.0,0
183,40.0,0
183,45.0,0
183,50.0,0
183,55.0,0
183,60.0,0
183,65.0,0
183,70.0,0
183,75.0,0
183,80.0,0
229,0.0,0
229,5.0,3
229,10.0,1
229,15.0,0
229,20.0,0
229,25.0,0
229,30.0,0
229,35.0,0
229,40.0,0
229,45.0,0
229,50.0,0
229,55.0,0
229,60.0,0
229,65.0,0
229,70.0,0
229,75.0,0
