label,radius_um,intersections
107,0.0,0
107,1.0,0
107,2.0,0
107,3.0,2
107,4.0,3
107,5.0,3
107,6.0,4
107,7.0,3
107,8.0,3
107,9.0,3
107,10.0,2
107,11.0,3
107,12.0,2
107,13.0,2
107,14.0,1
107,15.0,0
107,16.0,0
107,17.0,0
107,18.0,0
107,19.0,0
107,20.0,0
107,21.0,0
107,22.0,0
107,23.0,0
107,24.0,0
107,25.0,0
109,0.0,0
109,1.0,0
109,2.0,2
109,3.0,8
109,4.0,5
109,5.0,3
109,6.0,2
109,7.0,2
109,8.0,2
109,9.0,2
109,10.0,2
109,11.0,2
109,12.0,1
109,13.0,0
109,14.0,0
109,15.0,0
109,16.0,0
109,17.0,0
109,18.0,0
109,19.0,0
109,20.0,0
109,21.0,0
109,22.0,0
109,23.0,0
109,24.0,0
109,25.0,0
110,0.0,0
110,1.0,2
110,2.0,6
110,3.0,6
110,4.0,7
110,5.0,6
110,6.0,6
110,7.0,5
110,8.0,3
110,9.0,3
110,10.0,3
110,11.0,2
110,12.0,1
110,13.0,1
110,14.0,1
110,15.0,0
110,16.0,0
110,17.0,0
110,18.0,0
110,19.0,0
110,20.0,0
110,21.0,0
110,22.0,0
110,23.0,0
110,24.0,0
110,25.0,0
115,0.0,0
115,1.0,0
115,2.0,0
115,3.0,5
115,4.0,4
115,5.0,4
115,6.0,3
115,7.0,3
115,8.0,2
115,9.0,1
115,10.0,2
115,11.0,3
115,12.0,1
115,13.0,0
115,14.0,0
115,15.0,0
115,16.0,0
115,17.0,0
115,18.0,0
115,19.0,0
115,20.0,0
115,21.0,0
115,22.0,0
115,23.0,0
115,24.0,0
115,25.0,0
123,0.0,0
123,1.0,0
123,2.0,0
123,3.0,0
123,4.0,3
123,5.0,5
123,6.0,3
123,7.0,2
123,8.0,0
123,9.0,0
123,10.0,0
123,11.0,0
123,12.0,0
123,13.0,0
123,14.0,0
123,15.0,0
123,16.0,0
123,17.0,0
123,18.0,0
123,19.0,0
123,20.0,0
123,21.0,0
123,22.0,0
123,23.0,0
123,24.0,0
123,25.0,0
124,0.0,0
124,1.0,2
124,2.0,2
124,3.0,2
124,4.0,2
124,5.0,2
124,6.0,2
124,7.0,1
124,8.0,1
124,9.0,1
124,10.0,1
124,11.0,0
124,12.0,0
124,13.0,0
124,14.0,0
124,15.0,0
124,16.0,0
124,17.0,0
124,18.0,0
124,19.0,0
124,20.0,0
124,21.0,0
124,22.0,0
124,23.0,0
124,24.0,0
124,25.0,0
125,0.0,0
125,1.0,2
125,2.0,3
125,3.0,3
125,4.0,4
125,5.0,4
125,6.0,3
125,7.0,2
125,8.0,1
125,9.0,1
125,10.0,0
125,11.0,0
125,12.0,0
125,13.0,0
125,14.0,0
125,15.0,0
125,16.0,0
125,17.0,0
125,18.0,0
125,19.0,0
125,20.0,0
125,21.0,0
125,22.0,0
125,23.0,0
125,24.0,0
125,25.0,0
126,0.0,0
126,1.0,0
126,2.0,4
126,3.0,3
126,4.0,3
126,5.0,3
126,6.0,4
126,7.0,3
126,8.0,3
126,9.0,2
126,10.0,2
126,11.0,1
126,12.0,2
126,13.0,2
126,14.0,2
126,15.0,4
126,16.0,2
126,17.0,2
126,18.0,0
126,19.0,0
126,20.0,0
126,21.0,0
126,22.0,0
126,23.0,0
126,24.0,0
126,25.0,0
129,0.0,0
129,1.0,1
129,2.0,1
129,3.0,3
129,4.0,3
129,5.0,7
129,6.0,4
129,7.0,3
129,8.0,3
129,9.0,2
129,10.0,1
129,11.0,0
129,12.0,0
129,13.0,0
129,14.0,0
129,15.0,0
129,16.0,0
129,17.0,0
129,18.0,0
129,19.0,0
129,20.0,0
129,21.0,0
129,22.0,0
129,23.0,0
129,24.0,0
129,25.0,0
130,0.0,0
130,1.0,0
130,2.0,2
130,3.0,5
130,4.0,4
130,5.0,3
130,6.0,2
130,7.0,2
130,8.0,9
130,9.0,3
130,10.0,3
130,11.0,1
130,12.0,0
130,13.0,0
130,14.0,0
130,15.0,0
130,16.0,0
130,17.0,0
130,18.0,0
130,19.0,0
130,20.0,0
130,21.0,0
130,22.0,0
130,23.0,0
130,24.0,0
130,25.0,0
132,0.0,0
132,1.0,0
132,2.0,0
132,3.0,2
132,4.0,1
132,5.0,1
132,6.0,1
132,7.0,1
132,8.0,1
132,9.0,0
132,10.0,0
132,11.0,0
132,12.0,0
132,13.0,0
132,14.0,0
132,15.0,0
132,16.0,0
132,17.0,0
132,18.0,0
132,19.0,0
132,20.0,0
132,21.0,0
132,22.0,0
132,23.0,0
132,24.0,0
132,25.0,0
135,0.0,0
135,1.0,2
135,2.0,4
135,3.0,4
135,4.0,3
135,5.0,3
135,6.0,4
135,7.0,3
135,8.0,4
135,9.0,5
135,10.0,2
135,11.0,2
135,12.0,2
135,13.0,0
135,14.0,0
135,15.0,0
135,16.0,0
135,17.0,0
135,18.0,0
135,19.0,0
135,20.0,0
135,21.0,0
135,22.0,0
135,23.0,0
135,24.0,0
135,25.0,0
136,0.0,0
136,1.0,0
136,2.0,4
136,3.0,4
136,4.0,5
136,5.0,4
136,6.0,3
136,7.0,2
136,8.0,2
136,9.0,2
136,10.0,1
136,11.0,1
136,12.0,1
136,13.0,0
136,14.0,0
136,15.0,0
136,16.0,0
136,17.0,0
136,18.0,0
136,19.0,0
136,20.0,0
136,21.0,0
136,22.0,0
136,23.0,0
136,24.0,0
136,25.0,0
137,0.0,0
137,1.0,4
137,2.0,5
137,3.0,4
137,4.0,3
137,5.0,3
137,6.0,3
137,7.0,3
137,8.0,3
137,9.0,2
137,10.0,2
137,11.0,2
137,12.0,2
137,13.0,1
137,14.0,1
137,15.0,1
137,16.0,1
137,17.0,2
137,18.0,2
137,19.0,1
137,20.0,1
137,21.0,1
137,22.0,0
137,23.0,0
137,24.0,0
137,25.0,0
139,0.0,0
139,1.0,2
139,2.0,2
139,3.0,2
139,4.0,2
139,5.0,2
139,6.0,3
139,7.0,3
139,8.0,3
139,9.0,3
139,10.0,4
139,11.0,5
139,12.0,1
139,13.0,0
139,14.0,0
139,15.0,0
139,16.0,0
139,17.0,0
139,18.0,0
139,19.0,0
139,20.0,0
139,21.0,0
139,22.0,0
139,23.0,0
139,24.0,0
139,25.0,0
140,0.0,0
140,1.0,0
140,2.0,0
140,3.0,6
