label,critical_radius_um,peak_intersections,auc
107,6.0,4.0,31.0
109,3.0,8.0,31.0
110,4.0,7.0,52.0
115,3.0,5.0,28.0
123,5.0,5.0,13.0
124,1.0,2.0,16.0
125,4.0,4.0,23.0
126,2.0,4.0,42.0
129,5.0,7.0,28.0
130,8.0,9.0,34.0
132,3.0,2.0,7.0
135,9.0,5.0,38.0
136,4.0,5.0,29.0
137,2.0,5.0,47.0
139,11.0,5.0,32.0
140,4.0,7.0,18.0
141,2.0,4.0,27.0
142,2.0,3.0,13.0
143,4.0,4.0,21.0
144,4.0,3.0,13.0
145,3.0,4.0,21.0
146,8.0,5.0,28.0
147,3.0,4.0,30.0
148,3.0,5.0,36.0
149,1.0,2.0,10.0
150,4.0,8.0,24.0
151,1.0,3.0,14.0
156,5.0,6.0,28.0
161,3.0,2.0,7.0
182,4.0,3.0,15.0
184,2.0,7.0,47.0
194,3.0,3.0,13.0
195,2.0,1.0,1.0
204,4.0,8.0,19.0
205,6.0,4.0,16.0
206,3.0,4.0,20.0
213,5.0,5.0,26.0
214,5.0,4.0,21.0
215,2.0,8.0,25.0
216,2.0,4.0,23.0
217,2.0,3.0,13.0
218,3.0,5.0,34.0
235,2.0,4.0,35.0
236,3.0,7.0,28.0
245,7.0,8.0,45.0
