label,critical_radius_um,peak_intersections,auc
3,25.0,3.0,50.0
8,15.0,4.0,70.0
11,5.0,4.0,50.0
16,15.0,8.0,115.0
22,10.0,7.0,85.0
33,10.0,10.0,175.0
42,5.0,1.0,10.0
53,10.0,4.0,105.0
54,10.0,8.0,70.0
66,10.0,6.0,100.0
75,10.0,4.0,80.0
81,5.0,2.0,15.0
83,15.0,4.0,50.0
84,10.0,13.0,225.0
92,5.0,9.0,140.0
97,15.0,6.0,145.0
100,10.0,10.0,180.0
121,10.0,6.0,80.0
126,15.0,8.0,125.0
127,5.0,4.0,25.0
165,20.0,7.0,130.0
229,15.0,9.0,155.0
249,10.0,9.0,125.0
254,20.0,3.0,50.0
257,5.0,3.0,40.0
263,5.0,6.0,70.0
281,25.0,17.0,425.0
283,20.0,9.0,145.0
297,10.0,9.0,135.0
308,10.0,10.0,155.0
324,10.0,6.0,80.0
331,5.0,4.0,25.0
348,5.0,4.0,65.0
