label,radius_um,intersections
46,0.0,0
46,0.5,2
46,1.0,2
46,1.5,2
46,2.0,3
46,2.5,3
46,3.0,3
46,3.5,4
46,4.0,5
46,4.5,9
46,5.0,7
46,5.5,8
46,6.0,8
46,6.5,7
46,7.0,6
46,7.5,6
46,8.0,5
46,8.5,5
46,9.0,5
46,9.5,4
46,10.0,2
46,10.5,1
46,11.0,1
46,11.5,1
46,12.0,1
46,12.5,1
46,13.0,1
46,13.5,1
46,14.0,1
46,14.5,1
46,15.0,1
46,15.5,0
46,16.0,0
46,16.5,0
46,17.0,0
46,17.5,0
46,18.0,0
46,18.5,0
46,19.0,0
46,19.5,0
46,20.0,0
46,20.5,0
46,21.0,0
46,21.5,0
46,22.0,0
46,22.5,0
46,23.0,0
46,23.5,0
46,24.0,0
46,24.5,0
46,25.0,0
70,0.0,0
70,0.5,2
70,1.0,2
70,1.5,2
70,2.0,2
70,2.5,2
70,3.0,2
70,3.5,2
70,4.0,4
70,4.5,4
70,5.0,8
70,5.5,8
70,6.0,12
70,6.5,5
70,7.0,5
70,7.5,5
70,8.0,5
70,8.5,5
70,9.0,5
70,9.5,3
70,10.0,3
70,10.5,5
70,11.0,1
70,11.5,1
70,12.0,0
70,12.5,0
70,13.0,0
70,13.5,0
70,14.0,0
70,14.5,0
70,15.0,0
70,15.5,0
70,16.0,0
70,16.5,0
70,17.0,0
70,17.5,0
70,18.0,0
70,18.5,0
70,19.0,0
70,19.5,0
70,20.0,0
70,20.5,0
70,21.0,0
70,21.5,0
70,22.0,0
70,22.5,0
70,23.0,0
70,23.5,0
70,24.0,0
70,24.5,0
70,25.0,0
78,0.0,0
78,0.5,0
78,1.0,0
78,1.5,0
78,2.0,2
78,2.5,2
78,3.0,6
78,3.5,6
78,4.0,6
78,4.5,6
78,5.0,6
78,5.5,6
78,6.0,5
78,6.5,6
78,7.0,7
78,7.5,8
78,8.0,9
78,8.5,6
78,9.0,6
78,9.5,11
78,10.0,8
78,10.5,6
78,11.0,6
78,11.5,5
78,12.0,5
78,12.5,5
78,13.0,2
78,13.5,2
78,14.0,2
78,14.5,2
78,15.0,3
78,15.5,3
78,16.0,3
78,16.5,3
78,17.0,3
78,17.5,3
78,18.0,2
78,18.5,1
78,19.0,1
78,19.5,1
78,20.0,1
78,20.5,1
78,21.0,0
78,21.5,0
78,22.0,0
78,22.5,0
78,23.0,0
78,23.5,0
78,24.0,0
78,24.5,0
78,25.0,0
80,0.0,0
80,0.5,0
80,1.0,0
80,1.5,2
80,2.0,2
80,2.5,2
80,3.0,2
80,3.5,3
80,4.0,9
80,4.5,5
80,5.0,4
80,5.5,4
80,6.0,4
80,6.5,3
80,7.0,2
80,7.5,1
80,8.0,1
80,8.5,1
80,9.0,0
80,9.5,1
80,10.0,1
80,10.5,1
80,11.0,1
80,11.5,1
80,12.0,1
80,12.5,1
80,13.0,1
80,13.5,1
80,14.0,1
80,14.5,1
80,15.0,1
80,15.5,1
80,16.0,1
80,16.5,1
80,17.0,1
80,17.5,1
80,18.0,1
80,18.5,1
80,19.0,1
80,19.5,1
80,20.0,1
80,20.5,1
80,21.0,1
80,21.5,1
80,22.0,1
80,22.5,1
80,23.0,1
80,23.5,6
80,24.0,2
80,24.5,1
80,25.0,0
85,0.0,0
85,0.5,0
85,1.0,0
85,1.5,0
85,2.0,1
85,2.5,2
85,3.0,4
85,3.5,4
85,4.0,3
85,4.5,2
85,5.0,1
85,5.5,1
85,6.0,0
85,6.5,0
85,7.0,0
85,7.5,0
85,8.0,0
85,8.5,0
85,9.0,0
85,9.5,0
85,10.0,0
85,10.5,0
85,11.0,0
85,11.5,0
85,12.0,0
85,12.5,0
85,13.0,0
85,13.5,0
85,14.0,0
85,14.5,0
85,15.0,0
85,15.5,0
85,16.0,0
85,16.5,0
85,17.0,0
85,17.5,0
85,18.0,0
85,18.5,0
85,19.0,0
85,19.5,0
85,20.0,0
85,20.5,0
85,21.0,0
85,21.5,0
85,22.0,0
85,22.5,0
85,23.0,0
85,23.5,0
85,24.0,0
85,24.5,0
85,25.0,0
93,0.0,0
93,0.5,0
93,1.0,0
93,1.5,2
93,2.0,3
93,2.5,5
93,3.0,4
93,3.5,4
93,4.0,3
93,4.5,3
93,5.0,3
93,5.5,2
93,6.0,2
93,6.5,2
93,7.0,1
93,7.5,1
93,8.0,1
93,8.5,1
93,9.0,1
93,9.5,1
93,10.0,1
93,10.5,1
93,11.0,0
93,11.5,0
93,12.0,0
93,12.5,0
93,13.0,0
93,13.5,0
93,14.0,0
93,14.5,0
93,15.0,0
93,15.5,0
93,16.0,0
93,16.5,0
93,17.0,0
93,17.5,0
93,18.0,0
93,18.5,0
93,19.0,0
93,19.5,0
93,20.0,0
93,20.5,0
93,21.0,0
93,21.5,0
93,22.0,0
93,22.5,0
93,23.0,0
93,23.5,0
93,24.0,0
93,24.5,0
93,25.0,0
98,0.0,0
98,0.5,0
98,1.0,0
98,1.5,3
98,2.0,3
98,2.5,4
98,3.0,3
98,3.5,4
98,4.0,4
98,4.5,3
98,5.0,1
98,5.5,1
98,6.0,1
98,6.5,1
98,7.0,1
98,7.5,1
98,8.0,1
98,8.5,1
98,9.0,1
98,9.5,1
98,10.0,1
98,10.5,0
98,11.0,0
98,11.5,0
98,12.0,0
98,12.5,0
98,13.0,0
98,13.5,0
98,14.0,0
98,14.5,0
98,15.0,0
98,15.5,0
98,16.0,0
98,16.5,0
98,17.0,0
98,17.5,0
98,18.0,0
98,18.5,0
98,19.0,0
98,19.5,0
98,20.0,0
98,20.5,0
98,21.0,0
98,21.5,0
98,22.0,0
98,22.5,0
98,23.0,0
98,23.5,0
98,24.0,0
98,24.5,0
98,25.0,0
104,0.0,0
104,0.5,0
104,1.0,0
104,1.5,0
104,2.0,0
104,2.5,0
104,3.0,1
104,3.5,4
104,4.0,4
104,4.5,6
104,5.0,7
104,5.5,8
104,6.0,11
104,6.5,7
104,7.0,4
104,7.5,5
104,8.0,5
104,8.5,5
104,9.0,5
104,9.5,5
104,10.0,2
104,10.5,1
104,11.0,1
104,11.5,1
104,12.0,0
104,12.5,0
104,13.0,0
104,13.5,0
104,14.0,0
104,14.5,0
104,15.0,0
104,15.5,0
104,16.0,0
104,16.5,0
104,17.0,0
104,17.5,0
104,18.0,0
104,18.5,0
104,19.0,0
