label,critical_radius_um,peak_intersections,auc
50,10.0,8.0,90.0
62,5.0,6.0,35.0
66,5.0,5.0,35.0
72,5.0,10.0,55.0
80,10.0,8.0,95.0
94,5.0,1.0,10.0
98,5.0,2.0,10.0
106,15.0,6.0,75.0
109,5.0,6.0,45.0
110,5.0,4.0,40.0
112,10.0,3.0,25.0
116,10.0,3.0,30.0
120,5.0,6.0,70.0
123,10.0,4.0,40.0
128,10.0,6.0,45.0
132,5.0,3.0,30.0
135,5.0,2.0,20.0
140,5.0,3.0,30.0
143,5.0,3.0,25.0
146,5.0,2.0,20.0
151,5.0,3.0,20.0
154,5.0,2.0,20.0
155,5.0,1.0,5.0
157,5.0,4.0,25.0
161,5.0,5.0,45.0
171,5.0,5.0,50.0
181,10.0,4.0,30.0
183,5.0,4.0,45.0
194,10.0,4.0,40.0
204,5.0,3.0,25.0
206,5.0,5.0,40.0
208,5.0,1.0,5.0
222,10.0,4.0,55.0
232,5.0,3.0,30.0
237,10.0,7.0,85.0
244,5.0,3.0,20.0
246,25.0,6.0,120.0
247,15.0,7.0,110.0
248,5.0,4.0,55.0
252,5.0,3.0,30.0
261,5.0,4.0,30.0
265,10.0,5.0,60.0
266,5.0,4.0,40.0
275,5.0,4.0,30.0
277,5.0,2.0,15.0
306,5.0,3.0,75.0
