label,radius_um,intersections
37,0.0,0
37,5.0,6
37,10.0,7
37,15.0,5
37,20.0,2
37,25.0,5
37,30.0,4
37,35.0,6
37,40.0,3
37,45.0,0
37,50.0,0
37,55.0,0
37,60.0,0
37,65.0,0
37,70.0,0
37,75.0,0
37,80.0,0
39,0.0,0
39,5.0,3
39,10.0,3
39,15.0,2
39,20.0,0
39,25.0,0
39,30.0,0
39,35.0,0
39,40.0,0
39,45.0,0
39,50.0,0
39,55.0,0
39,60.0,0
39,65.0,0
39,70.0,0
39,75.0,0
39,80.0,0
42,0.0,0
42,5.0,7
42,10.0,15
42,15.0,8
42,20.0,5
42,25.0,4
42,30.0,1
42,35.0,0
42,40.0,0
42,45.0,0
42,50.0,0
42,55.0,0
42,60.0,0
42,65.0,0
42,70.0,0
42,75.0,0
42,80.0,0
43,0.0,0
43,5.0,3
43,10.0,3
43,15.0,1
43,20.0,0
43,25.0,0
43,30.0,0
43,35.0,0
43,40.0,0
43,45.0,0
43,50.0,0
43,55.0,0
43,60.0,0
43,65.0,0
43,70.0,0
43,75.0,0
43,80.0,0
45,0.0,0
45,5.0,5
45,10.0,8
45,15.0,4
45,20.0,6
45,25.0,1
45,30.0,1
45,35.0,0
45,40.0,0
45,45.0,0
45,50.0,0
45,55.0,0
45,60.0,0
45,65.0,0
45,70.0,0
45,75.0,0
45,80.0,0
53,0.0,0
53,5.0,3
53,10.0,2
53,15.0,0
53,20.0,0
53,25.0,0
53,30.0,0
53,35.0,0
53,40.0,0
53,45.0,0
53,50.0,0
53,55.0,0
53,60.0,0
53,65.0,0
53,70.0,0
53,75.0,0
53,80.0,0
57,0.0,0
57,5.0,4
57,10.0,4
57,15.0,6
57,20.0,4
57,25.0,0
57,30.0,0
57,35.0,0
57,40.0,0
57,45.0,0
57,50.0,0
57,55.0,0
57,60.0,0
57,65.0,0
57,70.0,0
57,75.0,0
57,80.0,0
80,0.0,0
80,5.0,3
80,10.0,2
80,15.0,5
80,20.0,3
80,25.0,1
80,30.0,0
80,35.0,0
80,40.0,0
80,45.0,0
80,50.0,0
80,55.0,0
80,60.0,0
80,65.0,0
80,70.0,0
80,75.0,0
80,80.0,0
81,0.0,0
81,5.0,4
81,10.0,6
81,15.0,4
81,20.0,4
81,25.0,1
81,30.0,1
81,35.0,0
81,40.0,0
81,45.0,0
81,50.0,0
81,55.0,0
81,60.0,0
81,65.0,0
81,70.0,0
81,75.0,0
81,80.0,0
87,0.0,0
87,5.0,3
87,10.0,4
87,15.0,6
87,20.0,8
87,25.0,14
87,30.0,3
87,35.0,1
87,40.0,0
87,45.0,0
87,50.0,0
87,55.0,0
87,60.0,0
87,65.0,0
87,70.0,0
87,75.0,0
87,80.0,0
97,0.0,0
97,5.0,5
97,10.0,5
97,15.0,4
97,20.0,4
97,25.0,0
97,30.0,0
97,35.0,0
97,40.0,0
97,45.0,0
97,50.0,0
97,55.0,0
97,60.0,0
97,65.0,0
97,70.0,0
97,75.0,0
97,80.0,0
100,0.0,0
100,5.0,1
100,10.0,1
100,15.0,0
100,20.0,0
100,25.0,0
100,30.0,0
100,35.0,0
100,40.0,0
100,45.0,0
100,50.0,0
100,55.0,0
100,60.0,0
100,65.0,0
100,70.0,0
100,75.0,0
100,80.0,0
103,0.0,0
103,5.0,4
103,10.0,4
103,15.0,2
103,20.0,1
103,25.0,0
103,30.0,0
103,35.0,0
103,40.0,0
103,45.0,0
103,50.0,0
103,55.0,0
103,60.0,0
103,65.0,0
103,70.0,0
103,75.0,0
103,80.0,0
104,0.0,0
104,5.0,4
104,10.0,7
104,15.0,7
104,20.0,7
104,25.0,2
104,30.0,1
104,35.0,0
104,40.0,0
104,45.0,0
104,50.0,0
104,55.0,0
104,60.0,0
104,65.0,0
104,70.0,0
104,75.0,0
104,80.0,0
105,0.0,0
105,5.0,3
105,10.0,0
105,15.0,0
105,20.0,0
105,25.0,0
105,30.0,0
105,35.0,0
105,40.0,0
105,45.0,0
105,50.0,0
105,55.0,0
105,60.0,0
105,65.0,0
105,70.0,0
105,75.0,0
105,80.0,0
110,0.0,0
110,5.0,4
110,10.0,2
110,15.0,2
110,20.0,1
110,25.0,0
110,30.0,0
110,35.0,0
110,40.0,0
110,45.0,0
110,50.0,0
110,55.0,0
110,60.0,0
110,65.0,0
110,70.0,0
110,75.0,0
110,80.0,0
138,0.0,0
138,5.0,3
138,10.0,2
138,15.0,4
138,20.0,2
138,25.0,0
138,30.0,0
138,35.0,0
138,40.0,0
138,45.0,0
138,50.0,0
138,55.0,0
138,60.0,0
138,65.0,0
138,70.0,0
138,75.0,0
138,80.0,0
142,0.0,0
142,5.0,4
142,10.0,0
142,15.0,0
142,20.0,0
142,25.0,0
142,30.0,0
142,35.0,0
142,40.0,0
142,45.0,0
142,50.0,0
142,55.0,0
142,60.0,0
142,65.0,0
142,70.0,0
142,75.0,0
142,80.0,0
150,0.0,0
150,5.0,3
150,10.0,2
150,15.0,1
150,20.0,0
150,25.0,0
150,30.0,0
150,35.0,0
150,40.0,0
150,45.0,0
150,50.0,0
150,55.0,0
150,60.0,0
150,65.0,0
150,70.0,0
150,75.0,0
150,80.0,0
151,0.0,0
151,5.0,5
151,10.0,5
151,15.0,5
151,20.0,10
151,25.0,6
151,30.0,3
151,35.0,0
151,40.0,0
151,45.0,0
151,50.0,0
151,55.0,0
151,60.0,0
151,65.0,0
151,70.0,0
151,75.0,0
151,80.0,0
180,0.0,0
180,5.0,6
180,10.0,12
180,15.0,12
180,20.0,18
180,25.0,9
180,30.0,11
180,35.0,7
180,40.0,3
180,45.0,0
180,50.0,0
180,55.0,0
180,60.0,0
180,65.0,0
180,70.0,0
180,75.0,0
180,80.0,0
184,0.0,0
184,5.0,4
184,10.0,7
184,15.0,2
184,20.0,1
184,25.0,0
184,30.0,0
184,35.0,0
184,40.0,0
184,45.0,0
184,50.0,0
184,55.0,0
184,60.0,0
184,65.0,0
184,70.0,0
184,75.0,0
184,80.0,0
187,0.0,0
187,5.0,4
187,10.0,2
187,15.0,3
187,20.0,1
187,25.0,0
187,30.0,0
187,35.0,0
187,40.0,0
187,45.0,0
187,50.0,0
187,55.0,0
187,60.0,0
187,65.0,0
187,70.0,0
187,75.0,0
187,80.0,0
188,0.0,0
188,5.0,5
188,10.0,1
188,15.0,0
188,20.0,0
188,25.0,0
188,30.0,0
188,35.0,0
188,40.0,0
188,45.0,0
188,50.0,0
188,55.0,0
188,60.0,0
188,65.0,0
188,70.0,0
188,75.0,0
188,80.0,0
200,0.0,0
200,5.0,6
200,10.0,11
200,15.0,9
200,20.0,2
200,25.0,0
200,30.0,0
200,35.0,0
200,40.0,0
200,45.0,0
200,50.0,0
200,55.0,0
200,60.0,0
200,65.0,0
200,70.0,0
200,75.0,0
200,80.0,0
210,0.0,0
210,5.0,5
210,10.0,7
210,15.0,4
210,20.0,2
210,25.0,2
210,30.0,2
210,35.0,1
210,40.0,0
210,45.0,0
210,50.0,0
210,55.0,0
210,60.0,0
210,65.0,0
210,70.0,0
210,75.0,0
210,80.0,0
213,0.0,0
213,5.0,5
213,10.0,12
213,15.0,3
213,20.0,0
213,25.0,0
213,30.0,0
213,35.0,0
213,40.0,0
213,45.0,0
213,50.0,0
213,55.0,0
213,60.0,0
213,65.0,0
213,70.0,0
213,75.0,0
213,80.0,0
233,0.0,0
233,5.0,2
233,10.0,1
233,15.0,0
233,20.0,0
233,25.0,0
233,30.0,0
233,35.0,0
233,40.0,0
233,45.0,0
233,50.0,0
233,55.0,0
233,60.0,0
233,65.0,0
233,70.0,0
233,75.0,0
233,80.0,0
234,0.0,0
234,5.0,6
234,10.0,5
234,15.0,7
234,20.0,5
234,25.0,0
234,30.0,0
234,35.0,0
234,40.0,0
234,45.0,0
234,50.0,0
234,55.0,0
234,60.0,0
234,65.0,0
234,70.0,0
234,75.0,0
234,80.0,0
241,0.0,0
241,5.0,5
241,10.0,5
241,15.0,5
241,20.0,2
241,25.0,2
241,30.0,0
241,35.0,0
241,40.0,0
241,45.0,0
241,50.0,0
241,55.0,0
241,60.0,0
241,65.0,0
241,70.0,0
241,75.0,0
241,80.0,0
249,0.0,0
249,5.0,8
249,10.0,11
249,15.0,15
249,20.0,6
249,25.0,2
249,30.0,0
249,35.0,0
249,40.0,0
249,45.0,0
249,50.0,0
249,55.0,0
249,60.0,0
249,65.0,0
249,70.0,0
249,75.0,0
249,80.0,0
258,0.0,0
258,5.0,3
258,10.0,3
258,15.0,3
258,20.0,0
258,25.0,0
258,30.0,0
258,35.0,0
258,40.0,0
258,45.0,0
258,50.0,0
258,55.0,0
258,60.0,0
258,65.0,0
258,70.0,0
258,75.0,0
258,80.0,0
276,0.0,0
276,5.0,3
276,10.0,4
276,15.0,1
276,20.0,0
276,25.0,0
276,30.0,0
276,35.0,0
276,40.0,0
276,45.0,0
276,50.0,0
276,55.0,0
276,60.0,0
276,65.0,0
276,70.0,0
276,75.0,0
276,80.0,0
292,0.0,0
292,5.0,2
292,10.0,3
292,15.0,1
292,20.0,0
292,25.0,0
292,30.0,0
292,35.0,0
292,40.0,0
292,45.0,0
292,50.0,0
292,55.0,0
292,60.0,0
292,65.0,0
292,70.0,0
292,75.0,0
292,80.0,0
