label,radius_um,intersections
40,0.0,0
40,0.5,2
40,1.0,4
40,1.5,4
40,2.0,4
40,2.5,8
40,3.0,7
40,3.5,9
40,4.0,8
40,4.5,9
40,5.0,8
40,5.5,9
40,6.0,11
40,6.5,11
40,7.0,11
40,7.5,11
40,8.0,12
40,8.5,13
40,9.0,14
40,9.5,11
40,10.0,10
40,10.5,10
40,11.0,9
40,11.5,9
40,12.0,7
40,12.5,7
40,13.0,5
40,13.5,5
40,14.0,5
40,14.5,6
40,15.0,4
40,15.5,4
40,16.0,4
40,16.5,3
40,17.0,4
40,17.5,4
40,18.0,3
40,18.5,1
40,19.0,1
40,19.5,1
40,20.0,1
40,20.5,1
40,21.0,1
40,21.5,1
40,22.0,1
40,22.5,0
40,23.0,0
40,23.5,0
40,24.0,0
40,24.5,0
40,25.0,0
55,0.0,0
55,0.5,0
55,1.0,0
55,1.5,0
55,2.0,2
55,2.5,2
55,3.0,2
55,3.5,4
55,4.0,13
55,4.5,7
55,5.0,6
55,5.5,5
55,6.0,5
55,6.5,5
55,7.0,4
55,7.5,4
55,8.0,5
55,8.5,6
55,9.0,8
55,9.5,13
55,10.0,9
55,10.5,8
55,11.0,6
55,11.5,7
55,12.0,10
55,12.5,9
55,13.0,7
55,13.5,6
55,14.0,6
55,14.5,7
55,15.0,7
55,15.5,7
55,16.0,7
55,16.5,6
55,17.0,5
55,17.5,4
55,18.0,6
55,18.5,5
55,19.0,5
55,19.5,7
55,20.0,5
55,20.5,5
55,21.0,5
55,21.5,5
55,22.0,7
55,22.5,6
55,23.0,6
55,23.5,4
55,24.0,4
55,24.5,2
55,25.0,0
80,0.0,0
80,0.5,2
80,1.0,3
80,1.5,3
80,2.0,3
80,2.5,3
80,3.0,4
80,3.5,4
80,4.0,5
80,4.5,6
80,5.0,6
80,5.5,6
80,6.0,4
80,6.5,3
80,7.0,4
80,7.5,7
80,8.0,7
80,8.5,5
80,9.0,5
80,9.5,4
80,10.0,5
80,10.5,5
80,11.0,6
80,11.5,6
80,12.0,4
80,12.5,5
80,13.0,5
80,13.5,6
80,14.0,8
80,14.5,6
80,15.0,5
80,15.5,5
80,16.0,3
80,16.5,3
80,17.0,3
80,17.5,2
80,18.0,2
80,18.5,0
