label,radius_um,intersections
81,0.0,0
81,1.0,0
81,2.0,4
81,3.0,2
81,4.0,2
81,5.0,2
81,6.0,1
81,7.0,1
81,8.0,2
81,9.0,2
81,10.0,1
81,11.0,1
81,12.0,1
81,13.0,2
81,14.0,1
81,15.0,1
81,16.0,1
81,17.0,1
81,18.0,1
81,19.0,1
81,20.0,1
81,21.0,1
81,22.0,1
81,23.0,1
81,24.0,0
81,25.0,0
82,0.0,0
82,1.0,0
82,2.0,2
82,3.0,4
82,4.0,2
82,5.0,2
82,6.0,2
82,7.0,2
82,8.0,2
82,9.0,2
82,10.0,2
82,11.0,2
82,12.0,1
82,13.0,1
82,14.0,2
82,15.0,1
82,16.0,0
82,17.0,0
82,18.0,0
82,19.0,0
82,20.0,0
82,21.0,0
82,22.0,0
82,23.0,0
82,24.0,0
82,25.0,0
130,0.0,0
130,1.0,2
130,2.0,2
130,3.0,2
130,4.0,6
130,5.0,6
130,6.0,6
130,7.0,7
130,8.0,8
130,9.0,8
130,10.0,9
130,11.0,9
130,12.0,9
130,13.0,7
130,14.0,6
130,15.0,4
130,16.0,3
130,17.0,1
130,18.0,1
130,19.0,1
130,20.0,1
130,21.0,1
130,22.0,1
130,23.0,1
130,24.0,1
130,25.0,0
144,0.0,0
144,1.0,0
144,2.0,1
144,3.0,1
144,4.0,1
144,5.0,2
144,6.0,2
144,7.0,1
144,8.0,1
144,9.0,0
144,10.0,0
144,11.0,0
144,12.0,0
144,13.0,0
144,14.0,0
144,15.0,0
144,16.0,0
144,17.0,0
144,18.0,0
144,19.0,0
144,20.0,0
144,21.0,0
144,22.0,0
144,23.0,0
144,24.0,0
144,25.0,0
156,0.0,0
156,1.0,0
156,2.0,0
156,3.0,0
156,4.0,0
156,5.0,0
156,6.0,0
156,7.0,0
156,8.0,0
156,9.0,0
156,10.0,0
156,11.0,0
156,12.0,0
156,13.0,0
156,14.0,0
156,15.0,0
156,16.0,0
156,17.0,0
156,18.0,0
156,19.0,0
156,20.0,0
156,21.0,0
156,22.0,0
156,23.0,0
156,24.0,0
156,25.0,0
160,0.0,0
160,1.0,3
160,2.0,3
160,3.0,4
160,4.0,5
160,5.0,8
160,6.0,8
160,7.0,5
160,8.0,7
160,9.0,8
160,10.0,8
160,11.0,7
160,12.0,7
160,13.0,8
160,14.0,6
160,15.0,8
160,16.0,6
160,17.0,4
160,18.0,4
160,19.0,2
160,20.0,2
160,21.0,1
160,22.0,1
160,23.0,1
160,24.0,1
160,25.0,0
172,0.0,0
172,1.0,0
172,2.0,1
172,3.0,1
172,4.0,0
172,5.0,1
172,6.0,3
172,7.0,4
172,8.0,5
172,9.0,5
172,10.0,5
172,11.0,4
172,12.0,6
172,13.0,3
172,14.0,0
172,15.0,0
172,16.0,0
172,17.0,0
172,18.0,0
172,19.0,0
172,20.0,0
172,21.0,0
172,22.0,0
172,23.0,0
172,24.0,0
172,25.0,0
175,0.0,0
175,1.0,0
175,2.0,4
175,3.0,5
175,4.0,8
175,5.0,8
