label,radius_um,intersections
78,0.0,0
78,5.0,2
78,10.0,5
78,15.0,3
78,20.0,1
78,25.0,1
78,30.0,1
78,35.0,5
78,40.0,0
129,0.0,0
129,5.0,6
129,10.0,11
129,15.0,4
129,20.0,1
129,25.0,1
129,30.0,0
129,35.0,0
129,40.0,0
156,0.0,0
156,5.0,3
156,10.0,6
156,15.0,5
156,20.0,3
156,25.0,1
156,30.0,0
156,35.0,0
156,40.0,0
173,0.0,0
173,5.0,7
173,10.0,16
173,15.0,5
173,20.0,1
173,25.0,0
173,30.0,0
173,35.0,0
173,40.0,0
176,0.0,0
176,5.0,7
176,10.0,7
176,15.0,5
176,20.0,4
176,25.0,0
176,30.0,0
176,35.0,0
176,40.0,0
181,0.0,0
181,5.0,4
181,10.0,6
181,15.0,5
181,20.0,3
181,25.0,0
181,30.0,0
181,35.0,0
181,40.0,0
196,0.0,0
196,5.0,6
196,10.0,8
196,15.0,5
196,20.0,1
196,25.0,0
196,30.0,0
196,35.0,0
196,40.0,0
200,0.0,0
200,5.0,5
200,10.0,3
200,15.0,2
200,20.0,0
200,25.0,0
200,30.0,0
200,35.0,0
200,40.0,0
202,0.0,0
202,5.0,2
202,10.0,2
202,15.0,2
202,20.0,0
202,25.0,0
202,30.0,0
202,35.0,0
202,40.0,0
204,0.0,0
204,5.0,1
204,10.0,2
204,15.0,0
204,20.0,0
204,25.0,0
204,30.0,0
204,35.0,0
204,40.0,0
205,0.0,0
205,5.0,3
205,10.0,3
205,15.0,5
205,20.0,2
205,25.0,2
205,30.0,4
205,35.0,6
205,40.0,0
206,0.0,0
206,5.0,1
206,10.0,1
206,15.0,1
206,20.0,0
206,25.0,0
206,30.0,0
206,35.0,0
206,40.0,0
208,0.0,0
208,5.0,0
208,10.0,0
208,15.0,0
208,20.0,0
208,25.0,0
208,30.0,0
208,35.0,0
208,40.0,0
209,0.0,0
209,5.0,2
209,10.0,0
209,15.0,0
209,20.0,0
209,25.0,0
209,30.0,0
209,35.0,0
209,40.0,0
212,0.0,0
212,5.0,2
212,10.0,7
212,15.0,8
212,20.0,6
212,25.0,4
212,30.0,5
212,35.0,1
212,40.0,0
216,0.0,0
216,5.0,1
216,10.0,3
216,15.0,1
216,20.0,1
216,25.0,0
216,30.0,0
216,35.0,0
216,40.0,0
217,0.0,0
217,5.0,5
217,10.0,1
217,15.0,3
217,20.0,3
217,25.0,5
217,30.0,4
217,35.0,3
217,40.0,0
219,0.0,0
219,5.0,1
219,10.0,1
219,15.0,1
219,20.0,1
219,25.0,2
219,30.0,1
219,35.0,0
219,40.0,0
220,0.0,0
220,5.0,2
220,10.0,2
220,15.0,3
220,20.0,3
220,25.0,4
220,30.0,4
220,35.0,3
220,40.0,0
225,0.0,0
225,5.0,2
225,10.0,1
225,15.0,2
225,20.0,3
225,25.0,3
225,30.0,1
225,35.0,2
225,40.0,0
228,0.0,0
228,5.0,2
228,10.0,2
228,15.0,0
228,20.0,0
228,25.0,0
228,30.0,0
228,35.0,0
228,40.0,0
230,0.0,0
230,5.0,3
230,10.0,3
230,15.0,6
230,20.0,3
230,25.0,3
230,30.0,1
230,35.0,1
230,40.0,0
249,0.0,0
249,5.0,2
249,10.0,4
249,15.0,3
249,20.0,1
249,25.0,0
249,30.0,0
249,35.0,0
249,40.0,0
250,0.0,0
250,5.0,4
250,10.0,4
250,15.0,3
250,20.0,5
250,25.0,10
250,30.0,4
250,35.0,1
250,40.0,0
252,0.0,0
252,5.0,4
252,10.0,1
252,15.0,0
252,20.0,0
252,25.0,0
252,30.0,0
252,35.0,0
252,40.0,0
253,0.0,0
253,5.0,3
253,10.0,2
253,15.0,4
253,20.0,2
253,25.0,2
253,30.0,0
253,35.0,0
253,40.0,0
254,0.0,0
254,5.0,1
254,10.0,1
254,15.0,0
254,20.0,0
254,25.0,0
254,30.0,0
254,35.0,0
254,40.0,0
276,0.0,0
276,5.0,1
276,10.0,4
276,15.0,6
276,20.0,8
276,25.0,5
276,30.0,4
276,35.0,0
276,40.0,0
297,0.0,0
297,5.0,2
297,10.0,1
297,15.0,0
297,20.0,0
297,25.0,0
297,30.0,0
297,35.0,0
297,40.0,0
298,0.0,0
298,5.0,1
298,10.0,3
298,15.0,2
298,20.0,1
298,25.0,0
298,30.0,0
298,35.0,0
298,40.0,0
320,0.0,0
320,5.0,4
320,10.0,4
320,15.0,6
320,20.0,5
320,25.0,5
320,30.0,4
320,35.0,3
320,40.0,0
325,0.0,0
325,5.0,1
325,10.0,1
325,15.0,0
325,20.0,0
325,25.0,0
325,30.0,0
325,35.0,0
325,40.0,0
349,0.0,0
349,5.0,3
349,10.0,4
349,15.0,5
349,20.0,2
349,25.0,0
349,30.0,0
349,35.0,0
349,40.0,0
350,0.0,0
350,5.0,1
350,10.0,1
350,15.0,0
350,20.0,0
350,25.0,0
350,30.0,0
350,35.0,0
350,40.0,0
364,0.0,0
364,5.0,9
364,10.0,14
364,15.0,10
364,20.0,13
364,25.0,11
364,30.0,5
364,35.0,4
364,40.0,0
365,0.0,0
365,5.0,2
365,10.0,1
365,15.0,0
365,20.0,0
365,25.0,0
365,30.0,0
365,35.0,0
365,40.0,0
366,0.0,0
366,5.0,1
366,10.0,2
366,15.0,2
366,20.0,2
366,25.0,2
366,30.0,4
366,35.0,5
366,40.0,0
