label,critical_radius_um,peak_intersections,auc
43,10.0,7.0,105.0
138,30.0,4.0,95.0
141,5.0,1.0,5.0
144,5.0,4.0,25.0
158,10.0,5.0,80.0
161,15.0,15.0,305.0
172,10.0,7.0,135.0
187,5.0,5.0,50.0
199,10.0,7.0,110.0
204,10.0,11.0,170.0
208,5.0,5.0,100.0
212,5.0,1.0,5.0
213,5.0,3.0,35.0
216,5.0,4.0,50.0
217,15.0,9.0,165.0
226,15.0,5.0,110.0
227,10.0,7.0,125.0
241,15.0,6.0,125.0
243,10.0,5.0,55.0
244,5.0,3.0,15.0
253,15.0,17.0,365.0
254,15.0,11.0,285.0
255,20.0,6.0,70.0
272,5.0,4.0,30.0
285,5.0,5.0,30.0
291,5.0,3.0,20.0
292,30.0,8.0,145.0
303,5.0,5.0,50.0
312,5.0,3.0,25.0
