label,critical_radius_um,peak_intersections,auc
3,10.0,3.0,50.0
19,10.0,4.0,35.0
20,10.0,3.0,25.0
36,5.0,8.0,125.0
37,15.0,8.0,195.0
40,15.0,7.0,90.0
57,20.0,16.0,350.0
80,10.0,14.0,370.0
86,10.0,5.0,125.0
88,15.0,6.0,85.0
89,10.0,15.0,220.0
93,10.0,7.0,60.0
100,10.0,12.0,130.0
101,10.0,12.0,140.0
111,10.0,6.0,90.0
120,5.0,7.0,105.0
123,25.0,11.0,215.0
136,5.0,7.0,45.0
138,5.0,8.0,80.0
156,20.0,16.0,245.0
202,10.0,5.0,75.0
209,10.0,11.0,165.0
227,30.0,11.0,280.0
229,30.0,7.0,170.0
231,10.0,9.0,90.0
233,10.0,10.0,230.0
236,15.0,7.0,140.0
243,15.0,13.0,175.0
247,5.0,5.0,85.0
248,10.0,8.0,190.0
249,5.0,5.0,115.0
252,5.0,4.0,60.0
257,5.0,4.0,35.0
