label,critical_radius_um,peak_intersections,auc
1,25.0,7.0,155.0
15,10.0,4.0,45.0
16,30.0,10.0,240.0
17,10.0,4.0,55.0
22,15.0,7.0,130.0
28,5.0,3.0,30.0
32,20.0,3.0,55.0
34,30.0,4.0,85.0
35,5.0,5.0,145.0
37,5.0,4.0,55.0
42,10.0,4.0,35.0
48,15.0,4.0,90.0
61,25.0,15.0,235.0
63,10.0,3.0,30.0
66,5.0,4.0,65.0
78,10.0,4.0,30.0
81,10.0,6.0,70.0
95,10.0,8.0,110.0
101,15.0,8.0,175.0
114,20.0,5.0,100.0
130,15.0,9.0,105.0
137,10.0,9.0,110.0
151,10.0,15.0,160.0
155,15.0,7.0,120.0
163,20.0,7.0,150.0
172,35.0,7.0,165.0
174,10.0,9.0,80.0
176,20.0,4.0,90.0
178,5.0,3.0,15.0
240,15.0,5.0,95.0
275,10.0,6.0,130.0
276,10.0,6.0,100.0
278,5.0,4.0,20.0
288,10.0,4.0,60.0
298,10.0,4.0,105.0
301,5.0,2.0,15.0
321,10.0,2.0,40.0
322,30.0,4.0,85.0
323,5.0,1.0,5.0
345,15.0,8.0,140.0
349,0.0,0.0,0.0
352,5.0,4.0,70.0
365,5.0,4.0,40.0
