label,radius_um,intersections
2,0.0,0
2,5.0,3
2,10.0,4
2,15.0,7
2,20.0,1
2,25.0,0
2,30.0,0
2,35.0,0
2,40.0,0
3,0.0,0
3,5.0,2
3,10.0,1
3,15.0,1
3,20.0,1
3,25.0,0
3,30.0,0
3,35.0,0
3,40.0,0
6,0.0,0
6,5.0,2
6,10.0,2
6,15.0,0
6,20.0,0
6,25.0,0
6,30.0,0
6,35.0,0
6,40.0,0
8,0.0,0
8,5.0,2
8,10.0,2
8,15.0,1
8,20.0,1
8,25.0,0
8,30.0,0
8,35.0,0
8,40.0,0
11,0.0,0
11,5.0,7
11,10.0,10
11,15.0,9
11,20.0,3
11,25.0,3
11,30.0,2
11,35.0,1
11,40.0,0
28,0.0,0
28,5.0,1
28,10.0,4
28,15.0,7
28,20.0,7
28,25.0,8
28,30.0,2
28,35.0,2
28,40.0,0
42,0.0,0
42,5.0,5
42,10.0,4
42,15.0,12
42,20.0,9
42,25.0,13
42,30.0,4
42,35.0,6
42,40.0,0
44,0.0,0
44,5.0,5
44,10.0,6
44,15.0,5
44,20.0,5
44,25.0,2
44,30.0,0
44,35.0,0
44,40.0,0
68,0.0,0
68,5.0,5
68,10.0,5
68,15.0,6
68,20.0,4
68,25.0,2
68,30.0,0
68,35.0,0
68,40.0,0
69,0.0,0
69,5.0,2
69,10.0,2
69,15.0,1
69,20.0,0
69,25.0,0
69,30.0,0
69,35.0,0
69,40.0,0
74,0.0,0
74,5.0,2
74,10.0,2
74,15.0,2
74,20.0,0
74,25.0,0
74,30.0,0
74,35.0,0
74,40.0,0
87,0.0,0
87,5.0,3
87,10.0,6
87,15.0,5
87,20.0,1
87,25.0,0
87,30.0,0
87,35.0,0
87,40.0,0
88,0.0,0
88,5.0,6
88,10.0,5
88,15.0,9
88,20.0,15
88,25.0,8
88,30.0,5
88,35.0,4
88,40.0,0
151,0.0,0
151,5.0,6
151,10.0,14
151,15.0,5
151,20.0,1
151,25.0,0
151,30.0,0
151,35.0,0
151,40.0,0
152,0.0,0
152,5.0,2
152,10.0,0
152,15.0,0
152,20.0,0
152,25.0,0
152,30.0,0
152,35.0,0
152,40.0,0
153,0.0,0
153,5.0,2
153,10.0,2
153,15.0,0
153,20.0,0
153,25.0,0
153,30.0,0
153,35.0,0
153,40.0,0
168,0.0,0
168,5.0,4
168,10.0,1
168,15.0,1
168,20.0,1
168,25.0,0
168,30.0,0
168,35.0,0
168,40.0,0
169,0.0,0
169,5.0,2
169,10.0,1
169,15.0,0
169,20.0,0
169,25.0,0
169,30.0,0
169,35.0,0
169,40.0,0
171,0.0,0
171,5.0,2
171,10.0,0
171,15.0,0
171,20.0,0
171,25.0,0
171,30.0,0
171,35.0,0
171,40.0,0
173,0.0,0
173,5.0,2
173,10.0,5
173,15.0,5
173,20.0,2
173,25.0,1
173,30.0,1
173,35.0,0
173,40.0,0
188,0.0,0
188,5.0,2
188,10.0,2
188,15.0,3
188,20.0,4
188,25.0,3
188,30.0,0
188,35.0,0
188,40.0,0
202,0.0,0
202,5.0,5
202,10.0,4
202,15.0,3
202,20.0,0
202,25.0,0
202,30.0,0
202,35.0,0
202,40.0,0
208,0.0,0
208,5.0,5
208,10.0,11
208,15.0,6
208,20.0,5
208,25.0,11
208,30.0,3
208,35.0,1
208,40.0,0
209,0.0,0
209,5.0,5
209,10.0,2
209,15.0,4
209,20.0,5
209,25.0,1
209,30.0,0
209,35.0,0
209,40.0,0
211,0.0,0
211,5.0,5
211,10.0,7
211,15.0,4
211,20.0,1
211,25.0,3
211,30.0,4
211,35.0,3
211,40.0,0
218,0.0,0
218,5.0,3
218,10.0,3
218,15.0,3
218,20.0,0
218,25.0,0
218,30.0,0
218,35.0,0
218,40.0,0
220,0.0,0
220,5.0,5
220,10.0,6
220,15.0,10
220,20.0,14
220,25.0,7
220,30.0,6
220,35.0,6
220,40.0,0
234,0.0,0
234,5.0,3
234,10.0,2
234,15.0,1
234,20.0,0
234,25.0,0
234,30.0,0
234,35.0,0
234,40.0,0
236,0.0,0
236,5.0,0
236,10.0,3
236,15.0,4
236,20.0,6
236,25.0,2
236,30.0,1
236,35.0,3
236,40.0,0
247,0.0,0
247,5.0,2
247,10.0,5
247,15.0,6
247,20.0,8
247,25.0,6
247,30.0,6
247,35.0,2
247,40.0,0
248,0.0,0
248,5.0,2
248,10.0,4
248,15.0,5
248,20.0,3
248,25.0,4
248,30.0,6
248,35.0,4
248,40.0,0
