label,radius_um,intersections
2,0.0,0
2,5.0,3
2,10.0,6
2,15.0,7
2,20.0,10
2,25.0,7
2,30.0,5
2,35.0,1
2,40.0,0
24,0.0,0
24,5.0,1
24,10.0,1
24,15.0,1
24,20.0,1
24,25.0,0
24,30.0,0
24,35.0,0
24,40.0,0
25,0.0,0
25,5.0,6
25,10.0,9
25,15.0,13
25,20.0,11
25,25.0,11
25,30.0,8
25,35.0,8
25,40.0,0
39,0.0,0
39,5.0,4
39,10.0,4
39,15.0,2
39,20.0,2
39,25.0,0
39,30.0,0
39,35.0,0
39,40.0,0
50,0.0,0
50,5.0,4
50,10.0,2
50,15.0,1
50,20.0,0
50,25.0,0
50,30.0,0
50,35.0,0
50,40.0,0
62,0.0,0
62,5.0,1
62,10.0,0
62,15.0,0
62,20.0,0
62,25.0,0
62,30.0,0
62,35.0,0
62,40.0,0
63,0.0,0
63,5.0,1
63,10.0,3
63,15.0,4
63,20.0,0
63,25.0,0
63,30.0,0
63,35.0,0
63,40.0,0
69,0.0,0
69,5.0,1
69,10.0,0
69,15.0,0
69,20.0,0
69,25.0,0
69,30.0,0
69,35.0,0
69,40.0,0
71,0.0,0
71,5.0,2
71,10.0,1
71,15.0,1
71,20.0,0
71,25.0,0
71,30.0,0
71,35.0,0
71,40.0,0
74,0.0,0
74,5.0,5
74,10.0,8
74,15.0,9
74,20.0,5
74,25.0,8
74,30.0,6
74,35.0,6
74,40.0,0
76,0.0,0
76,5.0,4
76,10.0,9
76,15.0,5
76,20.0,2
76,25.0,1
76,30.0,0
76,35.0,0
76,40.0,0
78,0.0,0
78,5.0,6
78,10.0,8
78,15.0,9
78,20.0,10
78,25.0,11
78,30.0,7
78,35.0,9
78,40.0,0
81,0.0,0
81,5.0,1
81,10.0,2
81,15.0,0
81,20.0,0
81,25.0,0
81,30.0,0
81,35.0,0
81,40.0,0
88,0.0,0
88,5.0,2
88,10.0,2
88,15.0,0
88,20.0,0
88,25.0,0
88,30.0,0
88,35.0,0
88,40.0,0
